anno,agricoltura,industria,servizi,totale,fonte,pct_agricoltura,pct_industria,pct_servizi
1861,10827,2806,1902,15535,Censimenti,69.69423881557772,18.06243965239781,12.24332153202446
1871,10765,3051,2125,15941,Censimenti,67.53026786274387,19.139326265604417,13.330405871651715
1881,10527,3248,2315,16090,Censimenti,65.42573026724673,20.186451211932877,14.387818520820387
1901,10301,3716,2678,16695,Censimenti,61.701108116202455,22.258161126085653,16.04073075771189
1911,10211,4152,3134,17497,Censimenti,58.35857575584386,23.729782248385437,17.9116419957707
1921,9731,4338,3399,17468,Censimenti,55.707579574078316,24.833982138768032,19.458438287153655
1931,9422,4793,3997,18212,Censimenti,51.73511970129585,26.317812431363937,21.947067867340213
1936,9177,5075,4331,18583,Censimenti,49.3838454501426,27.309906904159714,23.30624764569768
1951,8261,6290,5026,19577,Censimenti,42.197476630740155,32.129539766052,25.672983603207843
1961,5657,7886,5976,19519,Censimenti,28.982017521389412,40.40165992110252,30.61632255750807
1971,3243,8350,7238,18831,Censimenti,17.22160267643779,44.34177685730975,38.43662046625246
1981,2240,8001,10004,20245,Censimenti,11.06446036058286,39.520869350456906,49.41467028896024
1991,1630,7601,12092,21323,Censimenti,7.644327721239976,35.646953993340524,56.7087182854195
1993,1363,7078,12865,21307,Rilevazione forze di lavoro,6.396958745952035,33.21912986342517,60.37921809733891
1994,1291,6919,12704,20914,Rilevazione forze di lavoro,6.172898536865257,33.083102228172514,60.74399923496223
1995,1220,6814,12726,20761,Rilevazione forze di lavoro,5.876402870767304,32.82115505033476,61.297625355233365
1996,1166,6726,12927,20819,Rilevazione forze di lavoro,5.600653249435612,32.307027234737504,62.09231951582689
1997,1133,6679,13046,20859,Rilevazione forze di lavoro,5.43170813557697,32.01975166594755,62.54374610479889
1998,1090,6731,13227,21048,Rilevazione forze di lavoro,5.178639300646142,31.979285442797416,62.84207525655644
1999,1028,6733,13515,21276,Rilevazione forze di lavoro,4.831735288588081,31.64598608761045,63.52227862380146
2000,1013,6714,13868,21596,Rilevazione forze di lavoro,4.690683459899982,31.08909057232821,64.21559548064457
2001,1015,6762,14187,21964,Rilevazione forze di lavoro,4.621198324531051,30.786741941358585,64.59205973411036
2002,988,6819,14423,22230,Rilevazione forze di lavoro,4.444444444444445,30.67476383265857,64.88079172289699
2003,969,6822,14453,22244,Rilevazione forze di lavoro,4.35623089372415,30.668944434454236,64.97482467182162
2004,973.367,6872.82,14454.999,22301.186,Rilevazione forze di lavoro,4.364642310951534,30.818181598054917,64.81717609099354
2005,938.114,6916.856,14489.022,22343.992,Rilevazione forze di lavoro,4.198506694775044,30.956223041970297,64.84527026325468
2006,968.402,6888.166,14834.24,22690.808,Rilevazione forze di lavoro,4.26781628930975,30.3566360439875,65.37554766670274
2007,904.233,6963.041,14961.17,22828.445,Rilevazione forze di lavoro,3.960992524896023,30.50160008708434,65.53740300751979
2008,852.994,6835.225,15346.198,23034.417,Rilevazione forze di lavoro,3.703128236325669,29.673965700976936,66.6229060626974
2009,831.585,6509.828,15176.425,22517.839,Rilevazione forze di lavoro,3.693005354554671,28.909648035053454,67.39734216946839
2010,841.813,6321.485,15170.03,22333.327,Rilevazione forze di lavoro,3.7693130092081666,28.305164743255673,67.92552672514937
2011,826.367,6283.883,15306.387,22416.637,Rilevazione forze di lavoro,3.6864004176897724,28.03222891997582,68.28137066233441
2012,824.622,6090.473,15389.057,22304.151,Rilevazione forze di lavoro,3.6971682984032874,27.306455197510093,68.99638098755699
2013,788.165,5844.043,15219.402,21851.61,Rilevazione forze di lavoro,3.6068967000600867,26.744221592825422,69.64888170711448
2014,796.51,5849.922,15275.963,21922.394,Rilevazione forze di lavoro,3.6333166897739364,26.684685988218256,69.68200188355341
2015,829.276,5857.283,15434.679,22121.238,Rilevazione forze di lavoro,3.748777532252037,26.478097654389863,69.7731248133581
2016,871.527,5850.928,15726.657,22449.112,Rilevazione forze di lavoro,3.8822337382431877,26.06307100254121,70.05469525921559
2017,859.144,5906.115,15969.389,22734.648,Rilevazione forze di lavoro,3.7790072667938377,25.978475672902434,70.24251706030373
2018,859.785,5984.229,16114.717,22958.73,Rilevazione forze di lavoro,3.744915332860311,26.065156914167293,70.18993210861403
2019,895.562,5977.192,16236.651,23109.405,Rilevazione forze di lavoro,3.8753139684903184,25.86475939125218,70.2599266402575
2020,904.863,5924.985,15555.41,22385.257,Rilevazione forze di lavoro,4.042227435673399,26.46824648919599,69.48953054235652
2021,913.474,6008.251,15632.23,22553.955,Rilevazione forze di lavoro,4.050172131672693,26.639456361423086,69.31037150690422
2022,874.935,6206.975,16017.48,23099.389,Rilevazione forze di lavoro,3.7876975880184536,26.870732381709317,69.34157435939106
2023,847.552,6281.108,16451.287,23579.947,Rilevazione forze di lavoro,3.594376187529175,26.637498379449287,69.76812543302154
2024,819.924,6386.008,16726.332,23932.264,Rilevazione forze di lavoro,3.426019368664828,26.683676897430182,69.89030373390499
2025,834.949,6419.312,16862.973,24117.234,Rilevazione forze di lavoro,3.4620429523551497,26.617115378985833,69.92084166865902
