mese,eta,indice
2022-10-01,22-25 anni,100
2022-10-01,35-40 anni,100
2022-11-01,22-25 anni,100.18720761547677
2022-11-01,35-40 anni,100.33214778776711
2022-12-01,22-25 anni,100.1743810980968
2022-12-01,35-40 anni,100.65865071473846
2023-01-01,22-25 anni,100
2023-01-01,35-40 anni,101
2023-02-01,22-25 anni,99.70437923335524
2023-02-01,35-40 anni,101.34400794170134
2023-03-01,22-25 anni,99.37730684804606
2023-03-01,35-40 anni,101.65561950635593
2023-04-01,22-25 anni,99
2023-04-01,35-40 anni,102
2023-05-01,22-25 anni,98.65898873116893
2023-05-01,35-40 anni,102.33138759268894
2023-06-01,22-25 anni,98.32468103644257
2023-06-01,35-40 anni,102.67191612374388
2023-07-01,22-25 anni,98
2023-07-01,35-40 anni,103
2023-08-01,22-25 anni,97.65128435896354
2023-08-01,35-40 anni,103.33786940584247
2023-09-01,22-25 anni,97.30653279305209
2023-09-01,35-40 anni,103.67476166660299
2023-10-01,22-25 anni,97
2023-10-01,35-40 anni,104
2023-11-01,22-25 anni,96.71759717784845
2023-11-01,35-40 anni,104.33564362806977
2023-12-01,22-25 anni,96.41745988506112
2023-12-01,35-40 anni,104.66124804194641
2024-01-01,22-25 anni,96
2024-01-01,35-40 anni,105
2024-02-01,22-25 anni,95.41738279665299
2024-02-01,35-40 anni,105.3417091372576
2024-03-01,22-25 anni,94.7597839541399
2024-03-01,35-40 anni,105.66152235712136
2024-04-01,22-25 anni,94
2024-04-01,35-40 anni,106
2024-05-01,22-25 anni,93.268470683469
2024-05-01,35-40 anni,106.3229811351506
2024-06-01,22-25 anni,92.57033774815783
2024-06-01,35-40 anni,106.66017649693842
2024-07-01,22-25 anni,92
2024-07-01,35-40 anni,107
2024-08-01,22-25 anni,91.55547994211408
2024-08-01,35-40 anni,107.36693710342406
2024-09-01,22-25 anni,91.23323303872203
2024-09-01,35-40 anni,107.71689874833244
2024-10-01,22-25 anni,91
2024-10-01,35-40 anni,108
2024-11-01,22-25 anni,90.80570885153526
2024-11-01,35-40 anni,108.20872466959177
2024-12-01,22-25 anni,90.64676038498473
2024-12-01,35-40 anni,108.35775432602637
2025-01-01,22-25 anni,90.5
2025-01-01,35-40 anni,108.5
2025-02-01,22-25 anni,90.35596337278692
2025-02-01,35-40 anni,108.66370379494823
2025-03-01,22-25 anni,90.20803315172815
2025-03-01,35-40 anni,108.82427665312642
2025-04-01,22-25 anni,90
2025-04-01,35-40 anni,109.00000000000001
2025-05-01,22-25 anni,89.7347086275178
2025-05-01,35-40 anni,109.15776839721639
2025-06-01,22-25 anni,89.3929164016505
2025-06-01,35-40 anni,109.32162713826483
2025-07-01,22-25 anni,89
2025-07-01,35-40 anni,109.5
2025-08-01,22-25 anni,88.53220587390017
2025-08-01,35-40 anni,109.72332523151604
2025-09-01,22-25 anni,88
2025-09-01,35-40 anni,110.00000000000001
