Anno;Data;Abruzzo;Basilicata;Calabria;Campania;Emilia-Romagna;Lazio;Liguria;Lombardia;Marche;Molise;Piemonte;Puglia;Toscana;Umbria;Veneto;Italia;Europee
1970;1970-06-07;0.85;0.86;0.82;0.87;0.97;0.92;0.93;0.96;0.94;0.80;0.95;0.89;0.96;0.94;0.95;;
1975;1975-06-15;0.88;0.87;0.83;0.87;0.97;0.92;0.93;0.95;0.95;0.84;0.94;0.89;0.96;0.95;0.95;;
1980;1980-06-08;0.82;0.85;0.77;0.85;0.95;0.89;0.89;0.93;0.91;0.75;0.92;0.86;0.93;0.93;0.92;;
1985;1985-05-12;0.83;0.86;0.79;0.84;0.95;0.89;0.88;0.93;0.91;0.77;0.91;0.87;0.93;0.93;0.92;;
1990;1990-05-06;0.83;0.85;0.76;0.81;0.93;0.83;0.85;0.91;0.90;0.77;0.89;0.84;0.90;0.91;0.91;;
1995;1995-04-23;0.77;0.79;0.69;0.74;0.88;0.81;0.80;0.84;0.85;0.72;0.83;0.76;0.85;0.86;0.85;;
2000;2000-04-16;0.71;0.73;0.65;0.70;0.80;0.72;0.71;0.76;0.74;0.67;0.72;0.70;0.75;0.77;0.76;;
2001;2001-11-11;;;;;;;;;;0.65;;;;;;;
2005;2005-04-03;0.69;;0.64;0.68;0.77;0.73;0.70;0.73;0.72;;0.71;0.71;0.71;0.74;0.72;;
2005;2005-04-17;;0.67;;;;;;;;;;;;;;;
2006;2006-11-05;;;;;;;;;;0.65;;;;;;;
2008;2008-12-14;0.53;;;;;;;;;;;;;;;;
2010;2010-03-28;;0.63;0.59;0.63;0.68;0.61;0.61;0.65;0.63;;0.64;0.63;0.61;0.65;0.66;;
2013;2013-02-24;;;;;;0.72;;0.77;;0.62;;;;;;;
2013;2013-11-17;;0.48;;;;;;;;;;;;;;;
2014;2014-05-25;0.62;;;;;;;;;;0.66;;;;;;
2014;2014-11-23;;;0.44;;0.38;;;;;;;;;;;;
2015;2015-05-31;;;;0.52;;;0.51;;0.50;;;0.51;0.48;0.55;0.57;;
2018;2018-03-04;;;;;;0.67;;0.73;;0.52;;;;;;;
2019;2019-02-10;0.53;;;;;;;;;;;;;;;;
2019;2019-03-24;;0.54;;;;;;;;;;;;;;;
2019;2019-05-26;;;;;;;;;;;0.63;;;;;;
2019;2019-10-27;;;;;;;;;;;;;;0.65;;;
2020;2020-01-26;;;0.44;;0.68;;;;;;;;;;;;
2020;2020-09-20;;;;0.56;;;0.53;;;;;;;;0.61;;
2020;2020-09-20;;;;;;;;;0.60;;;0.56;0.63;;;;
2021;2021-10-03;;;0.44;;;;;;;;;;;;;;
2023;2023-02-12;;;;;;0.37;;0.42;;;;;;;;;
2023;2023-06-25;;;;;;;;;;0.48;;;;;;;
2024;2024-03-10;0.52;;;;;;;;;;;;;;;;
2024;2024-04-21;;0.50;;;;;;;;;;;;;;;
2024;2024-06-09;;;;;;;;;;;0.55;;;;;;
2024;2024-10-27;;;;;;;0.46;;;;;;;;;;
2024;2024-11-17;;;;;0.46;;;;;;;;;0.52;;;
2025;2025-09-28;;;;;;;;;0.50;;;;;;;;
2025;2025-10-05;;;0.43;;;;;;;;;;;;;;
2025;2025-10-12;;;;;;;;;;;;;0.48;;;;
1948;1948-04-18;;;;;;;;;;;;;;;;0.92;
1953;1953-06-07;;;;;;;;;;;;;;;;0.94;
1958;1958-05-25;;;;;;;;;;;;;;;;0.94;
1963;1963-04-28;;;;;;;;;;;;;;;;0.93;
1968;1968-05-19;;;;;;;;;;;;;;;;0.93;
1972;1972-05-07;;;;;;;;;;;;;;;;0.93;
1976;1976-06-20;;;;;;;;;;;;;;;;0.93;
1979;1979-06-03;;;;;;;;;;;;;;;;0.91;
1983;1983-06-26;;;;;;;;;;;;;;;;0.88;
1987;1987-06-14;;;;;;;;;;;;;;;;0.89;
1992;1992-04-05;;;;;;;;;;;;;;;;0.87;
1994;1994-03-27;;;;;;;;;;;;;;;;0.86;
1996;1996-04-21;;;;;;;;;;;;;;;;0.83;
2001;2001-05-13;;;;;;;;;;;;;;;;0.81;
2006;2006-04-09;;;;;;;;;;;;;;;;0.84;
2008;2008-04-13;;;;;;;;;;;;;;;;0.81;
2013;2013-02-24;;;;;;;;;;;;;;;;0.75;
2018;2018-03-04;;;;;;;;;;;;;;;;0.73;
2022;2022-09-25;;;;;;;;;;;;;;;;0.64;
2024;2024-06-08;;;;;;;;;;;;;;;;;0.48
2019;2019-05-26;;;;;;;;;;;;;;;;;0.55
2014;2014-06-25;;;;;;;;;;;;;;;;;0.57
2009;2009-06-06;;;;;;;;;;;;;;;;;0.65
2004;2004-06-12;;;;;;;;;;;;;;;;;0.72
1999;1999-06-13;;;;;;;;;;;;;;;;;0.70
1994;1994-06-13;;;;;;;;;;;;;;;;;0.74
1989;1989-06-18;;;;;;;;;;;;;;;;;0.81
1984;1984-06-17;;;;;;;;;;;;;;;;;0.83
1979;1979-06-10;;;;;;;;;;;;;;;;;0.86
