DATAFLOW,FREQ,REF_AREA,DATA_TYPE,TYPE_SOCIO_EDUC_SERVICE,TYPE_MANAGEMENT,HOLDER_SECTOR_PUBPRIV,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_TYPE_SOCIO_EDUC_SERVICE,NOTE_TYPE_MANAGEMENT,NOTE_HOLDER_SECTOR_PUBPRIV,NOTE_TIME_PERIOD,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:47_850(1.0),A,IT,P_100CH_Y0_2,DNUR,ALL,9,2014,20.8,,,,,,,,,,,
IT1:47_850(1.0),A,IT,P_100CH_Y0_2,DNUR,ALL,9,2015,20.9,,,,,,,,,,,
IT1:47_850(1.0),A,IT,P_100CH_Y0_2,DNUR,ALL,9,2016,21.7,,,,,,,,,,,
IT1:47_850(1.0),A,IT,P_100CH_Y0_2,DNUR,ALL,9,2017,22.4,,,,,,,,,,,
IT1:47_850(1.0),A,IT,P_100CH_Y0_2,DNUR,ALL,9,2018,23.4,,,,,,,,,,,
IT1:47_850(1.0),A,IT,P_100CH_Y0_2,DNUR,ALL,9,2019,24.8,,,,,,,,,,,
IT1:47_850(1.0),A,IT,P_100CH_Y0_2,DNUR,ALL,9,2020,25.2,,,,,,,,,,,
IT1:47_850(1.0),A,IT,P_100CH_Y0_2,DNUR,ALL,9,2021,26.1,,,,,,,,,,,
IT1:47_850(1.0),A,IT,P_100CH_Y0_2,DNUR,ALL,9,2022,27.9,,,,,,,,,,,
IT1:47_850(1.0),A,IT,P_100CH_Y0_2,DNUR,ALL,9,2023,29.6,,,,,,,,,,,
IT1:47_850(1.0),A,ITC1,P_100CH_Y0_2,DNUR,ALL,9,2014,22.1,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITC1,P_100CH_Y0_2,DNUR,ALL,9,2015,22.6,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITC1,P_100CH_Y0_2,DNUR,ALL,9,2016,23.7,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITC1,P_100CH_Y0_2,DNUR,ALL,9,2017,24,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITC1,P_100CH_Y0_2,DNUR,ALL,9,2018,25.2,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITC1,P_100CH_Y0_2,DNUR,ALL,9,2019,26.4,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITC1,P_100CH_Y0_2,DNUR,ALL,9,2020,27.2,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITC1,P_100CH_Y0_2,DNUR,ALL,9,2021,27.6,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITC1,P_100CH_Y0_2,DNUR,ALL,9,2022,28.7,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITC1,P_100CH_Y0_2,DNUR,ALL,9,2023,29.7,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITC2,P_100CH_Y0_2,DNUR,ALL,9,2014,26.2,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITC2,P_100CH_Y0_2,DNUR,ALL,9,2015,27.9,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITC2,P_100CH_Y0_2,DNUR,ALL,9,2016,29.7,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITC2,P_100CH_Y0_2,DNUR,ALL,9,2017,32.4,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITC2,P_100CH_Y0_2,DNUR,ALL,9,2018,34.1,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITC2,P_100CH_Y0_2,DNUR,ALL,9,2019,33.5,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITC2,P_100CH_Y0_2,DNUR,ALL,9,2020,31.1,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITC2,P_100CH_Y0_2,DNUR,ALL,9,2021,34.1,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITC2,P_100CH_Y0_2,DNUR,ALL,9,2022,38.1,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITC2,P_100CH_Y0_2,DNUR,ALL,9,2023,38.8,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITC3,P_100CH_Y0_2,DNUR,ALL,9,2014,26,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITC3,P_100CH_Y0_2,DNUR,ALL,9,2015,26.2,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITC3,P_100CH_Y0_2,DNUR,ALL,9,2016,27.9,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITC3,P_100CH_Y0_2,DNUR,ALL,9,2017,28.1,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITC3,P_100CH_Y0_2,DNUR,ALL,9,2018,29.2,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITC3,P_100CH_Y0_2,DNUR,ALL,9,2019,30.1,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITC3,P_100CH_Y0_2,DNUR,ALL,9,2020,29.5,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITC3,P_100CH_Y0_2,DNUR,ALL,9,2021,30.5,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITC3,P_100CH_Y0_2,DNUR,ALL,9,2022,32.2,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITC3,P_100CH_Y0_2,DNUR,ALL,9,2023,33.2,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITC4,P_100CH_Y0_2,DNUR,ALL,9,2014,24.8,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITC4,P_100CH_Y0_2,DNUR,ALL,9,2015,24.6,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITC4,P_100CH_Y0_2,DNUR,ALL,9,2016,25.1,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITC4,P_100CH_Y0_2,DNUR,ALL,9,2017,26.5,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITC4,P_100CH_Y0_2,DNUR,ALL,9,2018,27,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITC4,P_100CH_Y0_2,DNUR,ALL,9,2019,28.7,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITC4,P_100CH_Y0_2,DNUR,ALL,9,2020,28.5,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITC4,P_100CH_Y0_2,DNUR,ALL,9,2021,29.6,,,FILTER_ATS,,,,,,,,
IT1:47_850(1.0),A,ITC4,P_100CH_Y0_2,DNUR,ALL,9,2022,34.1,,,FILTER_ATS,,,,,,,,
