NUTS_ID,regione,posti_per_100_bambini
ITI2,Umbria,48.4
ITH5,Emilia-Romagna,44.4
ITC2,Valle d’Aosta/Vallée d’Aoste,44.3
ITH2,Provincia Autonoma di Trento,42.3
ITI1,Toscana,41.8
ITH4,Friuli-Venezia Giulia,40.4
ITI4,Lazio,39.8
ITG2,Sardegna,38
ITC4,Lombardia,37.8
ITH3,Veneto,35.6
ITI3,Marche,34.6
ITC3,Liguria,34.6
ITC1,Piemonte,33.9
ITF1,Abruzzo,29.9
ITH1,Provincia Autonoma di Bolzano/Bozen,26.3
ITF5,Basilicata,25.3
ITF2,Molise,23.5
ITF4,Puglia,21.4
ITF6,Calabria,17.2
ITG1,Sicilia,15.5
ITF3,Campania,15.4
