nuts_id,regione,anno,astemi_11plus,astemi_18plus_stima
ITF6,Calabria,2025,39.2,34.7
ITF5,Basilicata,2025,38.2,33.9
ITG1,Sicilia,2025,38.2,33.9
ITG2,Sardegna,2025,38,33.7
ITF3,Campania,2025,36.9,32.7
ITF1,Abruzzo,2025,35.6,31.5
ITF2,Molise,2025,35.5,31.5
ITF4,Puglia,2025,35.5,31.5
ITI4,Lazio,2025,35.1,31.1
ITI3,Marche,2025,33.3,29.5
ITI2,Umbria,2025,33.1,29.3
ITC4,Lombardia,2025,32.3,28.6
ITI1,Toscana,2025,32.1,28.4
ITH4,Friuli-Venezia Giulia,2025,31.2,27.6
ITC2,Valle d’Aosta/Vallée d’Aoste,2025,31.1,27.6
ITC3,Liguria,2025,30.9,27.4
ITC1,Piemonte,2025,30.8,27.3
ITH3,Veneto,2025,30.7,27.2
ITH5,Emilia-Romagna,2025,30.6,27.1
ITH2,Provincia Autonoma di Trento,2025,29.1,25.8
ITH1,Provincia Autonoma di Bolzano/Bozen,2025,27.7,24.5
