regione,nuts_id,biblioteche,popolazione,per_10mila_abitanti
Bolzano,ITH1,251,532616,4.71
Valle d'Aosta,ITC2,52,123360,4.22
Sardegna,ITG2,386,1587413,2.43
Trento,ITH2,125,540958,2.31
Friuli-Venezia Giulia,ITH4,223,1194647,1.87
Molise,ITF2,51,292150,1.75
Piemonte,ITC1,680,4256350,1.6
Lombardia,ITC4,1307,9943004,1.31
Veneto,ITH3,562,4847745,1.16
Basilicata,ITF5,60,541168,1.11
Marche,ITI3,164,1487150,1.1
Liguria,ITC3,151,1509227,1
Calabria,ITF6,181,1855454,0.98
Emilia-Romagna,ITH5,416,4425366,0.94
Umbria,ITI2,75,858812,0.87
Abruzzo,ITF1,102,1275950,0.8
Toscana,ITI1,280,3663191,0.76
Sicilia,ITG1,339,4833329,0.7
Campania,ITF3,365,5624420,0.65
Puglia,ITF4,220,3922941,0.56
Lazio,ITI4,271,5714882,0.47
