gruppo,nomeGruppo,senatore,nome,cognome,inizio,fine,carica
http://dati.senato.it/gruppo/33,Lega Salvini Premier - Partito Sardo d'Azione,http://dati.senato.it/senatore/32586,Giorgio Maria,Bergesio,2022-10-18,,Membro
http://dati.senato.it/gruppo/33,Lega Salvini Premier - Partito Sardo d'Azione,http://dati.senato.it/senatore/22877,Giulia,Bongiorno,2022-10-18,,Membro
http://dati.senato.it/gruppo/33,Lega Salvini Premier - Partito Sardo d'Azione,http://dati.senato.it/senatore/33070,Claudio,Borghi,2022-10-18,,Membro
http://dati.senato.it/gruppo/33,Lega Salvini Premier - Partito Sardo d'Azione,http://dati.senato.it/senatore/32590,Lucia,Borgonzoni,2022-10-18,,Membro
http://dati.senato.it/gruppo/33,Lega Salvini Premier - Partito Sardo d'Azione,http://dati.senato.it/senatore/422,Roberto,Calderoli,2022-10-18,,Membro
http://dati.senato.it/gruppo/33,Lega Salvini Premier - Partito Sardo d'Azione,http://dati.senato.it/senatore/32862,Gianluca,Cantalamessa,2022-10-18,,Membro
http://dati.senato.it/gruppo/33,Lega Salvini Premier - Partito Sardo d'Azione,http://dati.senato.it/senatore/32598,Maria Cristina,Cantu',2022-10-18,,Membro
http://dati.senato.it/gruppo/33,Lega Salvini Premier - Partito Sardo d'Azione,http://dati.senato.it/senatore/29067,Gian Marco,Centinaio,2022-10-18,,Membro
http://dati.senato.it/gruppo/33,Lega Salvini Premier - Partito Sardo d'Azione,http://dati.senato.it/senatore/36396,Marco,Dreosto,2022-10-18,,Membro
http://dati.senato.it/gruppo/33,Lega Salvini Premier - Partito Sardo d'Azione,http://dati.senato.it/senatore/33096,Claudio,Durigon,2022-10-18,,Membro
http://dati.senato.it/gruppo/33,Lega Salvini Premier - Partito Sardo d'Azione,http://dati.senato.it/senatore/22963,Massimo,Garavaglia,2022-10-18,,Membro
http://dati.senato.it/gruppo/33,Lega Salvini Premier - Partito Sardo d'Azione,http://dati.senato.it/senatore/29480,Roberto,Marti,2022-10-18,,Membro
http://dati.senato.it/gruppo/33,Lega Salvini Premier - Partito Sardo d'Azione,http://dati.senato.it/senatore/36013,Tilde,Minasi,2022-10-18,,Membro
http://dati.senato.it/gruppo/33,Lega Salvini Premier - Partito Sardo d'Azione,http://dati.senato.it/senatore/32988,Alessandro,Morelli,2022-10-18,,Membro
http://dati.senato.it/gruppo/33,Lega Salvini Premier - Partito Sardo d'Azione,http://dati.senato.it/senatore/33110,Elena,Murelli,2022-10-18,,Membro
http://dati.senato.it/gruppo/33,Lega Salvini Premier - Partito Sardo d'Azione,http://dati.senato.it/senatore/32677,Andrea,Ostellari,2022-10-18,,Membro
http://dati.senato.it/gruppo/33,Lega Salvini Premier - Partito Sardo d'Azione,http://dati.senato.it/senatore/34243,Andrea,Paganella,2022-10-18,,Membro
