"","ramo","legislatura","nomeGruppo"
"1","camera",14,"FORZA ITALIA (FI) (04.06.2001-27.04.2006)"
"2","camera",14,"MARGHERITA, DL-L'ULIVO (MARGH-U) (04.06.2001-27.04.2006)"
"3","camera",14,"MISTO (MISTO) (04.06.2001-27.04.2006)"
"4","camera",14,"UDC UNIONE DEI DEMOCRATICI CRISTIANI E DEI DEMOCRATICI DI CENTRO (CCD-CDU) (UDC (CCD-CDU)) (04.06.2001-27.04.2006)"
"5","camera",14,"ALLEANZA NAZIONALE (AN) (04.06.2001-27.04.2006)"
"6","camera",14,"DEMOCRATICI DI SINISTRA-L'ULIVO (DS-U) (04.06.2001-27.04.2006)"
"7","camera",14,"LEGA NORD FEDERAZIONE PADANA (LNFP) (04.06.2001-27.04.2006)"
"8","camera",14,"RIFONDAZIONE COMUNISTA (RC) (14.06.2001-27.04.2006)"
"9","camera",15,"MISTO (MISTO) (03.05.2006-28.04.2008)"
"10","camera",15,"SOCIALISTI E RADICALI-RNP (SOCRAD-RNP) (18.05.2006-28.04.2008)"
"11","camera",15,"FORZA ITALIA (FI) (03.05.2006-28.04.2008)"
"12","camera",15,"DCA-DEMOCRAZIA CRISTIANA PER LE AUTONOMIE-NUOVO PSI (DCA-NPSI) (18.05.2006-28.04.2008)"
"13","camera",15,"UDC (UNIONE DEI DEMOCRATICI CRISTIANI E DEI DEMOCRATICI DI CENTRO) (UDC) (03.05.2006-28.04.2008)"
"14","camera",15,"VERDI (VERDI) (18.05.2006-28.04.2008)"
"15","camera",15,"LEGA NORD PADANIA (LNP) (03.05.2006-28.04.2008)"
"16","camera",15,"ALLEANZA NAZIONALE (AN) (03.05.2006-28.04.2008)"
"17","camera",15,"ITALIA DEI VALORI (IDV) (03.05.2006-28.04.2008)"
"18","camera",15,"RIFONDAZIONE COMUNISTA - SINISTRA EUROPEA (RC-SE) (03.05.2006-28.04.2008)"
"19","camera",15,"PARTITO DEMOCRATICO-L'ULIVO (PD-U) (03.05.2006-28.04.2008)"
"20","camera",15,"POPOLARI-UDEUR (POP-UDEUR) (18.05.2006-28.04.2008)"
