"geo","Altro","Economia e Legge","Salute","Scienze Sociali & Umanistiche","STEM"
"Albania",11.4000437924239,25.396102474272,18.8535143420188,14.6923582220276,29.6579811692577
"Austria",15.4593284429969,24.7067837395342,11.2271384540089,20.5978232370609,28.0089261263991
"Belgium",12.4967274999789,23.289010311542,25.3270388730777,20.6028156167924,18.2844076986091
"Bosnia and Herzegovina",16.8510852836597,17.4454704664862,22.8307594332113,17.3287162341453,25.5439685824975
"Bulgaria",22.5787148500503,21.5651808045628,14.9734695308665,17.171174119352,23.7114606951684
"Croatia",18.8048227816049,24.524247008486,13.7521994039696,14.7033807517254,28.2153500542141
"Cyprus",22.0439469320066,36.7412935323383,11.764096185738,16.2417081260365,13.2089552238806
"Czechia",24.6954809018626,19.7518394247674,14.9063637310573,17.1635454577019,23.4827704846107
"Denmark",10.4134768646111,20.395496195793,26.2631616140202,18.6064589074977,24.321406418078
"Estonia",16.609337791355,19.5198806917952,14.0343492170399,19.8001106487384,30.0363216510716
"European Union - 27 countries (from 2020)",13.6437359780989,22.7651722383252,14.3580838781619,22.4840704162871,26.748937489127
"Finland",11.4328033136494,18.491485762068,19.2515119497508,15.6581599911843,35.1660389833475
"France",8.78498820408563,28.7848577423598,15.1556517106794,22.8073623900588,24.4671399528163
"Georgia",6.9561573825444,27.4150619367708,24.7280860682101,20.4040201360898,20.4966744763849
"Germany",12.2461022633096,23.8675748493192,8.77428081165107,19.8366824735213,35.2753596021988
"Greece",12.6760412538957,19.965086266908,8.09382203039899,25.501780790783,33.7632696580144
"Hungary",19.6148291172944,24.0373601198343,12.8350707014983,19.2466679692139,24.266072092159
"Iceland",18.5420221843003,18.0407423208191,18.7126706484642,25.4639505119454,19.240614334471
"Ireland",12.1030149791212,20.6245450714477,17.3169750603379,20.706432210857,29.2490326782362
"Italy",11.4720848006662,17.7569038158888,15.1844663848447,31.3766699365548,24.2098750620455
"Latvia",12.6768897830828,25.0477623548109,15.9044414763217,19.3923614046359,26.9785449811487
"Lithuania",8.87288253955586,25.7058201480476,21.0668608711267,19.886669726052,24.4677667152178
"Luxembourg",19.5444526083762,35.7090374724467,4.70242468772961,18.1892399379541,21.8548452934933
"Malta",14.4431084141942,27.0238528005369,24.048544503789,19.5128771566791,14.9716171248008
"Montenegro",18.9272649532044,20.3097534324671,5.79599980996722,28.3006318589957,26.6663499453656
"Netherlands",15.6846887801105,26.3524119761201,16.0429627359924,20.8271067588576,21.0928297489194
"North Macedonia",10.4121701594374,20.0915546891318,23.1515003829284,19.0071712037875,27.3376035647149
"Norway",21.6332092299858,21.117755954552,18.5993297042853,20.744069534578,17.9056355765988
"Poland",16.4589952208918,24.0572905924874,16.3815963781667,21.6750747146014,21.4270430938527
"Portugal",11.5323651854511,22.709993162008,16.2594873863937,21.6400177106612,27.858136555486
"Romania",12.6970454791805,24.6260394245807,14.7412471546478,17.338066554143,30.5976013874479
"Serbia",14.8780559982752,16.0347167322643,11.4807878482982,22.3287097906089,35.2777296305534
"Slovakia",21.7741259327576,18.8114057486071,19.9326204105277,16.9302651737463,22.5515827343613
"Slovenia",18.4213492856767,20.7525758475309,16.2178817552588,17.5924186287698,27.0157744827638
"Spain",18.4992816100463,20.3594555634653,15.6094351311047,23.4291660398769,22.1026616555068
"Sweden",16.8781200270312,12.8445200154048,17.7063729087796,26.5486597054186,26.0223273433659
"Switzerland",14.6712416161736,24.818109395505,16.7656693673413,17.0023502811412,26.7426293398388
"Türkiye",13.6084397659791,20.9602134391297,14.5674020629043,31.818551907956,19.0453928240309
