DATAFLOW,FREQ,REF_AREA,DATA_TYPE,MEASURE,SEX,AGE,EDU_LEV_HIGHEST,LABOUR_PROFESS_STATUS_B,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_MEASURE,NOTE_SEX,NOTE_AGE,NOTE_EDU_LEV_HIGHEST,NOTE_LABOUR_PROFESS_STATUS_B,NOTE_TIME_PERIOD,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,IT,11_BIC_VINO,HSC,9,Y_GE11,99,99,2023,14,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,IT,11_BIC_VINO,HSC,9,Y_GE11,99,99,2024,12.7,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,IT,11_BIC_VINO,HSC,9,Y_GE11,99,99,2025,12.4,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,IT,11_PIU_VINO,HSC,9,Y_GE11,99,99,2023,2,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,IT,11_PIU_VINO,HSC,9,Y_GE11,99,99,2024,1.8,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,IT,11_PIU_VINO,HSC,9,Y_GE11,99,99,2025,1.8,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,IT,11_VINO,HSC,9,Y_GE11,99,99,2023,55.1,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,IT,11_VINO,HSC,9,Y_GE11,99,99,2024,54.7,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,IT,11_VINO,HSC,9,Y_GE11,99,99,2025,54.1,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITC1,11_BIC_VINO,HSC,9,Y_GE11,99,99,2023,18,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITC1,11_BIC_VINO,HSC,9,Y_GE11,99,99,2024,14.7,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITC1,11_BIC_VINO,HSC,9,Y_GE11,99,99,2025,13,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITC1,11_PIU_VINO,HSC,9,Y_GE11,99,99,2023,2.4,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITC1,11_PIU_VINO,HSC,9,Y_GE11,99,99,2024,2.2,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITC1,11_PIU_VINO,HSC,9,Y_GE11,99,99,2025,1.7,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITC1,11_VINO,HSC,9,Y_GE11,99,99,2023,57.5,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITC1,11_VINO,HSC,9,Y_GE11,99,99,2024,56.9,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITC1,11_VINO,HSC,9,Y_GE11,99,99,2025,57.5,,,,,,,,,,,,,
IT1:83_85_DF_DCCV_AVQ_PERSONE1_218(1.0),A,ITC2,11_BIC_VINO,HSC,9,Y_GE11,99,99,2023,15,,,,,,,,,,,,,
