nuts_id,regione,anno,quota_vino_giornaliero
ITI1,Toscana,2025,18.8
ITF5,Basilicata,2025,16.9
ITF2,Molise,2025,16.3
ITH5,Emilia-Romagna,2025,16
ITC3,Liguria,2025,15.9
ITH3,Veneto,2025,15.8
ITI3,Marche,2025,15.6
ITI2,Umbria,2025,15.5
ITC4,Lombardia,2025,15.1
ITH4,Friuli-Venezia Giulia,2025,15
ITF4,Puglia,2025,14.8
ITC1,Piemonte,2025,14.7
ITC2,Valle d’Aosta/Vallée d’Aoste,2025,14.4
ITI4,Lazio,2025,12.9
ITH2,Provincia Autonoma di Trento,2025,12.9
ITF1,Abruzzo,2025,12.3
ITF3,Campania,2025,12.3
ITG2,Sardegna,2025,12.1
ITF6,Calabria,2025,10.9
ITG1,Sicilia,2025,9.3
ITH1,Provincia Autonoma di Bolzano/Bozen,2025,9
