"geo","ecase","anno","GRS","NET","TOTAL","paese","pct","rapporto"
"IT","P1_NCH_AW50",2024,18261.73,16098.76,24028.78,"Italia",50,1.49258576436943
"IT","P1_NCH_AW67",2024,24470.71,19929.06,32198.56,"Italia",67,1.6156587415563
"IT","P1_NCH_AW80",2024,29218.77,22753.18,38446.06,"Italia",80,1.68970051658713
"IT","P1_NCH_AW100",2024,36523.45,25428.9,48057.56,"Italia",100,1.88987962515091
"IT","P1_NCH_AW125",2024,45654.32,29667,60071.96,"Italia",125,2.0248747766879
"IT","P1_NCH_AW167",2024,60994.17,36901.59,80256.13,"Italia",167,2.17486915875441
"FR","P1_NCH_AW50",2024,20217.73,17535.83,22021.14,"Francia",50,1.25577973782821
"FR","P1_NCH_AW67",2024,27091.76,20658.28,35098.71,"Francia",67,1.69901414832213
"FR","P1_NCH_AW80",2024,32348.37,24199.51,44105.71,"Francia",80,1.82258690361912
"FR","P1_NCH_AW100",2024,40435.46,29092.37,55132.14,"Francia",100,1.89507214434575
"FR","P1_NCH_AW125",2024,50544.33,34881.67,72054.86,"Francia",125,2.06569410237526
"FR","P1_NCH_AW167",2024,67527.23,44695.53,97482.19,"Francia",167,2.18102772245905
"DE","P1_NCH_AW50",2024,29128.26,20696.31,34943.81,"Germania",50,1.68840774031699
"DE","P1_NCH_AW67",2024,39031.88,26285.74,46872.71,"Germania",67,1.78319917947906
"DE","P1_NCH_AW80",2024,46605.22,30389.83,55994.81,"Germania",80,1.84255094549723
"DE","P1_NCH_AW100",2024,58256.54,36446.6,69989.14,"Germania",100,1.9203201396015
"DE","P1_NCH_AW125",2024,72820.67,44417.97,86097.07,"Germania",125,1.93833869490209
"DE","P1_NCH_AW167",2024,97288.4,56930.61,111759.16,"Germania",167,1.96307680525468
"ES","P1_NCH_AW50",2024,17437.38,16309.18,22752.3,"Spagna",50,1.39506094113867
"ES","P1_NCH_AW67",2024,23366.09,19157.84,30488.08,"Spagna",67,1.59141531613167
"ES","P1_NCH_AW80",2024,27899.81,22322.86,36403.68,"Spagna",80,1.63078028532186
"ES","P1_NCH_AW100",2024,34874.77,27032.96,45504.6,"Spagna",100,1.68330068183432
"ES","P1_NCH_AW125",2024,43593.46,32920.57,56880.75,"Spagna",125,1.72781789622719
"ES","P1_NCH_AW167",2024,58240.86,41726.03,75992.67,"Spagna",167,1.82122933813737
"EU27_2020","P1_NCH_AW50",2024,20928.19,16791.44,25005.94,"Unione europea",50,1.48920759625142
"EU27_2020","P1_NCH_AW67",2024,28043.78,20826.18,34345.05,"Unione europea",67,1.64912864481148
"EU27_2020","P1_NCH_AW80",2024,33485.11,24131.12,41334.32,"Unione europea",80,1.71290516146785
"EU27_2020","P1_NCH_AW100",2024,41856.39,28850.35,51663.45,"Unione europea",100,1.79073910715121
"EU27_2020","P1_NCH_AW125",2024,52320.49,34832.83,64686.23,"Unione europea",125,1.85704779083411
"EU27_2020","P1_NCH_AW167",2024,69900.17,44364.88,85667.3,"Unione europea",167,1.93097107441742
