"ente_id","nraggrupmacro","voti","voti_nona","voti_solosindpres","nome","cognome_cand","nome_breve","tot_sezioni","iscritti","votanti","valide","bianche","nulle","timestamp"
1,6,24,0,0,"Roberto Mancini","Mancini","Roberto Mancini",4,3592,2320,2131,106,83,"19/10/2020 - 15:40:22"
1,1,2,0,0,"Alessandra Contigiani","Contigiani","Alessandra Contigiani",4,3592,2320,2131,106,83,"19/10/2020 - 15:40:22"
1,4,19,0,0,"Fabio Pasquinelli","Pasquinelli","Fabio Pasquinelli",4,3592,2320,2131,106,83,"19/10/2020 - 15:40:22"
1,7,190,0,0,"Gian-Mario Mercorelli","Mercorelli","Gian-Mario Mercorelli",4,3592,2320,2131,106,83,"19/10/2020 - 15:40:22"
1,8,671,0,0,"Maurizio Mangialardi","Mangialardi","Maurizio Mangialardi",4,3592,2320,2131,106,83,"19/10/2020 - 15:40:22"
1,2,6,0,0,"Sabrina Paola Banzato","Banzato","Sabrina Paola Banzato",4,3592,2320,2131,106,83,"19/10/2020 - 15:40:22"
1,5,1210,0,0,"Francesco Acquaroli","Acquaroli","Francesco Acquaroli",4,3592,2320,2131,106,83,"19/10/2020 - 15:40:22"
1,3,9,0,0,"Anna Rita Iannetti","Iannetti","Anna Rita Iannetti",4,3592,2320,2131,106,83,"19/10/2020 - 15:40:22"
2,6,6,0,0,"Roberto Mancini","Mancini","Roberto Mancini",3,1557,1031,969,46,16,"19/10/2020 - 15:41:48"
2,1,2,0,0,"Alessandra Contigiani","Contigiani","Alessandra Contigiani",3,1557,1031,969,46,16,"19/10/2020 - 15:41:48"
2,4,25,0,0,"Fabio Pasquinelli","Pasquinelli","Fabio Pasquinelli",3,1557,1031,969,46,16,"19/10/2020 - 15:41:48"
2,7,33,0,0,"Gian-Mario Mercorelli","Mercorelli","Gian-Mario Mercorelli",3,1557,1031,969,46,16,"19/10/2020 - 15:41:48"
2,8,310,0,0,"Maurizio Mangialardi","Mangialardi","Maurizio Mangialardi",3,1557,1031,969,46,16,"19/10/2020 - 15:41:48"
2,2,3,0,0,"Sabrina Paola Banzato","Banzato","Sabrina Paola Banzato",3,1557,1031,969,46,16,"19/10/2020 - 15:41:48"
2,5,589,0,0,"Francesco Acquaroli","Acquaroli","Francesco Acquaroli",3,1557,1031,969,46,16,"19/10/2020 - 15:41:48"
2,3,1,0,0,"Anna Rita Iannetti","Iannetti","Anna Rita Iannetti",3,1557,1031,969,46,16,"19/10/2020 - 15:41:48"
3,6,3,0,0,"Roberto Mancini","Mancini","Roberto Mancini",1,574,379,361,16,2,"19/10/2020 - 15:41:48"
3,1,2,0,0,"Alessandra Contigiani","Contigiani","Alessandra Contigiani",1,574,379,361,16,2,"19/10/2020 - 15:41:48"
3,4,4,0,0,"Fabio Pasquinelli","Pasquinelli","Fabio Pasquinelli",1,574,379,361,16,2,"19/10/2020 - 15:41:48"
3,7,27,0,0,"Gian-Mario Mercorelli","Mercorelli","Gian-Mario Mercorelli",1,574,379,361,16,2,"19/10/2020 - 15:41:48"
3,8,88,0,0,"Maurizio Mangialardi","Mangialardi","Maurizio Mangialardi",1,574,379,361,16,2,"19/10/2020 - 15:41:48"
3,2,0,0,0,"Sabrina Paola Banzato","Banzato","Sabrina Paola Banzato",1,574,379,361,16,2,"19/10/2020 - 15:41:48"
3,5,235,0,0,"Francesco Acquaroli","Acquaroli","Francesco Acquaroli",1,574,379,361,16,2,"19/10/2020 - 15:41:48"
3,3,2,0,0,"Anna Rita Iannetti","Iannetti","Anna Rita Iannetti",1,574,379,361,16,2,"19/10/2020 - 15:41:48"
4,6,1,0,0,"Roberto Mancini","Mancini","Roberto Mancini",2,618,321,294,17,10,"19/10/2020 - 15:40:22"
4,1,1,0,0,"Alessandra Contigiani","Contigiani","Alessandra Contigiani",2,618,321,294,17,10,"19/10/2020 - 15:40:22"
4,4,10,0,0,"Fabio Pasquinelli","Pasquinelli","Fabio Pasquinelli",2,618,321,294,17,10,"19/10/2020 - 15:40:22"
4,7,11,0,0,"Gian-Mario Mercorelli","Mercorelli","Gian-Mario Mercorelli",2,618,321,294,17,10,"19/10/2020 - 15:40:22"
4,8,116,0,0,"Maurizio Mangialardi","Mangialardi","Maurizio Mangialardi",2,618,321,294,17,10,"19/10/2020 - 15:40:22"
4,2,0,0,0,"Sabrina Paola Banzato","Banzato","Sabrina Paola Banzato",2,618,321,294,17,10,"19/10/2020 - 15:40:22"
4,5,155,0,0,"Francesco Acquaroli","Acquaroli","Francesco Acquaroli",2,618,321,294,17,10,"19/10/2020 - 15:40:22"
4,3,0,0,0,"Anna Rita Iannetti","Iannetti","Anna Rita Iannetti",2,618,321,294,17,10,"19/10/2020 - 15:40:22"
5,6,67,0,0,"Roberto Mancini","Mancini","Roberto Mancini",12,7674,4450,4126,189,135,"19/10/2020 - 15:41:48"
5,1,8,0,0,"Alessandra Contigiani","Contigiani","Alessandra Contigiani",12,7674,4450,4126,189,135,"19/10/2020 - 15:41:48"
5,4,68,0,0,"Fabio Pasquinelli","Pasquinelli","Fabio Pasquinelli",12,7674,4450,4126,189,135,"19/10/2020 - 15:41:48"
5,7,372,0,0,"Gian-Mario Mercorelli","Mercorelli","Gian-Mario Mercorelli",12,7674,4450,4126,189,135,"19/10/2020 - 15:41:48"
5,8,1586,0,0,"Maurizio Mangialardi","Mangialardi","Maurizio Mangialardi",12,7674,4450,4126,189,135,"19/10/2020 - 15:41:48"
5,2,21,0,0,"Sabrina Paola Banzato","Banzato","Sabrina Paola Banzato",12,7674,4450,4126,189,135,"19/10/2020 - 15:41:48"
5,5,1992,0,0,"Francesco Acquaroli","Acquaroli","Francesco Acquaroli",12,7674,4450,4126,189,135,"19/10/2020 - 15:41:48"
5,3,12,0,0,"Anna Rita Iannetti","Iannetti","Anna Rita Iannetti",12,7674,4450,4126,189,135,"19/10/2020 - 15:41:48"
6,6,19,0,0,"Roberto Mancini","Mancini","Roberto Mancini",4,2149,1239,1137,63,39,"19/10/2020 - 15:41:48"
6,1,1,0,0,"Alessandra Contigiani","Contigiani","Alessandra Contigiani",4,2149,1239,1137,63,39,"19/10/2020 - 15:41:48"
6,4,24,0,0,"Fabio Pasquinelli","Pasquinelli","Fabio Pasquinelli",4,2149,1239,1137,63,39,"19/10/2020 - 15:41:48"
