"idente","orario","tot_sezio","iscri_maschi","iscri_femm","iscri_totale","tvmaschi","tvfemm","tvotanti","nome_breve","nome","url","img_logo","cod_istat","ent_fl_validazione","provincia_id"
54,3,4,0,0,4169,0,0,436,"AGUGLIANO","AGUGLIANO","http://www.regione.marche.it","logoMarche.jpg","042001","N",1
54,5,4,0,0,4169,0,0,1321,"AGUGLIANO","AGUGLIANO","http://www.regione.marche.it","logoMarche.jpg","042001","N",1
54,7,4,0,0,4169,0,0,1714,"AGUGLIANO","AGUGLIANO","http://www.regione.marche.it","logoMarche.jpg","042001","N",1
54,8,4,0,0,4169,0,0,2253,"AGUGLIANO","AGUGLIANO","http://www.regione.marche.it","logoMarche.jpg","042001","N",1
55,3,99,0,0,81110,0,0,7705,"ANCONA","ANCONA","http://www.regione.marche.it","logoMarche.jpg","042002","N",1
55,5,99,0,0,81110,0,0,24924,"ANCONA","ANCONA","http://www.regione.marche.it","logoMarche.jpg","042002","N",1
55,7,99,0,0,81110,0,0,30735,"ANCONA","ANCONA","http://www.regione.marche.it","logoMarche.jpg","042002","N",1
55,8,99,0,0,81110,0,0,41509,"ANCONA","ANCONA","http://www.regione.marche.it","logoMarche.jpg","042002","N",1
56,3,9,0,0,4101,0,0,395,"ARCEVIA","ARCEVIA","http://www.regione.marche.it","logoMarche.jpg","042003","N",1
56,5,9,0,0,4101,0,0,1238,"ARCEVIA","ARCEVIA","http://www.regione.marche.it","logoMarche.jpg","042003","N",1
56,7,9,0,0,4101,0,0,1496,"ARCEVIA","ARCEVIA","http://www.regione.marche.it","logoMarche.jpg","042003","N",1
56,8,9,0,0,4101,0,0,1997,"ARCEVIA","ARCEVIA","http://www.regione.marche.it","logoMarche.jpg","042003","N",1
57,3,2,0,0,1068,0,0,107,"BARBARA","BARBARA","http://www.regione.marche.it","logoMarche.jpg","042004","N",1
57,5,2,0,0,1068,0,0,350,"BARBARA","BARBARA","http://www.regione.marche.it","logoMarche.jpg","042004","N",1
57,7,2,0,0,1068,0,0,446,"BARBARA","BARBARA","http://www.regione.marche.it","logoMarche.jpg","042004","N",1
57,8,2,0,0,1068,0,0,596,"BARBARA","BARBARA","http://www.regione.marche.it","logoMarche.jpg","042004","N",1
58,3,2,0,0,2089,0,0,214,"BELVEDERE OSTRENSE","BELVEDERE OSTRENSE","http://www.regione.marche.it","logoMarche.jpg","042005","N",1
58,5,2,0,0,2089,0,0,592,"BELVEDERE OSTRENSE","BELVEDERE OSTRENSE","http://www.regione.marche.it","logoMarche.jpg","042005","N",1
58,7,2,0,0,2089,0,0,710,"BELVEDERE OSTRENSE","BELVEDERE OSTRENSE","http://www.regione.marche.it","logoMarche.jpg","042005","N",1
58,8,2,0,0,2089,0,0,944,"BELVEDERE OSTRENSE","BELVEDERE OSTRENSE","http://www.regione.marche.it","logoMarche.jpg","042005","N",1
59,3,6,0,0,7024,0,0,634,"CAMERANO","CAMERANO","http://www.regione.marche.it","logoMarche.jpg","042006","N",1
