"ente_id","nraggrupmacro","voti","voti_nona","voti_solosindpres","nome","cognome_cand","nome_breve","tot_sezioni","iscritti","votanti","valide","bianche","nulle","timestamp","comune"
1,5,716,0,0,"Matteo Ricci","Ricci","Matteo Ricci",4,3569,2000,1912,24,64,"30/09/2025 - 00:46:04","ACQUALAGNA"
1,3,14,0,0,"Lidia Mangani","Mangani","Lidia Mangani",4,3569,2000,1912,24,64,"30/09/2025 - 00:46:04","ACQUALAGNA"
1,1,6,0,0,"Claudio Bolletta","Bolletta","Claudio Bolletta",4,3569,2000,1912,24,64,"30/09/2025 - 00:46:04","ACQUALAGNA"
1,6,1152,0,0,"Francesco Acquaroli","Acquaroli","Francesco Acquaroli",4,3569,2000,1912,24,64,"30/09/2025 - 00:46:04","ACQUALAGNA"
1,4,8,0,0,"Francesco Gerardi","Gerardi","Francesco Gerardi",4,3569,2000,1912,24,64,"30/09/2025 - 00:46:04","ACQUALAGNA"
1,2,16,0,0,"Beatrice Marinelli","Marinelli","Beatrice Marinelli",4,3569,2000,1912,24,64,"30/09/2025 - 00:46:04","ACQUALAGNA"
2,5,314,0,0,"Matteo Ricci","Ricci","Matteo Ricci",3,1497,953,900,19,34,"30/09/2025 - 00:46:04","APECCHIO"
2,3,11,0,0,"Lidia Mangani","Mangani","Lidia Mangani",3,1497,953,900,19,34,"30/09/2025 - 00:46:04","APECCHIO"
2,1,2,0,0,"Claudio Bolletta","Bolletta","Claudio Bolletta",3,1497,953,900,19,34,"30/09/2025 - 00:46:04","APECCHIO"
2,6,567,0,0,"Francesco Acquaroli","Acquaroli","Francesco Acquaroli",3,1497,953,900,19,34,"30/09/2025 - 00:46:04","APECCHIO"
2,4,0,0,0,"Francesco Gerardi","Gerardi","Francesco Gerardi",3,1497,953,900,19,34,"30/09/2025 - 00:46:04","APECCHIO"
2,2,6,0,0,"Beatrice Marinelli","Marinelli","Beatrice Marinelli",3,1497,953,900,19,34,"30/09/2025 - 00:46:04","APECCHIO"
3,5,60,0,0,"Matteo Ricci","Ricci","Matteo Ricci",1,595,289,279,4,6,"30/09/2025 - 00:46:04","BELFORTE ALL'ISAURO"
3,3,4,0,0,"Lidia Mangani","Mangani","Lidia Mangani",1,595,289,279,4,6,"30/09/2025 - 00:46:04","BELFORTE ALL'ISAURO"
3,1,1,0,0,"Claudio Bolletta","Bolletta","Claudio Bolletta",1,595,289,279,4,6,"30/09/2025 - 00:46:04","BELFORTE ALL'ISAURO"
3,6,211,0,0,"Francesco Acquaroli","Acquaroli","Francesco Acquaroli",1,595,289,279,4,6,"30/09/2025 - 00:46:04","BELFORTE ALL'ISAURO"
3,4,1,0,0,"Francesco Gerardi","Gerardi","Francesco Gerardi",1,595,289,279,4,6,"30/09/2025 - 00:46:04","BELFORTE ALL'ISAURO"
3,2,2,0,0,"Beatrice Marinelli","Marinelli","Beatrice Marinelli",1,595,289,279,4,6,"30/09/2025 - 00:46:04","BELFORTE ALL'ISAURO"
4,5,78,0,0,"Matteo Ricci","Ricci","Matteo Ricci",2,623,262,256,1,5,"30/09/2025 - 00:46:04","BORGO PACE"
4,3,0,0,0,"Lidia Mangani","Mangani","Lidia Mangani",2,623,262,256,1,5,"30/09/2025 - 00:46:04","BORGO PACE"
4,1,1,0,0,"Claudio Bolletta","Bolletta","Claudio Bolletta",2,623,262,256,1,5,"30/09/2025 - 00:46:04","BORGO PACE"
4,6,175,0,0,"Francesco Acquaroli","Acquaroli","Francesco Acquaroli",2,623,262,256,1,5,"30/09/2025 - 00:46:04","BORGO PACE"
4,4,1,0,0,"Francesco Gerardi","Gerardi","Francesco Gerardi",2,623,262,256,1,5,"30/09/2025 - 00:46:04","BORGO PACE"
4,2,1,0,0,"Beatrice Marinelli","Marinelli","Beatrice Marinelli",2,623,262,256,1,5,"30/09/2025 - 00:46:04","BORGO PACE"
5,5,1621,0,0,"Matteo Ricci","Ricci","Matteo Ricci",12,7535,3861,3695,64,102,"30/09/2025 - 00:46:04","CAGLI"
5,3,38,0,0,"Lidia Mangani","Mangani","Lidia Mangani",12,7535,3861,3695,64,102,"30/09/2025 - 00:46:04","CAGLI"
5,1,20,0,0,"Claudio Bolletta","Bolletta","Claudio Bolletta",12,7535,3861,3695,64,102,"30/09/2025 - 00:46:04","CAGLI"
5,6,1991,0,0,"Francesco Acquaroli","Acquaroli","Francesco Acquaroli",12,7535,3861,3695,64,102,"30/09/2025 - 00:46:04","CAGLI"
5,4,9,0,0,"Francesco Gerardi","Gerardi","Francesco Gerardi",12,7535,3861,3695,64,102,"30/09/2025 - 00:46:04","CAGLI"
5,2,16,0,0,"Beatrice Marinelli","Marinelli","Beatrice Marinelli",12,7535,3861,3695,64,102,"30/09/2025 - 00:46:04","CAGLI"
6,5,648,0,0,"Matteo Ricci","Ricci","Matteo Ricci",4,2076,1114,1057,24,33,"30/09/2025 - 00:46:04","CANTIANO"
6,3,15,0,0,"Lidia Mangani","Mangani","Lidia Mangani",4,2076,1114,1057,24,33,"30/09/2025 - 00:46:04","CANTIANO"
6,1,7,0,0,"Claudio Bolletta","Bolletta","Claudio Bolletta",4,2076,1114,1057,24,33,"30/09/2025 - 00:46:04","CANTIANO"
6,6,386,0,0,"Francesco Acquaroli","Acquaroli","Francesco Acquaroli",4,2076,1114,1057,24,33,"30/09/2025 - 00:46:04","CANTIANO"
6,4,0,0,0,"Francesco Gerardi","Gerardi","Francesco Gerardi",4,2076,1114,1057,24,33,"30/09/2025 - 00:46:04","CANTIANO"
6,2,1,0,0,"Beatrice Marinelli","Marinelli","Beatrice Marinelli",4,2076,1114,1057,24,33,"30/09/2025 - 00:46:04","CANTIANO"
7,5,215,0,0,"Matteo Ricci","Ricci","Matteo Ricci",2,1319,778,758,11,9,"30/09/2025 - 00:46:04","CARPEGNA"
7,3,7,0,0,"Lidia Mangani","Mangani","Lidia Mangani",2,1319,778,758,11,9,"30/09/2025 - 00:46:04","CARPEGNA"
7,1,8,0,0,"Claudio Bolletta","Bolletta","Claudio Bolletta",2,1319,778,758,11,9,"30/09/2025 - 00:46:04","CARPEGNA"
7,6,525,0,0,"Francesco Acquaroli","Acquaroli","Francesco Acquaroli",2,1319,778,758,11,9,"30/09/2025 - 00:46:04","CARPEGNA"
7,4,0,0,0,"Francesco Gerardi","Gerardi","Francesco Gerardi",2,1319,778,758,11,9,"30/09/2025 - 00:46:04","CARPEGNA"
7,2,3,0,0,"Beatrice Marinelli","Marinelli","Beatrice Marinelli",2,1319,778,758,11,9,"30/09/2025 - 00:46:04","CARPEGNA"
8,5,1065,0,0,"Matteo Ricci","Ricci","Matteo Ricci",7,6673,3452,3326,45,80,"30/09/2025 - 00:46:04","CARTOCETO"
8,3,22,0,0,"Lidia Mangani","Mangani","Lidia Mangani",7,6673,3452,3326,45,80,"30/09/2025 - 00:46:04","CARTOCETO"
8,1,19,0,0,"Claudio Bolletta","Bolletta","Claudio Bolletta",7,6673,3452,3326,45,80,"30/09/2025 - 00:46:04","CARTOCETO"
8,6,2123,0,0,"Francesco Acquaroli","Acquaroli","Francesco Acquaroli",7,6673,3452,3326,45,80,"30/09/2025 - 00:46:04","CARTOCETO"
8,4,22,0,0,"Francesco Gerardi","Gerardi","Francesco Gerardi",7,6673,3452,3326,45,80,"30/09/2025 - 00:46:04","CARTOCETO"
8,2,75,0,0,"Beatrice Marinelli","Marinelli","Beatrice Marinelli",7,6673,3452,3326,45,80,"30/09/2025 - 00:46:04","CARTOCETO"
9,5,12729,0,0,"Matteo Ricci","Ricci","Matteo Ricci",68,51891,27725,27040,260,423,"30/09/2025 - 00:46:04","FANO"
9,3,241,0,0,"Lidia Mangani","Mangani","Lidia Mangani",68,51891,27725,27040,260,423,"30/09/2025 - 00:46:04","FANO"
9,1,182,0,0,"Claudio Bolletta","Bolletta","Claudio Bolletta",68,51891,27725,27040,260,423,"30/09/2025 - 00:46:04","FANO"
9,6,13547,0,0,"Francesco Acquaroli","Acquaroli","Francesco Acquaroli",68,51891,27725,27040,260,423,"30/09/2025 - 00:46:04","FANO"
