"ente_id","comune","votanti","Acquaroli","Francesco Acquaroli","Ricci","Matteo Ricci","colore","differenza"
1,"ACQUALAGNA",2000,0.576,1152,0.358,716,"Acquaroli",436
2,"APECCHIO",953,0.594963273871983,567,0.329485834207765,314,"Acquaroli",253
3,"BELFORTE ALL'ISAURO",289,0.730103806228374,211,0.207612456747405,60,"Acquaroli",151
4,"BORGO PACE",262,0.66793893129771,175,0.297709923664122,78,"Acquaroli",97
5,"CAGLI",3861,0.515669515669516,1991,0.41983941983942,1621,"Acquaroli",370
6,"CANTIANO",1114,0.346499102333932,386,0.581687612208258,648,"Ricci",262
7,"CARPEGNA",778,0.674807197943445,525,0.276349614395887,215,"Acquaroli",310
8,"CARTOCETO",3452,0.615005793742758,2123,0.308516801853998,1065,"Acquaroli",1058
9,"FANO",27725,0.488620378719567,13547,0.459116321009919,12729,"Acquaroli",818
10,"FERMIGNANO",3728,0.488733905579399,1822,0.454399141630901,1694,"Acquaroli",128
11,"FOSSOMBRONE",4284,0.538515406162465,2307,0.362044817927171,1551,"Acquaroli",756
12,"FRATTE ROSA",420,0.521428571428571,219,0.419047619047619,176,"Acquaroli",43
13,"FRONTINO",123,0.504065040650406,62,0.317073170731707,39,"Acquaroli",23
14,"FRONTONE",685,0.508029197080292,348,0.421897810218978,289,"Acquaroli",59
15,"GABICCE MARE",1760,0.45625,803,0.460227272727273,810,"Ricci",7
16,"GRADARA",1571,0.426479949077021,670,0.506683640992998,796,"Ricci",126
17,"ISOLA DEL PIANO",264,0.488636363636364,129,0.450757575757576,119,"Acquaroli",10
18,"LUNANO",616,0.672077922077922,414,0.293831168831169,181,"Acquaroli",233
19,"MACERATA FELTRIA",927,0.623516720604099,578,0.334412081984898,310,"Acquaroli",268
20,"MERCATELLO SUL METAURO",669,0.662182361733931,443,0.282511210762332,189,"Acquaroli",254
21,"MERCATINO CONCA",441,0.521541950113379,230,0.437641723356009,193,"Acquaroli",37
22,"MOMBAROCCIO",1061,0.730442978322337,775,0.212064090480679,225,"Acquaroli",550
23,"MONDAVIO",1692,0.480496453900709,813,0.466903073286052,790,"Acquaroli",23
24,"MONDOLFO",6249,0.566810689710354,3542,0.374459913586174,2340,"Acquaroli",1202
25,"MONTECALVO IN FOGLIA",1179,0.365564037319763,431,0.574215436810857,677,"Ricci",246
26,"MONTE CERIGNONE",288,0.444444444444444,128,0.5,144,"Ricci",16
27,NA,0,NA,0,NA,NA,NA,NA
28,NA,0,NA,NA,NA,NA,NA,NA
29,"MONTEFELCINO",1208,0.622516556291391,752,0.334437086092715,404,"Acquaroli",348
30,"MONTE GRIMANO TERME",493,0.486815415821501,240,0.452332657200811,223,"Acquaroli",17
31,"MONTELABBATE",2385,0.420964360587002,1004,0.505660377358491,1206,"Ricci",202
32,"MONTE PORZIO",1140,0.554385964912281,632,0.378070175438597,431,"Acquaroli",201
33,"PEGLIO",347,0.403458213256484,140,0.536023054755043,186,"Ricci",46
34,"PERGOLA",3075,0.64650406504065,1988,0.308943089430894,950,"Acquaroli",1038
35,"PESARO",43713,0.437924644842495,19143,0.49811268958891,21774,"Ricci",2631
36,"PETRIANO",1154,0.54159445407279,625,0.411611785095321,475,"Acquaroli",150
37,"PIANDIMELETO",986,0.697768762677485,688,0.249492900608519,246,"Acquaroli",442
38,"PIETRARUBBIA",263,0.52851711026616,139,0.414448669201521,109,"Acquaroli",30
39,"PIOBBICO",841,0.63614744351962,535,0.292508917954816,246,"Acquaroli",289
40,"SAN COSTANZO",2136,0.550093632958802,1175,0.381554307116105,815,"Acquaroli",360
41,"SAN LORENZO IN CAMPO",1524,0.511811023622047,780,0.427165354330709,651,"Acquaroli",129
42,"SANT'ANGELO IN VADO",1879,0.631186801490154,1186,0.315593400745077,593,"Acquaroli",593
43,"SANT'IPPOLITO",692,0.578034682080925,400,0.358381502890173,248,"Acquaroli",152
44,NA,0,NA,NA,NA,NA,NA,NA
45,"SERRA SANT'ABBONDIO",458,0.537117903930131,246,0.412663755458515,189,"Acquaroli",57
46,"TAVOLETO",318,0.534591194968553,170,0.393081761006289,125,"Acquaroli",45
47,"TAVULLIA",2692,0.538632986627043,1450,0.394130757800892,1061,"Acquaroli",389
48,"URBANIA",3215,0.53592534992224,1723,0.404043545878694,1299,"Acquaroli",424
49,"URBINO",6989,0.423808842466733,2962,0.519387609100014,3630,"Ricci",668
50,"VALLEFOGLIA",5404,0.431902294596595,2334,0.495373797187269,2677,"Ricci",343
51,"COLLI AL METAURO",5136,0.578271028037383,2970,0.355140186915888,1824,"Acquaroli",1146
52,"TERRE ROVERESCHE",2301,0.551064754454585,1268,0.368100825727944,847,"Acquaroli",421
53,"SASSOCORVARO AUDITORE",2296,0.559668989547038,1285,0.360191637630662,827,"Acquaroli",458
54,"AGUGLIANO",2253,0.417665335108744,941,0.528184642698624,1190,"Ricci",249
55,"ANCONA",41509,0.425763087523188,17673,0.52186272856489,21662,"Ricci",3989
56,"ARCEVIA",1997,0.459188783174762,917,0.458187280921382,915,"Acquaroli",2
57,"BARBARA",596,0.526845637583893,314,0.39261744966443,234,"Acquaroli",80
58,"BELVEDERE OSTRENSE",944,0.513771186440678,485,0.414194915254237,391,"Acquaroli",94
59,"CAMERANO",3240,0.481481481481481,1560,0.453395061728395,1469,"Acquaroli",91
60,"CAMERATA PICENA",1067,0.505154639175258,539,0.440487347703843,470,"Acquaroli",69
61,"CASTELBELLINO",2178,0.460973370064279,1004,0.463269054178145,1009,"Ricci",5
62,"CASTELFIDARDO",7176,0.488573021181717,3506,0.447045707915273,3208,"Acquaroli",298
63,"CASTELLEONE DI SUASA",804,0.529850746268657,426,0.395522388059701,318,"Acquaroli",108
64,"CASTELPLANIO",1518,0.402503293807642,611,0.505928853754941,768,"Ricci",157
65,"CERRETO D'ESI",1290,0.5,645,0.41937984496124,541,"Acquaroli",104
66,"CHIARAVALLE",6349,0.382737438966766,2430,0.553945503228855,3517,"Ricci",1087
67,"CORINALDO",2346,0.522165387894288,1225,0.403239556692242,946,"Acquaroli",279
68,"CUPRAMONTANA",1918,0.467674661105318,897,0.464546402502607,891,"Acquaroli",6
69,"FABRIANO",12653,0.488579783450565,6182,0.449063463210306,5682,"Acquaroli",500
70,"FALCONARA MARITTIMA",10893,0.425135408060222,4631,0.521711190672909,5683,"Ricci",1052
71,"FILOTTRANO",4224,0.608191287878788,2569,0.326941287878788,1381,"Acquaroli",1188
72,"GENGA",887,0.435174746335964,386,0.474633596392334,421,"Ricci",35
73,"JESI",17621,0.396345269848476,6984,0.5381079393905,9482,"Ricci",2498
74,"LORETO",5275,0.519431279620853,2740,0.408720379146919,2156,"Acquaroli",584
75,"MAIOLATI SPONTINI",2827,0.52882914750619,1495,0.403961796957906,1142,"Acquaroli",353
76,"MERGO",487,0.57700205338809,281,0.361396303901437,176,"Acquaroli",105
77,"MONSANO",1669,0.414020371479928,691,0.515278609946076,860,"Ricci",169
78,"MONTECAROTTO",890,0.364044943820225,324,0.548314606741573,488,"Ricci",164
79,"MONTEMARCIANO",4135,0.418379685610641,1730,0.503022974607013,2080,"Ricci",350
80,"MONTE ROBERTO",1333,0.467366841710428,623,0.465116279069767,620,"Acquaroli",3
81,"MONTE SAN VITO",3242,0.394509561998766,1279,0.525909932140654,1705,"Ricci",426
82,"MORRO D'ALBA",783,0.443167305236271,347,0.481481481481481,377,"Ricci",30
83,"NUMANA",1844,0.587852494577007,1084,0.351409978308026,648,"Acquaroli",436
84,"OFFAGNA",1030,0.483495145631068,498,0.455339805825243,469,"Acquaroli",29
85,"OSIMO",15364,0.486592033324655,7476,0.460622233793283,7077,"Acquaroli",399
86,"OSTRA",2865,0.603839441535777,1730,0.336125654450262,963,"Acquaroli",767
87,"OSTRA VETERE",1575,0.582222222222222,917,0.371428571428571,585,"Acquaroli",332
88,"POGGIO SAN MARCELLO",321,0.517133956386293,166,0.417445482866044,134,"Acquaroli",32
89,"POLVERIGI",2132,0.449343339587242,958,0.485928705440901,1036,"Ricci",78
90,"ROSORA",792,0.502525252525252,398,0.438131313131313,347,"Acquaroli",51
91,"SAN MARCELLO",1002,0.435129740518962,436,0.492015968063872,493,"Ricci",57
92,"SAN PAOLO DI JESI",409,0.430317848410758,176,0.449877750611247,184,"Ricci",8
93,"SANTA MARIA NUOVA",1756,0.465831435079727,818,0.459567198177677,807,"Acquaroli",11
94,"SASSOFERRATO",2948,0.508819538670285,1500,0.409430122116689,1207,"Acquaroli",293
95,"SENIGALLIA",21030,0.412315739419876,8671,0.53471231573942,11245,"Ricci",2574
96,"SERRA DE' CONTI",1529,0.427730542838457,654,0.491824722040549,752,"Ricci",98
97,"SERRA SAN QUIRICO",1188,0.47979797979798,570,0.437710437710438,520,"Acquaroli",50
98,"SIROLO",1976,0.473684210526316,936,0.467105263157895,923,"Acquaroli",13
99,"STAFFOLO",951,0.550998948475289,524,0.379600420609884,361,"Acquaroli",163
100,"TRECASTELLI",2991,0.467067870277499,1397,0.457372116349047,1368,"Acquaroli",29
101,"APIRO",970,0.549484536082474,533,0.384536082474227,373,"Acquaroli",160
102,"APPIGNANO",1984,0.477822580645161,948,0.443548387096774,880,"Acquaroli",68
103,"BELFORTE DEL CHIENTI",876,0.552511415525114,484,0.366438356164384,321,"Acquaroli",163
104,"BOLOGNOLA",83,0.795180722891566,66,0.144578313253012,12,"Acquaroli",54
105,"CALDAROLA",807,0.548946716232962,443,0.387856257744734,313,"Acquaroli",130
106,"CAMERINO",3189,0.589840075258702,1881,0.3436814048291,1096,"Acquaroli",785
107,"CAMPOROTONDO DI FIASTRONE",221,0.565610859728507,125,0.375565610859729,83,"Acquaroli",42
108,"CASTELRAIMONDO",2279,0.69153137340939,1576,0.251864853005704,574,"Acquaroli",1002
109,"CASTELSANTANGELO sul Nera",103,0.796116504854369,82,0.16504854368932,17,"Acquaroli",65
110,"CESSAPALOMBO",210,0.819047619047619,172,0.119047619047619,25,"Acquaroli",147
111,"CINGOLI",4618,0.687310524036379,3174,0.250541359896059,1157,"Acquaroli",2017
112,"CIVITANOVA MARCHE",18188,0.535188036067737,9734,0.400483835495931,7284,"Acquaroli",2450
113,"COLMURANO",537,0.543761638733706,292,0.400372439478585,215,"Acquaroli",77
114,"CORRIDONIA",6183,0.577066149118551,3568,0.355005660682517,2195,"Acquaroli",1373
115,"ESANATOGLIA",925,0.541621621621622,501,0.361081081081081,334,"Acquaroli",167
116,"FIASTRA",283,0.547703180212014,155,0.353356890459364,100,"Acquaroli",55
117,"FIUMINATA",639,0.629107981220657,402,0.309859154929577,198,"Acquaroli",204
118,"GAGLIOLE",265,0.516981132075472,137,0.415094339622642,110,"Acquaroli",27
119,"GUALDO",338,0.70414201183432,238,0.230769230769231,78,"Acquaroli",160
120,"LORO PICENO",982,0.540733197556008,531,0.395112016293279,388,"Acquaroli",143
121,"MACERATA",18484,0.493886604631032,9129,0.451363341268124,8343,"Acquaroli",786
122,"MATELICA",4215,0.536654804270463,2262,0.383155397390273,1615,"Acquaroli",647
123,"MOGLIANO",2196,0.643897996357013,1414,0.290983606557377,639,"Acquaroli",775
124,"MONTECASSIANO",3444,0.499709639953542,1721,0.445993031358885,1536,"Acquaroli",185
125,"MONTE CAVALLO",55,0.909090909090909,50,0.0545454545454545,3,"Acquaroli",47
126,"MONTECOSARO",2953,0.516423975618016,1525,0.401625465628175,1186,"Acquaroli",339
127,"MONTEFANO",1437,0.51009046624913,733,0.432150313152401,621,"Acquaroli",112
128,"MONTELUPONE",1538,0.665149544863459,1023,0.277633289986996,427,"Acquaroli",596
129,"MONTE SAN GIUSTO",3046,0.646421536441234,1969,0.300393959290873,915,"Acquaroli",1054
130,"MONTE SAN MARTINO",361,0.623268698060942,225,0.332409972299169,120,"Acquaroli",105
131,"MORROVALLE",4324,0.587881591119334,2542,0.342738205365402,1482,"Acquaroli",1060
132,"MUCCIA",387,0.65374677002584,253,0.276485788113695,107,"Acquaroli",146
133,"PENNA SAN GIOVANNI",343,0.600583090379009,206,0.279883381924198,96,"Acquaroli",110
134,"PETRIOLO",881,0.492622020431328,434,0.435868331441544,384,"Acquaroli",50
135,"PIEVE TORINA",633,0.756714060031596,479,0.173775671406003,110,"Acquaroli",369
136,"PIORACO",412,0.621359223300971,256,0.315533980582524,130,"Acquaroli",126
137,"POGGIO SAN VICINO",100,0.47,47,0.43,43,"Acquaroli",4
138,"POLLENZA",2814,0.480099502487562,1351,0.453802416488984,1277,"Acquaroli",74
139,"PORTO RECANATI",4908,0.557457212713936,2736,0.388141809290954,1905,"Acquaroli",831
140,"POTENZA PICENA",7309,0.569434943220687,4162,0.374469831714325,2737,"Acquaroli",1425
141,"RECANATI",9249,0.507081846686128,4690,0.438750135149746,4058,"Acquaroli",632
142,"RIPE SAN GINESIO",444,0.734234234234234,326,0.186936936936937,83,"Acquaroli",243
143,"SAN GINESIO",1406,0.648648648648649,912,0.290184921763869,408,"Acquaroli",504
144,"SAN SEVERINO MARCHE",5461,0.640175791979491,3496,0.30122688152353,1645,"Acquaroli",1851
145,"SANT'ANGELO IN PONTANO",604,0.597682119205298,361,0.337748344370861,204,"Acquaroli",157
146,"SARNANO",1399,0.66976411722659,937,0.270192994996426,378,"Acquaroli",559
147,"SEFRO",186,0.612903225806452,114,0.311827956989247,58,"Acquaroli",56
148,"SERRAPETRONA",452,0.544247787610619,246,0.380530973451327,172,"Acquaroli",74
149,"SERRAVALLE DI CHIENTI",378,0.650793650793651,246,0.298941798941799,113,"Acquaroli",133
150,"TOLENTINO",8262,0.549261679980634,4538,0.382595013313968,3161,"Acquaroli",1377
151,"TREIA",3846,0.635205408216329,2443,0.302132085283411,1162,"Acquaroli",1281
152,"URBISAGLIA",1172,0.512798634812287,601,0.416382252559727,488,"Acquaroli",113
153,"USSITA",159,0.69811320754717,111,0.257861635220126,41,"Acquaroli",70
154,"VISSO",479,0.697286012526096,334,0.275574112734864,132,"Acquaroli",202
155,"VALFORNACE",406,0.669950738916256,272,0.280788177339901,114,"Acquaroli",158
156,"ACQUASANTA TERME",1115,0.656502242152466,732,0.29237668161435,326,"Acquaroli",406
