"Provincia","Comune","com","perc","ele_t"
"COSENZA","ACQUAFORMOSA",1,11.25,1316
"COSENZA","ACQUAFORMOSA",2,21.28,1316
"COSENZA","ACQUAFORMOSA",3,23.56,1316
"COSENZA","ACQUAFORMOSA",4,39.29,1316
"COSENZA","ACQUAPPESA",1,4.8,2648
"COSENZA","ACQUAPPESA",2,12.27,2648
"COSENZA","ACQUAPPESA",3,13.9,2648
"COSENZA","ACQUAPPESA",4,26.25,2648
"COSENZA","ACRI",1,6.51,19756
"COSENZA","ACRI",2,23.57,19756
"COSENZA","ACRI",3,30.05,19756
"COSENZA","ACRI",4,49.57,19756
"COSENZA","AIELLO CALABRO",1,5.58,2582
"COSENZA","AIELLO CALABRO",2,16,2582
"COSENZA","AIELLO CALABRO",3,20.1,2582
"COSENZA","AIELLO CALABRO",4,33.27,2582
"COSENZA","AIETA",1,3.59,974
"COSENZA","AIETA",2,13.14,974
"COSENZA","AIETA",3,22.38,974
"COSENZA","AIETA",4,34.5,974
"COSENZA","ALBIDONA",1,4.47,1590
"COSENZA","ALBIDONA",2,15.35,1590
"COSENZA","ALBIDONA",3,18.74,1590
"COSENZA","ALBIDONA",4,27.55,1590
"COSENZA","ALESSANDRIA DEL CARRETTO",1,3.63,662
"COSENZA","ALESSANDRIA DEL CARRETTO",2,15.41,662
"COSENZA","ALESSANDRIA DEL CARRETTO",3,17.37,662
"COSENZA","ALESSANDRIA DEL CARRETTO",4,23.41,662
"COSENZA","ALTILIA",1,5.57,1168
"COSENZA","ALTILIA",2,16.18,1168
"COSENZA","ALTILIA",3,19.09,1168
"COSENZA","ALTILIA",4,32.79,1168
"COSENZA","ALTOMONTE",1,6.43,4696
"COSENZA","ALTOMONTE",2,16.57,4696
"COSENZA","ALTOMONTE",3,23.49,4696
"COSENZA","ALTOMONTE",4,42.16,4696
"COSENZA","AMANTEA",1,10.21,14000
"COSENZA","AMANTEA",2,25.73,14000
"COSENZA","AMANTEA",3,30.16,14000
"COSENZA","AMANTEA",4,44.41,14000
"COSENZA","AMENDOLARA",1,5.28,3236
