"Provincia","Comune","Cognome","Nome","Voti"
"COSENZA","ACQUAFORMOSA","OCCHIUTO","ROBERTO",338
"COSENZA","ACQUAFORMOSA","TRIDICO","PASQUALE",165
"COSENZA","ACQUAFORMOSA","TOSCANO","FRANCESCO",4
"COSENZA","ACQUAPPESA","OCCHIUTO","ROBERTO",385
"COSENZA","ACQUAPPESA","TRIDICO","PASQUALE",282
"COSENZA","ACQUAPPESA","TOSCANO","FRANCESCO",12
"COSENZA","ACRI","TRIDICO","PASQUALE",5560
"COSENZA","ACRI","OCCHIUTO","ROBERTO",3922
"COSENZA","ACRI","TOSCANO","FRANCESCO",48
"COSENZA","AIELLO CALABRO","TRIDICO","PASQUALE",545
"COSENZA","AIELLO CALABRO","OCCHIUTO","ROBERTO",285
"COSENZA","AIELLO CALABRO","TOSCANO","FRANCESCO",3
"COSENZA","AIETA","OCCHIUTO","ROBERTO",185
"COSENZA","AIETA","TRIDICO","PASQUALE",135
"COSENZA","AIETA","TOSCANO","FRANCESCO",2
"COSENZA","ALBIDONA","OCCHIUTO","ROBERTO",251
"COSENZA","ALBIDONA","TRIDICO","PASQUALE",175
"COSENZA","ALBIDONA","TOSCANO","FRANCESCO",2
"COSENZA","ALESSANDRIA DEL CARRETTO","TRIDICO","PASQUALE",75
"COSENZA","ALESSANDRIA DEL CARRETTO","OCCHIUTO","ROBERTO",72
"COSENZA","ALESSANDRIA DEL CARRETTO","TOSCANO","FRANCESCO",1
"COSENZA","ALTILIA","OCCHIUTO","ROBERTO",243
"COSENZA","ALTILIA","TRIDICO","PASQUALE",122
"COSENZA","ALTILIA","TOSCANO","FRANCESCO",2
"COSENZA","ALTOMONTE","OCCHIUTO","ROBERTO",1286
"COSENZA","ALTOMONTE","TRIDICO","PASQUALE",601
"COSENZA","ALTOMONTE","TOSCANO","FRANCESCO",8
"COSENZA","AMANTEA","OCCHIUTO","ROBERTO",3250
"COSENZA","AMANTEA","TRIDICO","PASQUALE",2693
"COSENZA","AMANTEA","TOSCANO","FRANCESCO",87
"COSENZA","AMENDOLARA","OCCHIUTO","ROBERTO",598
"COSENZA","AMENDOLARA","TRIDICO","PASQUALE",455
"COSENZA","AMENDOLARA","TOSCANO","FRANCESCO",9
"COSENZA","APRIGLIANO","OCCHIUTO","ROBERTO",707
"COSENZA","APRIGLIANO","TRIDICO","PASQUALE",573
"COSENZA","APRIGLIANO","TOSCANO","FRANCESCO",7
"COSENZA","BELMONTE CALABRO","OCCHIUTO","ROBERTO",515
"COSENZA","BELMONTE CALABRO","TRIDICO","PASQUALE",348
"COSENZA","BELMONTE CALABRO","TOSCANO","FRANCESCO",2
"COSENZA","BELSITO","TRIDICO","PASQUALE",304
"COSENZA","BELSITO","OCCHIUTO","ROBERTO",171
"COSENZA","BELSITO","TOSCANO","FRANCESCO",2
"COSENZA","BELVEDERE MARITTIMO","OCCHIUTO","ROBERTO",2395
"COSENZA","BELVEDERE MARITTIMO","TRIDICO","PASQUALE",1527
"COSENZA","BELVEDERE MARITTIMO","TOSCANO","FRANCESCO",19
"COSENZA","BIANCHI","OCCHIUTO","ROBERTO",363
"COSENZA","BIANCHI","TRIDICO","PASQUALE",174
"COSENZA","BIANCHI","TOSCANO","FRANCESCO",3
"COSENZA","BISIGNANO","TRIDICO","PASQUALE",2494
"COSENZA","BISIGNANO","OCCHIUTO","ROBERTO",1906
"COSENZA","BISIGNANO","TOSCANO","FRANCESCO",16
"COSENZA","BOCCHIGLIERO","TRIDICO","PASQUALE",323
"COSENZA","BOCCHIGLIERO","OCCHIUTO","ROBERTO",215
"COSENZA","BOCCHIGLIERO","TOSCANO","FRANCESCO",0
"COSENZA","BONIFATI","OCCHIUTO","ROBERTO",633
"COSENZA","BONIFATI","TRIDICO","PASQUALE",552
"COSENZA","BONIFATI","TOSCANO","FRANCESCO",10
"COSENZA","BUONVICINO","OCCHIUTO","ROBERTO",570
"COSENZA","BUONVICINO","TRIDICO","PASQUALE",205
"COSENZA","BUONVICINO","TOSCANO","FRANCESCO",10
"COSENZA","CALOPEZZATI","TRIDICO","PASQUALE",372
"COSENZA","CALOPEZZATI","OCCHIUTO","ROBERTO",205
"COSENZA","CALOPEZZATI","TOSCANO","FRANCESCO",2
"COSENZA","CALOVETO","TRIDICO","PASQUALE",241
"COSENZA","CALOVETO","OCCHIUTO","ROBERTO",229
"COSENZA","CALOVETO","TOSCANO","FRANCESCO",1
"COSENZA","CAMPANA","TRIDICO","PASQUALE",408
"COSENZA","CAMPANA","OCCHIUTO","ROBERTO",238
"COSENZA","CAMPANA","TOSCANO","FRANCESCO",0
"COSENZA","CANNA","OCCHIUTO","ROBERTO",91
"COSENZA","CANNA","TRIDICO","PASQUALE",81
"COSENZA","CANNA","TOSCANO","FRANCESCO",2
"COSENZA","CARIATI","OCCHIUTO","ROBERTO",1727
"COSENZA","CARIATI","TRIDICO","PASQUALE",1727
"COSENZA","CARIATI","TOSCANO","FRANCESCO",10
"COSENZA","CAROLEI","TRIDICO","PASQUALE",705
"COSENZA","CAROLEI","OCCHIUTO","ROBERTO",685
"COSENZA","CAROLEI","TOSCANO","FRANCESCO",24
"COSENZA","CARPANZANO","OCCHIUTO","ROBERTO",72
"COSENZA","CARPANZANO","TRIDICO","PASQUALE",32
"COSENZA","CARPANZANO","TOSCANO","FRANCESCO",3
"COSENZA","CASALI DEL MANCO","TRIDICO","PASQUALE",3109
"COSENZA","CASALI DEL MANCO","OCCHIUTO","ROBERTO",1746
"COSENZA","CASALI DEL MANCO","TOSCANO","FRANCESCO",45
"COSENZA","CASSANO ALL'IONIO","OCCHIUTO","ROBERTO",4193
"COSENZA","CASSANO ALL'IONIO","TRIDICO","PASQUALE",2044
"COSENZA","CASSANO ALL'IONIO","TOSCANO","FRANCESCO",72
"COSENZA","CASTIGLIONE COSENTINO","TRIDICO","PASQUALE",626
"COSENZA","CASTIGLIONE COSENTINO","OCCHIUTO","ROBERTO",568
"COSENZA","CASTIGLIONE COSENTINO","TOSCANO","FRANCESCO",15
"COSENZA","CASTROLIBERO","TRIDICO","PASQUALE",2352
"COSENZA","CASTROLIBERO","OCCHIUTO","ROBERTO",2283
"COSENZA","CASTROLIBERO","TOSCANO","FRANCESCO",221
"COSENZA","CASTROREGIO","OCCHIUTO","ROBERTO",68
"COSENZA","CASTROREGIO","TRIDICO","PASQUALE",42
"COSENZA","CASTROREGIO","TOSCANO","FRANCESCO",1
"COSENZA","CASTROVILLARI","OCCHIUTO","ROBERTO",4759
"COSENZA","CASTROVILLARI","TRIDICO","PASQUALE",4403
"COSENZA","CASTROVILLARI","TOSCANO","FRANCESCO",114
"COSENZA","CELICO","TRIDICO","PASQUALE",659
"COSENZA","CELICO","OCCHIUTO","ROBERTO",568
"COSENZA","CELICO","TOSCANO","FRANCESCO",17
"COSENZA","CELLARA","OCCHIUTO","ROBERTO",152
"COSENZA","CELLARA","TRIDICO","PASQUALE",140
"COSENZA","CELLARA","TOSCANO","FRANCESCO",2
"COSENZA","CERCHIARA DI CALABRIA","OCCHIUTO","ROBERTO",506
"COSENZA","CERCHIARA DI CALABRIA","TRIDICO","PASQUALE",378
"COSENZA","CERCHIARA DI CALABRIA","TOSCANO","FRANCESCO",14
"COSENZA","CERISANO","TRIDICO","PASQUALE",712
"COSENZA","CERISANO","OCCHIUTO","ROBERTO",608
"COSENZA","CERISANO","TOSCANO","FRANCESCO",29
"COSENZA","CERVICATI","OCCHIUTO","ROBERTO",258
"COSENZA","CERVICATI","TRIDICO","PASQUALE",125
"COSENZA","CERVICATI","TOSCANO","FRANCESCO",3
"COSENZA","CERZETO","OCCHIUTO","ROBERTO",323
"COSENZA","CERZETO","TRIDICO","PASQUALE",184
"COSENZA","CERZETO","TOSCANO","FRANCESCO",4
"COSENZA","CETRARO","OCCHIUTO","ROBERTO",1948
"COSENZA","CETRARO","TRIDICO","PASQUALE",1403
"COSENZA","CETRARO","TOSCANO","FRANCESCO",15
"COSENZA","CIVITA","OCCHIUTO","ROBERTO",252
"COSENZA","CIVITA","TRIDICO","PASQUALE",118
"COSENZA","CIVITA","TOSCANO","FRANCESCO",5
"COSENZA","CLETO","OCCHIUTO","ROBERTO",356
"COSENZA","CLETO","TRIDICO","PASQUALE",248
"COSENZA","CLETO","TOSCANO","FRANCESCO",2
"COSENZA","COLOSIMI","OCCHIUTO","ROBERTO",263
"COSENZA","COLOSIMI","TRIDICO","PASQUALE",260
"COSENZA","COLOSIMI","TOSCANO","FRANCESCO",9
"COSENZA","CORIGLIANO-ROSSANO","OCCHIUTO","ROBERTO",14391
"COSENZA","CORIGLIANO-ROSSANO","TRIDICO","PASQUALE",12078
"COSENZA","CORIGLIANO-ROSSANO","TOSCANO","FRANCESCO",265
"COSENZA","COSENZA","TRIDICO","PASQUALE",16749
"COSENZA","COSENZA","OCCHIUTO","ROBERTO",12387
"COSENZA","COSENZA","TOSCANO","FRANCESCO",404
"COSENZA","CROPALATI","OCCHIUTO","ROBERTO",264
"COSENZA","CROPALATI","TRIDICO","PASQUALE",260
"COSENZA","CROPALATI","TOSCANO","FRANCESCO",3
"COSENZA","CROSIA","TRIDICO","PASQUALE",2118
"COSENZA","CROSIA","OCCHIUTO","ROBERTO",1965
"COSENZA","CROSIA","TOSCANO","FRANCESCO",23
"COSENZA","DIAMANTE","OCCHIUTO","ROBERTO",1074
"COSENZA","DIAMANTE","TRIDICO","PASQUALE",714
"COSENZA","DIAMANTE","TOSCANO","FRANCESCO",15
"COSENZA","DIPIGNANO","OCCHIUTO","ROBERTO",1110
"COSENZA","DIPIGNANO","TRIDICO","PASQUALE",980
"COSENZA","DIPIGNANO","TOSCANO","FRANCESCO",24
"COSENZA","DOMANICO","TRIDICO","PASQUALE",221
"COSENZA","DOMANICO","OCCHIUTO","ROBERTO",189
"COSENZA","DOMANICO","TOSCANO","FRANCESCO",8
"COSENZA","FAGNANO CASTELLO","OCCHIUTO","ROBERTO",845
"COSENZA","FAGNANO CASTELLO","TRIDICO","PASQUALE",637
"COSENZA","FAGNANO CASTELLO","TOSCANO","FRANCESCO",4
"COSENZA","FALCONARA ALBANESE","OCCHIUTO","ROBERTO",353
"COSENZA","FALCONARA ALBANESE","TRIDICO","PASQUALE",234
"COSENZA","FALCONARA ALBANESE","TOSCANO","FRANCESCO",8
"COSENZA","FIGLINE VEGLIATURO","TRIDICO","PASQUALE",346
"COSENZA","FIGLINE VEGLIATURO","OCCHIUTO","ROBERTO",315
"COSENZA","FIGLINE VEGLIATURO","TOSCANO","FRANCESCO",1
"COSENZA","FIRMO","OCCHIUTO","ROBERTO",503
"COSENZA","FIRMO","TRIDICO","PASQUALE",386
"COSENZA","FIRMO","TOSCANO","FRANCESCO",2
"COSENZA","FIUMEFREDDO BRUZIO","OCCHIUTO","ROBERTO",973
"COSENZA","FIUMEFREDDO BRUZIO","TRIDICO","PASQUALE",393
"COSENZA","FIUMEFREDDO BRUZIO","TOSCANO","FRANCESCO",5
"COSENZA","FRANCAVILLA MARITTIMA","OCCHIUTO","ROBERTO",800
"COSENZA","FRANCAVILLA MARITTIMA","TRIDICO","PASQUALE",377
"COSENZA","FRANCAVILLA MARITTIMA","TOSCANO","FRANCESCO",18
"COSENZA","FRASCINETO","TRIDICO","PASQUALE",460
"COSENZA","FRASCINETO","OCCHIUTO","ROBERTO",442
"COSENZA","FRASCINETO","TOSCANO","FRANCESCO",7
"COSENZA","FUSCALDO","OCCHIUTO","ROBERTO",2255
"COSENZA","FUSCALDO","TRIDICO","PASQUALE",1145
"COSENZA","FUSCALDO","TOSCANO","FRANCESCO",26
"COSENZA","GRIMALDI","OCCHIUTO","ROBERTO",411
"COSENZA","GRIMALDI","TRIDICO","PASQUALE",397
"COSENZA","GRIMALDI","TOSCANO","FRANCESCO",1
"COSENZA","GRISOLIA","OCCHIUTO","ROBERTO",518
"COSENZA","GRISOLIA","TRIDICO","PASQUALE",291
"COSENZA","GRISOLIA","TOSCANO","FRANCESCO",3
"COSENZA","GUARDIA PIEMONTESE","OCCHIUTO","ROBERTO",486
"COSENZA","GUARDIA PIEMONTESE","TRIDICO","PASQUALE",246
"COSENZA","GUARDIA PIEMONTESE","TOSCANO","FRANCESCO",11
"COSENZA","LAGO","OCCHIUTO","ROBERTO",747
"COSENZA","LAGO","TRIDICO","PASQUALE",435
"COSENZA","LAGO","TOSCANO","FRANCESCO",6
"COSENZA","LAINO BORGO","OCCHIUTO","ROBERTO",511
"COSENZA","LAINO BORGO","TRIDICO","PASQUALE",307
"COSENZA","LAINO BORGO","TOSCANO","FRANCESCO",6
"COSENZA","LAINO CASTELLO","OCCHIUTO","ROBERTO",256
"COSENZA","LAINO CASTELLO","TRIDICO","PASQUALE",106
"COSENZA","LAINO CASTELLO","TOSCANO","FRANCESCO",2
"COSENZA","LAPPANO","OCCHIUTO","ROBERTO",258
"COSENZA","LAPPANO","TRIDICO","PASQUALE",209
"COSENZA","LAPPANO","TOSCANO","FRANCESCO",3
"COSENZA","LATTARICO","OCCHIUTO","ROBERTO",1257
"COSENZA","LATTARICO","TRIDICO","PASQUALE",603
"COSENZA","LATTARICO","TOSCANO","FRANCESCO",19
"COSENZA","LONGOBARDI","OCCHIUTO","ROBERTO",551
"COSENZA","LONGOBARDI","TRIDICO","PASQUALE",403
"COSENZA","LONGOBARDI","TOSCANO","FRANCESCO",8
"COSENZA","LONGOBUCCO","TRIDICO","PASQUALE",763
"COSENZA","LONGOBUCCO","OCCHIUTO","ROBERTO",507
"COSENZA","LONGOBUCCO","TOSCANO","FRANCESCO",2
"COSENZA","LUNGRO","OCCHIUTO","ROBERTO",870
"COSENZA","LUNGRO","TRIDICO","PASQUALE",346
"COSENZA","LUNGRO","TOSCANO","FRANCESCO",3
"COSENZA","LUZZI","TRIDICO","PASQUALE",2593
"COSENZA","LUZZI","OCCHIUTO","ROBERTO",1837
"COSENZA","LUZZI","TOSCANO","FRANCESCO",29
"COSENZA","MAIERA'","OCCHIUTO","ROBERTO",404
"COSENZA","MAIERA'","TRIDICO","PASQUALE",125
"COSENZA","MAIERA'","TOSCANO","FRANCESCO",4
"COSENZA","MALITO","OCCHIUTO","ROBERTO",240
"COSENZA","MALITO","TRIDICO","PASQUALE",146
"COSENZA","MALITO","TOSCANO","FRANCESCO",2
"COSENZA","MALVITO","OCCHIUTO","ROBERTO",422
"COSENZA","MALVITO","TRIDICO","PASQUALE",354
