provincia,comune,voti_csx_m5s,voti_cdx,vincitore,differenza,perc_csx_m5s,perc_cdx,totale_voti
Arezzo,Anghiari,1268,1349,CDX,81,46.08,49.02,2752
Arezzo,Arezzo,23389,24022,CDX,633,47.72,49.01,49014
Arezzo,Badia Tedalda,188,283,CDX,95,38.45,57.87,489
Arezzo,Bibbiena,2995,2125,CSX/M5S,870,56.45,40.05,5306
Arezzo,Bucine,2810,1938,CSX/M5S,872,57.03,39.33,4927
Arezzo,Capolona,1271,12,CSX/M5S,1259,91.97,0.87,1382
Arezzo,Caprese Michelangelo,247,317,CDX,70,42.08,54,587
Arezzo,Castel Focognano,690,659,CSX/M5S,31,49.08,46.87,1406
Arezzo,Castel San Niccolò,769,456,CSX/M5S,313,61.08,36.22,1259
Arezzo,Castelfranco Piandiscò,2719,1941,CSX/M5S,778,56.19,40.11,4839
Arezzo,Castiglion Fibocchi,444,567,CDX,123,42.45,54.21,1046
Arezzo,Castiglion Fiorentino,2473,3463,CDX,990,40.55,56.78,6099
Arezzo,Cavriglia,702,1488,CDX,786,29.14,61.77,2409
Arezzo,Chitignano,241,203,CSX/M5S,38,51.39,43.28,469
Arezzo,Chiusi della Verna,503,452,CSX/M5S,51,50.15,45.06,1003
Arezzo,Civitella in Val di Chiana,2012,2256,CDX,244,45.44,50.95,4428
Arezzo,Cortona,4890,5214,CDX,324,46.88,49.98,10432
Arezzo,Foiano della Chiana,1886,1743,CSX/M5S,143,50.59,46.75,3728
Arezzo,Loro Ciuffenna,1632,1216,CSX/M5S,416,55.1,41.05,2962
Arezzo,Lucignano,807,834,CDX,27,47.75,49.35,1690
Arezzo,Marciano della Chiana,689,890,CDX,201,42.5,54.9,1621
Arezzo,Monte San Savino,1734,2252,CDX,518,42.22,54.83,4107
Arezzo,Montemignaio,162,121,CSX/M5S,41,54.73,40.88,296
Arezzo,Monterchi,359,459,CDX,100,42.69,54.58,841
Arezzo,Montevarchi,6200,4448,CSX/M5S,1752,56.63,40.63,10948
Arezzo,Ortignano Raggiolo,272,164,CSX/M5S,108,60.04,36.2,453
Arezzo,Pieve Santo Stefano,616,839,CDX,223,40.93,55.75,1505
Arezzo,Poppi,1499,1297,CSX/M5S,202,51.64,44.68,2903
Arezzo,Pratovecchio Stia,1543,121,CSX/M5S,1422,88.32,6.93,1747
Arezzo,San Giovanni Valdarno,5083,2609,CSX/M5S,2474,63.17,32.43,8046
Arezzo,Sansepolcro,3409,3892,CDX,483,45.1,51.5,7558
Arezzo,Sestino,229,316,CDX,87,41.41,57.14,553
Arezzo,Subbiano,1339,1376,CDX,37,47.67,48.99,2809
Arezzo,Talla,222,222,CDX,0,46.06,46.06,482
Arezzo,Terranuova Bracciolini,778,226,CSX/M5S,552,63.36,18.4,1228
Arezzo,Laterina Pergine Valdarno,1549,1407,CSX/M5S,142,50.19,45.59,3086
Grosseto,Arcidosso,831,894,CDX,63,46.27,49.78,1796
Grosseto,Campagnatico,414,720,CDX,306,35.66,62.02,1161
Grosseto,Capalbio,836,850,CDX,14,47.47,48.27,1761
Grosseto,Castel del Piano,958,101,CSX/M5S,857,85.46,9.01,1121
