COD_RIP,COD_REG,COD_PROV,COD_CM,COD_UTS,PRO_COM,PRO_COM_T,COMUNE,COMUNE_A,CC_UTS,Shape_Leng,Shape_Area,X,Y
3,9,45,0,45,45001,045001,Aulla,,0,42359.2190533,59771373.8729,9.990654,44.2017
3,9,45,0,45,45002,045002,Bagnone,,0,36835.5182816,74270577.9351,10.018019,44.330538
3,9,45,0,45,45003,045003,Carrara,,1,40085.6464848,71056729.6332,10.093999,44.082727
3,9,45,0,45,45004,045004,Casola in Lunigiana,,0,35926.525396,41977340.3014,10.181431,44.203413
3,9,45,0,45,45005,045005,Comano,,0,33206.1724507,53925630.8615,10.133839,44.309798
3,9,45,0,45,45006,045006,Filattiera,,0,30263.6462844,48633529.816,9.948473,44.367315
3,9,45,0,45,45007,045007,Fivizzano,,0,76637.8593887,180738146.179,10.132138,44.213414
3,9,45,0,45,45008,045008,Fosdinovo,,0,36489.0876629,48179558.6391,10.027431,44.144484
3,9,45,0,45,45009,045009,Licciana Nardi,,0,47143.0304359,55923861.4981,10.045262,44.281691
3,9,45,0,45,45010,045010,Massa,,1,50088.5178941,93885639.6176,10.16125,44.055052
3,9,45,0,45,45011,045011,Montignoso,,0,20416.4806429,16967449.7205,10.170584,44.01125
3,9,45,0,45,45012,045012,Mulazzo,,0,37108.6166547,62311663.4258,9.883367,44.301003
3,9,45,0,45,45013,045013,Podenzana,,0,24582.3716821,17228439.1522,9.939165,44.210863
3,9,45,0,45,45014,045014,Pontremoli,,0,68238.2061582,182713701.716,9.876646,44.411416
3,9,45,0,45,45015,045015,Tresana,,0,27038.7275722,44613630.2151,9.903253,44.24535
3,9,45,0,45,45016,045016,Villafranca in Lunigiana,,0,29544.5234415,28874903.2649,9.965105,44.290115
3,9,45,0,45,45017,045017,Zeri,,0,44279.7352488,73482893.949,9.773437,44.345246
3,9,46,0,46,46001,046001,Altopascio,,0,26180.2618108,28635830.7392,10.683245,43.816386
3,9,46,0,46,46002,046002,Bagni di Lucca,,0,57124.2806451,164966670.541,10.63821,44.03856
3,9,46,0,46,46003,046003,Barga,,0,38108.3134304,66262097.5496,10.507646,44.097539
3,9,46,0,46,46004,046004,Borgo a Mozzano,,0,51953.2637421,72026010.2666,10.516217,43.974606
3,9,46,0,46,46005,046005,Camaiore,,0,54200.2047258,84814663.4296,10.321205,43.928553
3,9,46,0,46,46006,046006,Camporgiano,,0,26904.6638491,26949387.3234,10.327043,44.147495
3,9,46,0,46,46007,046007,Capannori,,0,77963.3743535,155857291.924,10.577304,43.836131
3,9,46,0,46,46008,046008,Careggine,,0,23687.4841856,24273640.9271,10.32155,44.096413
3,9,46,0,46,46009,046009,Castelnuovo di Garfagnana,,0,26907.9345132,28628705.2138,10.3887,44.106008
3,9,46,0,46,46010,046010,Castiglione di Garfagnana,,0,39275.9277734,48455759.7382,10.450004,44.183223
3,9,46,0,46,46011,046011,Coreglia Antelminelli,,0,35926.7739592,53083445.7684,10.553044,44.069848
3,9,46,0,46,46013,046013,Forte dei Marmi,,0,13777.3032838,9254661.44562,10.173315,43.964315
3,9,46,0,46,46014,046014,Fosciandora,,0,23922.3732081,20168623.1824,10.47845,44.125742
3,9,46,0,46,46015,046015,Gallicano,,0,34626.3976267,31189864.557,10.438444,44.041415
3,9,46,0,46,46017,046017,Lucca,,1,85135.3107834,185989818.762,10.47296,43.864229
3,9,46,0,46,46018,046018,Massarosa,,0,42070.909553,67907874.1539,10.325238,43.870494
3,9,46,0,46,46019,046019,Minucciano,,0,36811.5995735,57257877.9088,10.22543,44.16351
