"Provincia","Comune","com","perc","ele_t"
"AREZZO","ANGHIARI",1,6.46,4749
"AREZZO","ANGHIARI",2,25.54,4749
"AREZZO","ANGHIARI",3,32.76,4749
"AREZZO","ANGHIARI",4,45.19,4749
"AREZZO","AREZZO",1,9.22,77229
"AREZZO","AREZZO",2,28.16,77229
"AREZZO","AREZZO",3,35.28,77229
"AREZZO","AREZZO",4,46.79,77229
"AREZZO","BADIA TEDALDA",1,9.3,796
"AREZZO","BADIA TEDALDA",2,30.4,796
"AREZZO","BADIA TEDALDA",3,36.06,796
"AREZZO","BADIA TEDALDA",4,51.51,796
"AREZZO","BIBBIENA",1,9.79,9519
"AREZZO","BIBBIENA",2,33.35,9519
"AREZZO","BIBBIENA",3,42.4,9519
"AREZZO","BIBBIENA",4,54.19,9519
"AREZZO","BUCINE",1,7.95,8025
"AREZZO","BUCINE",2,28.86,8025
"AREZZO","BUCINE",3,36.88,8025
"AREZZO","BUCINE",4,48.61,8025
"AREZZO","CAPOLONA",1,8.39,4340
"AREZZO","CAPOLONA",2,29.22,4340
"AREZZO","CAPOLONA",3,35.28,4340
"AREZZO","CAPOLONA",4,46.71,4340
"AREZZO","CAPRESE MICHELANGELO",1,4.6,1109
"AREZZO","CAPRESE MICHELANGELO",2,18.03,1109
"AREZZO","CAPRESE MICHELANGELO",3,24.35,1109
"AREZZO","CAPRESE MICHELANGELO",4,37.15,1109
"AREZZO","CASTEL FOCOGNANO",1,8.44,2417
"AREZZO","CASTEL FOCOGNANO",2,29.71,2417
"AREZZO","CASTEL FOCOGNANO",3,37.32,2417
"AREZZO","CASTEL FOCOGNANO",4,49.11,2417
"AREZZO","CASTEL SAN NICCOLO'",1,7.56,2157
"AREZZO","CASTEL SAN NICCOLO'",2,26.56,2157
"AREZZO","CASTEL SAN NICCOLO'",3,34.49,2157
"AREZZO","CASTEL SAN NICCOLO'",4,47.84,2157
"AREZZO","CASTELFRANCO PIANDISCO'",1,8.63,8055
"AREZZO","CASTELFRANCO PIANDISCO'",2,28.52,8055
"AREZZO","CASTELFRANCO PIANDISCO'",3,37.53,8055
"AREZZO","CASTELFRANCO PIANDISCO'",4,49.68,8055
"AREZZO","CASTIGLION FIBOCCHI",1,8.97,1750
"AREZZO","CASTIGLION FIBOCCHI",2,29.94,1750
"AREZZO","CASTIGLION FIBOCCHI",3,37.94,1750
"AREZZO","CASTIGLION FIBOCCHI",4,52.69,1750
"AREZZO","CASTIGLION FIORENTINO",1,7.98,10756
"AREZZO","CASTIGLION FIORENTINO",2,28.19,10756
"AREZZO","CASTIGLION FIORENTINO",3,36.04,10756
"AREZZO","CASTIGLION FIORENTINO",4,47.28,10756
"AREZZO","CAVRIGLIA",1,10.84,7918
"AREZZO","CAVRIGLIA",2,33.11,7918
"AREZZO","CAVRIGLIA",3,42.31,7918
"AREZZO","CAVRIGLIA",4,54.56,7918
"AREZZO","CHITIGNANO",1,11.87,758
"AREZZO","CHITIGNANO",2,28.36,758
"AREZZO","CHITIGNANO",3,34.04,758
"AREZZO","CHITIGNANO",4,49.21,758
"AREZZO","CHIUSI DELLA VERNA",1,10.63,1609
"AREZZO","CHIUSI DELLA VERNA",2,37.23,1609
"AREZZO","CHIUSI DELLA VERNA",3,44.31,1609
"AREZZO","CHIUSI DELLA VERNA",4,57.61,1609
