"Provincia","Comune","Cognome","Nome","Lista","Voti"
"AREZZO","ANGHIARI","GIANI","EUGENIO","PARTITO DEMOCRATICO",575
"AREZZO","ANGHIARI","GIANI","EUGENIO","MOVIMENTO 5 STELLE",191
"AREZZO","ANGHIARI","GIANI","EUGENIO","EUGENIO GIANI PRESIDENTE CASA RIFORMISTA",105
"AREZZO","ANGHIARI","GIANI","EUGENIO","ALLEANZA VERDI E SINISTRA",52
"AREZZO","ANGHIARI","TOMASI","ALESSANDRO","FRATELLI D'ITALIA",663
"AREZZO","ANGHIARI","TOMASI","ALESSANDRO","FORZA ITALIA-UDC-TOMASI PRESIDENTE",94
"AREZZO","ANGHIARI","TOMASI","ALESSANDRO","E' ORA! LISTA CIVICA TOMASI PRESIDENTE",93
"AREZZO","ANGHIARI","TOMASI","ALESSANDRO","LEGA TOSCANA PER SALVINI PREMIER",86
"AREZZO","ANGHIARI","TOMASI","ALESSANDRO","NOI MODERATI CIVICI PER TOMASI",31
"AREZZO","ANGHIARI","MORO BUNDU","ANTONELLA","TOSCANA ROSSA",44
"AREZZO","AREZZO","GIANI","EUGENIO","PARTITO DEMOCRATICO",8844
"AREZZO","AREZZO","GIANI","EUGENIO","EUGENIO GIANI PRESIDENTE CASA RIFORMISTA",3319
"AREZZO","AREZZO","GIANI","EUGENIO","ALLEANZA VERDI E SINISTRA",2455
"AREZZO","AREZZO","GIANI","EUGENIO","MOVIMENTO 5 STELLE",1376
"AREZZO","AREZZO","TOMASI","ALESSANDRO","FRATELLI D'ITALIA",9511
"AREZZO","AREZZO","TOMASI","ALESSANDRO","FORZA ITALIA-UDC-TOMASI PRESIDENTE",2135
"AREZZO","AREZZO","TOMASI","ALESSANDRO","LEGA TOSCANA PER SALVINI PREMIER",2091
"AREZZO","AREZZO","TOMASI","ALESSANDRO","E' ORA! LISTA CIVICA TOMASI PRESIDENTE",815
"AREZZO","AREZZO","TOMASI","ALESSANDRO","NOI MODERATI CIVICI PER TOMASI",548
"AREZZO","AREZZO","MORO BUNDU","ANTONELLA","TOSCANA ROSSA",712
"AREZZO","BADIA TEDALDA","GIANI","EUGENIO","PARTITO DEMOCRATICO",75
"AREZZO","BADIA TEDALDA","GIANI","EUGENIO","ALLEANZA VERDI E SINISTRA",61
"AREZZO","BADIA TEDALDA","GIANI","EUGENIO","EUGENIO GIANI PRESIDENTE CASA RIFORMISTA",35
"AREZZO","BADIA TEDALDA","GIANI","EUGENIO","MOVIMENTO 5 STELLE",6
"AREZZO","BADIA TEDALDA","TOMASI","ALESSANDRO","FRATELLI D'ITALIA",119
"AREZZO","BADIA TEDALDA","TOMASI","ALESSANDRO","FORZA ITALIA-UDC-TOMASI PRESIDENTE",18
"AREZZO","BADIA TEDALDA","TOMASI","ALESSANDRO","LEGA TOSCANA PER SALVINI PREMIER",16
"AREZZO","BADIA TEDALDA","TOMASI","ALESSANDRO","NOI MODERATI CIVICI PER TOMASI",6
