"Provincia","Comune","GIANI","MORO BUNDU","TOMASI","voti_totali","Giani_Pct","Tomasi_Pct","vincitore","differenza","comune","CSX_2020","variazione","X","Y"
"AREZZO","ANGHIARI",1029,45,1014,2088,49.2816091954023,48.5632183908046,"Giani",15,"ANGHIARI",46.0755813953488,3.20602780005346,12.019696,43.538507
"AREZZO","AREZZO",17895,902,16474,35271,50.7357319043974,46.7069263701057,"Giani",1421,"AREZZO",47.71901905578,3.0167128486174,11.904554,43.444858
"AREZZO","BADIATEDALDA",191,17,175,383,49.8694516971279,45.6919060052219,"Giani",16,"BADIA TEDALDA",38.4458077709611,11.4236439261668,12.168119,43.701851
"AREZZO","BIBBIENA",1973,121,2872,4966,39.7301651228353,57.8332662102296,"Tomasi",899,"BIBBIENA",56.4455333584621,-16.7153682356268,11.848383,43.731044
"AREZZO","BUCINE",2310,95,1390,3795,60.8695652173913,36.6271409749671,"Giani",920,"BUCINE",57.0326770854475,3.83688813194377,11.603604,43.423215
"AREZZO","CAPOLONA",1014,52,888,1954,51.8935516888434,45.4452405322416,"Giani",126,"CAPOLONA",49.4552529182879,2.43829877055546,11.828223,43.560082
"AREZZO","CAPRESEMICHELANGELO",187,6,211,404,46.2871287128713,52.2277227722772,"Tomasi",24,"CAPRESE MICHELANGELO",42.0783645655877,4.20876414728355,11.981541,43.640594
"AREZZO","CASTELFOCOGNANO",483,27,639,1149,42.0365535248042,55.6135770234987,"Tomasi",156,"CASTEL FOCOGNANO",49.0753911806543,-7.03883765585016,11.782682,43.641603
"AREZZO","CASTELSANNICCOLO",452,35,491,978,46.2167689161554,50.2044989775051,"Tomasi",39,"CASTEL SAN NICCOLO'",61.0802223987291,-14.8634534825737,11.658245,43.721928
"AREZZO","CASTELFRANCOPIANDISCO",2109,184,1554,3847,54.8219391733818,40.3951130751235,"Giani",555,"CASTELFRANCO PIANDISCO'",56.1892953089481,-1.36735613556628,11.560328,43.638601
"AREZZO","CASTIGLIONFIBOCCHI",387,25,477,889,43.5320584926884,53.6557930258718,"Tomasi",90,"CASTIGLION FIBOCCHI",42.4474187380497,1.0846397546387,11.753525,43.542139
