COD_RIP,COD_REG,COD_PROV,COD_CM,COD_UTS,PRO_COM,PRO_COM_T,COMUNE,COMUNE_A,CC_UTS,Shape_Leng,Shape_Area,X,Y
4,16,71,0,71,71001,071001,Accadia,,0,24494.6309739,30500885.2695,15.328659,41.180915
4,16,71,0,71,71002,071002,Alberona,,0,43015.3019764,49622036.9315,15.147628,41.435689
4,16,71,0,71,71003,071003,Anzano di Puglia,,0,13205.0107804,10797758.9656,15.290708,41.111851
4,16,71,0,71,71004,071004,Apricena,,0,73575.873701,172714685.987,15.456612,41.777187
4,16,71,0,71,71005,071005,Ascoli Satriano,,0,118326.914814,337137814.917,15.62437,41.199058
4,16,71,0,71,71006,071006,Biccari,,0,45294.5723689,106659115.934,15.219313,41.421974
4,16,71,0,71,71007,071007,Bovino,,0,43143.4145314,85184495.1012,15.369777,41.269765
4,16,71,0,71,71008,071008,Cagnano Varano,,0,56321.2994395,167026001.989,15.734529,41.844169
4,16,71,0,71,71009,071009,Candela,,0,58404.0017664,96917148.511,15.562207,41.134388
4,16,71,0,71,71010,071010,Carapelle,,0,36719.496229,24542375.3304,15.702869,41.362045
4,16,71,0,71,71011,071011,Carlantino,,0,25415.7851966,34695822.5698,14.980381,41.611198
4,16,71,0,71,71012,071012,Carpino,,0,40371.1884406,79838951.5543,15.870614,41.82549
4,16,71,0,71,71013,071013,Casalnuovo Monterotaro,,0,28666.4734446,48169487.4769,15.073734,41.627366
4,16,71,0,71,71014,071014,Casalvecchio di Puglia,,0,33067.5360244,31795833.6071,15.129548,41.628067
4,16,71,0,71,71015,071015,Castelluccio dei Sauri,,0,37367.9150375,51195019.5522,15.485137,41.304719
4,16,71,0,71,71016,071016,Castelluccio Valmaggiore,,0,24049.3685368,26732736.0091,15.209423,41.35283
4,16,71,0,71,71017,071017,Castelnuovo della Daunia,,0,64067.5722705,61468416.9346,15.158121,41.595534
4,16,71,0,71,71018,071018,Celenza Valfortore,,0,42409.8461998,65530637.5209,15.002649,41.56226
4,16,71,0,71,71019,071019,Celle di San Vito,,0,28318.7264259,18353677.5573,15.197384,41.31819
4,16,71,0,71,71020,071020,Cerignola,,0,148438.443759,593739021.203,15.8773,41.278598
4,16,71,0,71,71021,071021,Chieuti,,0,39439.6589902,61288095.3043,15.164164,41.880156
4,16,71,0,71,71022,071022,Deliceto,,0,38621.449166,75796848.6888,15.426944,41.225874
4,16,71,0,71,71023,071023,Faeto,,0,29971.5767276,25873246.8015,15.15918,41.311647
4,16,71,0,71,71024,071024,Foggia,,1,174684.309811,509285379.102,15.583891,41.456365
4,16,71,0,71,71025,071025,Ischitella,,0,45378.2341164,85128835.3408,15.844933,41.888815
