comune,provincia,regione,CSX/M5S_perc_2025,CSX/M5S_voti_2025,CSX/M5S_voti_2020,CSX/M5S_perc_2020,CDX_perc_2025,CDX_voti_2025,CDX_voti_2020,CDX_perc_2020,margine_voti,vincitore,x,y,var_perc,var_perc_neg
Agordo,BELLUNO,VENETO,28.99,432,389,19.94,63.76,950,1514,77.6,518,CDX,12.047485,46.302965,-13.84,13.84
Alleghe,BELLUNO,VENETO,17.11,71,49,8.51,77.59,322,515,89.41,251,CDX,12.036687,46.404109,-11.82,11.82
Alpago,BELLUNO,VENETO,24.82,648,527,15.91,63.73,1664,2651,80.02,1016,CDX,12.364053,46.130063,-16.29,16.29
Arsie,BELLUNO,VENETO,31.85,308,194,15.76,59.15,572,997,80.99,264,CDX,11.743592,45.977264,-21.84,21.84
Auronzo Di Cadore,BELLUNO,VENETO,20.88,222,167,10.6,69.99,744,1266,80.38,522,CDX,12.339036,46.56512,-10.39,10.39
Belluno,BELLUNO,VENETO,41.25,5644,4315,25.42,51.38,7031,11880,69.99,1387,CDX,12.219159,46.140659,-18.61,18.61
Borca Di Cadore,BELLUNO,VENETO,19.26,47,77,19.15,72.54,177,313,77.86,130,CDX,12.178532,46.436129,-5.32,5.32
Borgo Valbelluna,BELLUNO,VENETO,28.92,1533,1173,17.59,58.93,3124,5242,78.6,1591,CDX,12.094704,46.028491,-19.67,19.67
Calalzo Di Cadore,BELLUNO,VENETO,22.86,171,146,14.61,66.84,500,810,81.08,329,CDX,12.326103,46.477694,-14.24,14.24
Canale Dagordo,BELLUNO,VENETO,24.15,107,97,17.14,67.95,301,441,77.92,194,CDX,11.884498,46.32726,-9.97,9.97
Cencenighe Agordino,BELLUNO,VENETO,23.22,111,79,13.32,67.36,322,489,82.46,211,CDX,11.969351,46.346184,-15.1,15.1
Cesiomaggiore,BELLUNO,VENETO,27.5,415,297,15.28,63.15,953,1559,80.2,538,CDX,11.958843,46.112318,-17.05,17.05
Chies Dalpago,BELLUNO,VENETO,17.57,104,116,16.64,71.11,421,567,81.35,317,CDX,12.426537,46.172754,-10.24,10.24
Cibiana Di Cadore,BELLUNO,VENETO,35.42,34,31,18.02,53.12,51,129,75,17,CDX,12.270509,46.374369,-21.88,21.88
Colle Santa Lucia,BELLUNO,VENETO,7.84,12,15,7.25,84.31,129,188,90.82,117,CDX,12.019268,46.467022,-6.51,6.51
Comelico Superiore,BELLUNO,VENETO,23.63,160,121,12.76,65.58,444,769,81.12,284,CDX,12.473338,46.628109,-15.54,15.54
Cortina Dampezzo,BELLUNO,VENETO,16.37,293,239,8.78,74.69,1337,2410,88.57,1044,CDX,12.122776,46.557178,-13.88,13.88
Danta Di Cadore,BELLUNO,VENETO,14.38,22,24,13.04,77.12,118,159,86.41,96,CDX,12.506656,46.562323,-9.29,9.29
Domegge Di Cadore,BELLUNO,VENETO,21.52,193,153,13.33,70.68,634,956,83.28,441,CDX,12.42983,46.448063,-12.6,12.6
Falcade,BELLUNO,VENETO,17.99,122,108,11.43,70.94,481,804,85.08,359,CDX,11.845694,46.358333,-14.14,14.14
Feltre,BELLUNO,VENETO,34.8,2810,2184,22.39,59.08,4771,7247,74.31,1961,CDX,11.916302,46.040767,-15.23,15.23
Fonzaso,BELLUNO,VENETO,22.9,270,253,15.35,70.31,829,1347,81.74,559,CDX,11.803338,46.005095,-11.43,11.43
Gosaldo,BELLUNO,VENETO,19.09,42,49,14.8,74.55,164,268,80.97,122,CDX,11.974553,46.210979,-6.42,6.42
La Valle Agordina,BELLUNO,VENETO,24.75,100,87,16.86,69.06,279,414,80.23,179,CDX,12.098328,46.280975,-11.17,11.17
Lamon,BELLUNO,VENETO,39.39,373,275,21.04,55.33,524,969,74.14,151,CDX,11.723508,46.058239,-18.81,18.81
Limana,BELLUNO,VENETO,32.71,715,682,25.46,57.59,1259,1945,72.6,544,CDX,12.204388,46.075665,-15.01,15.01
Livinallongo Del Col Di Lana,BELLUNO,VENETO,10.16,38,56,10.96,85.29,319,438,85.71,281,CDX,11.927436,46.497946,-0.42,0.42
Longarone,BELLUNO,VENETO,26.83,415,353,14.64,64.96,1005,1981,82.17,590,CDX,12.254526,46.26387,-17.21,17.21
Lorenzago Di Cadore,BELLUNO,VENETO,26.85,69,47,15.51,68.09,175,243,80.2,106,CDX,12.487264,46.458554,-12.11,12.11
Lozzo Di Cadore,BELLUNO,VENETO,23.89,113,75,12.69,66.38,314,457,77.33,201,CDX,12.423711,46.508201,-10.95,10.95
Ospitale Di Cadore,BELLUNO,VENETO,36.63,37,30,22.56,43.56,44,100,75.19,7,CDX,12.30755,46.327252,-31.63,31.63
Pedavena,BELLUNO,VENETO,30.83,530,451,20.39,63.23,1087,1700,76.85,557,CDX,11.857236,46.043685,-13.62,13.62
Perarolo Di Cadore,BELLUNO,VENETO,39.02,48,32,17.2,47.15,58,150,80.65,10,CDX,12.371946,46.362196,-33.5,33.5
Pieve Di Cadore,BELLUNO,VENETO,34.77,467,374,22.1,54.58,733,1197,70.74,266,CDX,12.381503,46.416123,-16.16,16.16
