"Regione","Regione_Cod","Provincia","Provincia_Cod","Comune_Cod","Comune","Cognome","Nome","Voti"
"VENETO",5,"BELLUNO","BELLUNO",10,"AGORDO","STEFANI","ALBERTO",950
"VENETO",5,"BELLUNO","BELLUNO",10,"AGORDO","MANILDO","GIOVANNI",432
"VENETO",5,"BELLUNO","BELLUNO",10,"AGORDO","SZUMSKI","RICCARDO",84
"VENETO",5,"BELLUNO","BELLUNO",10,"AGORDO","RIZZO","MARCO",13
"VENETO",5,"BELLUNO","BELLUNO",10,"AGORDO","BUI","FABIO",11
"VENETO",5,"BELLUNO","BELLUNO",30,"ALLEGHE","STEFANI","ALBERTO",322
"VENETO",5,"BELLUNO","BELLUNO",30,"ALLEGHE","MANILDO","GIOVANNI",71
"VENETO",5,"BELLUNO","BELLUNO",30,"ALLEGHE","SZUMSKI","RICCARDO",19
"VENETO",5,"BELLUNO","BELLUNO",30,"ALLEGHE","RIZZO","MARCO",2
"VENETO",5,"BELLUNO","BELLUNO",30,"ALLEGHE","BUI","FABIO",1
"VENETO",5,"BELLUNO","BELLUNO",35,"ALPAGO","STEFANI","ALBERTO",1664
"VENETO",5,"BELLUNO","BELLUNO",35,"ALPAGO","MANILDO","GIOVANNI",648
"VENETO",5,"BELLUNO","BELLUNO",35,"ALPAGO","SZUMSKI","RICCARDO",241
"VENETO",5,"BELLUNO","BELLUNO",35,"ALPAGO","RIZZO","MARCO",43
"VENETO",5,"BELLUNO","BELLUNO",35,"ALPAGO","BUI","FABIO",15
"VENETO",5,"BELLUNO","BELLUNO",40,"ARSIE'","STEFANI","ALBERTO",572
"VENETO",5,"BELLUNO","BELLUNO",40,"ARSIE'","MANILDO","GIOVANNI",308
"VENETO",5,"BELLUNO","BELLUNO",40,"ARSIE'","SZUMSKI","RICCARDO",63
"VENETO",5,"BELLUNO","BELLUNO",40,"ARSIE'","RIZZO","MARCO",20
"VENETO",5,"BELLUNO","BELLUNO",40,"ARSIE'","BUI","FABIO",4
"VENETO",5,"BELLUNO","BELLUNO",50,"AURONZO DI CADORE","STEFANI","ALBERTO",744
"VENETO",5,"BELLUNO","BELLUNO",50,"AURONZO DI CADORE","MANILDO","GIOVANNI",222
"VENETO",5,"BELLUNO","BELLUNO",50,"AURONZO DI CADORE","SZUMSKI","RICCARDO",63
"VENETO",5,"BELLUNO","BELLUNO",50,"AURONZO DI CADORE","RIZZO","MARCO",26
"VENETO",5,"BELLUNO","BELLUNO",50,"AURONZO DI CADORE","BUI","FABIO",8
"VENETO",5,"BELLUNO","BELLUNO",60,"BELLUNO","STEFANI","ALBERTO",7031
"VENETO",5,"BELLUNO","BELLUNO",60,"BELLUNO","MANILDO","GIOVANNI",5644
"VENETO",5,"BELLUNO","BELLUNO",60,"BELLUNO","SZUMSKI","RICCARDO",740
"VENETO",5,"BELLUNO","BELLUNO",60,"BELLUNO","RIZZO","MARCO",173
"VENETO",5,"BELLUNO","BELLUNO",60,"BELLUNO","BUI","FABIO",96
"VENETO",5,"BELLUNO","BELLUNO",70,"BORCA DI CADORE","STEFANI","ALBERTO",177
"VENETO",5,"BELLUNO","BELLUNO",70,"BORCA DI CADORE","MANILDO","GIOVANNI",47
"VENETO",5,"BELLUNO","BELLUNO",70,"BORCA DI CADORE","SZUMSKI","RICCARDO",11
"VENETO",5,"BELLUNO","BELLUNO",70,"BORCA DI CADORE","RIZZO","MARCO",7
"VENETO",5,"BELLUNO","BELLUNO",70,"BORCA DI CADORE","BUI","FABIO",2
"VENETO",5,"BELLUNO","BELLUNO",75,"BORGO VALBELLUNA","STEFANI","ALBERTO",3124
"VENETO",5,"BELLUNO","BELLUNO",75,"BORGO VALBELLUNA","MANILDO","GIOVANNI",1533
"VENETO",5,"BELLUNO","BELLUNO",75,"BORGO VALBELLUNA","SZUMSKI","RICCARDO",548
"VENETO",5,"BELLUNO","BELLUNO",75,"BORGO VALBELLUNA","RIZZO","MARCO",66
"VENETO",5,"BELLUNO","BELLUNO",75,"BORGO VALBELLUNA","BUI","FABIO",30
"VENETO",5,"BELLUNO","BELLUNO",80,"CALALZO DI CADORE","STEFANI","ALBERTO",500
