"Regione","Regione_Cod","Provincia","Provincia_Cod","Comune_Cod","Comune","Cognome","Nome","Lista","Voti"
"VENETO",5,"BELLUNO","BELLUNO",10,"AGORDO","STEFANI","ALBERTO","LEGA - LIGA VENETA STEFANI PRESIDENTE",482
"VENETO",5,"BELLUNO","BELLUNO",10,"AGORDO","STEFANI","ALBERTO","FRATELLI D'ITALIA - GIORGIA MELONI",295
"VENETO",5,"BELLUNO","BELLUNO",10,"AGORDO","STEFANI","ALBERTO","LIGA VENETA REPUBBLICA V.A.",31
"VENETO",5,"BELLUNO","BELLUNO",10,"AGORDO","STEFANI","ALBERTO","FORZA ITALIA BERLUSCONI AUTONOMIA PER IL VENETO",28
"VENETO",5,"BELLUNO","BELLUNO",10,"AGORDO","STEFANI","ALBERTO","NOI MODERATI CIVICI PER STEFANI",22
"VENETO",5,"BELLUNO","BELLUNO",10,"AGORDO","STEFANI","ALBERTO","UNIONE DI CENTRO",8
"VENETO",5,"BELLUNO","BELLUNO",10,"AGORDO","MANILDO","GIOVANNI","PARTITO DEMOCRATICO - MANILDO PRESIDENTE",218
"VENETO",5,"BELLUNO","BELLUNO",10,"AGORDO","MANILDO","GIOVANNI","ALLEANZA VERDI E SINISTRA",46
"VENETO",5,"BELLUNO","BELLUNO",10,"AGORDO","MANILDO","GIOVANNI","UNITI PER MANILDO PRESIDENTE",38
"VENETO",5,"BELLUNO","BELLUNO",10,"AGORDO","MANILDO","GIOVANNI","MOVIMENTO 5 STELLE",29
"VENETO",5,"BELLUNO","BELLUNO",10,"AGORDO","MANILDO","GIOVANNI","PACE SALUTE LAVORO - RIFONDAZIONE COMUNISTA",11
"VENETO",5,"BELLUNO","BELLUNO",10,"AGORDO","MANILDO","GIOVANNI","LE CIVICHE VENETE PER MANILDO PRESIDENTE",7
"VENETO",5,"BELLUNO","BELLUNO",10,"AGORDO","MANILDO","GIOVANNI","VOLT EUROPA - MANILDO PRESIDENTE",4
"VENETO",5,"BELLUNO","BELLUNO",10,"AGORDO","SZUMSKI","RICCARDO","SZUMSKI RESISTERE VENETO",74
"VENETO",5,"BELLUNO","BELLUNO",10,"AGORDO","RIZZO","MARCO","DEMOCRAZIA SOVRANA POPOLARE",5
"VENETO",5,"BELLUNO","BELLUNO",10,"AGORDO","BUI","FABIO","POPOLARI per il Veneto",4
"VENETO",5,"BELLUNO","BELLUNO",30,"ALLEGHE","STEFANI","ALBERTO","LEGA - LIGA VENETA STEFANI PRESIDENTE",192
"VENETO",5,"BELLUNO","BELLUNO",30,"ALLEGHE","STEFANI","ALBERTO","FRATELLI D'ITALIA - GIORGIA MELONI",77
"VENETO",5,"BELLUNO","BELLUNO",30,"ALLEGHE","STEFANI","ALBERTO","NOI MODERATI CIVICI PER STEFANI",16
"VENETO",5,"BELLUNO","BELLUNO",30,"ALLEGHE","STEFANI","ALBERTO","LIGA VENETA REPUBBLICA V.A.",5
"VENETO",5,"BELLUNO","BELLUNO",30,"ALLEGHE","STEFANI","ALBERTO","UNIONE DI CENTRO",3
"VENETO",5,"BELLUNO","BELLUNO",30,"ALLEGHE","STEFANI","ALBERTO","FORZA ITALIA BERLUSCONI AUTONOMIA PER IL VENETO",1
"VENETO",5,"BELLUNO","BELLUNO",30,"ALLEGHE","MANILDO","GIOVANNI","PARTITO DEMOCRATICO - MANILDO PRESIDENTE",43
"VENETO",5,"BELLUNO","BELLUNO",30,"ALLEGHE","MANILDO","GIOVANNI","MOVIMENTO 5 STELLE",5
"VENETO",5,"BELLUNO","BELLUNO",30,"ALLEGHE","MANILDO","GIOVANNI","ALLEANZA VERDI E SINISTRA",5
"VENETO",5,"BELLUNO","BELLUNO",30,"ALLEGHE","MANILDO","GIOVANNI","PACE SALUTE LAVORO - RIFONDAZIONE COMUNISTA",3
"VENETO",5,"BELLUNO","BELLUNO",30,"ALLEGHE","MANILDO","GIOVANNI","UNITI PER MANILDO PRESIDENTE",3
"VENETO",5,"BELLUNO","BELLUNO",30,"ALLEGHE","MANILDO","GIOVANNI","VOLT EUROPA - MANILDO PRESIDENTE",0
"VENETO",5,"BELLUNO","BELLUNO",30,"ALLEGHE","MANILDO","GIOVANNI","LE CIVICHE VENETE PER MANILDO PRESIDENTE",0
"VENETO",5,"BELLUNO","BELLUNO",30,"ALLEGHE","SZUMSKI","RICCARDO","SZUMSKI RESISTERE VENETO",14
"VENETO",5,"BELLUNO","BELLUNO",30,"ALLEGHE","RIZZO","MARCO","DEMOCRAZIA SOVRANA POPOLARE",1
"VENETO",5,"BELLUNO","BELLUNO",30,"ALLEGHE","BUI","FABIO","POPOLARI per il Veneto",0
"VENETO",5,"BELLUNO","BELLUNO",35,"ALPAGO","STEFANI","ALBERTO","FRATELLI D'ITALIA - GIORGIA MELONI",794
"VENETO",5,"BELLUNO","BELLUNO",35,"ALPAGO","STEFANI","ALBERTO","LEGA - LIGA VENETA STEFANI PRESIDENTE",508
"VENETO",5,"BELLUNO","BELLUNO",35,"ALPAGO","STEFANI","ALBERTO","UNIONE DI CENTRO",162
"VENETO",5,"BELLUNO","BELLUNO",35,"ALPAGO","STEFANI","ALBERTO","FORZA ITALIA BERLUSCONI AUTONOMIA PER IL VENETO",46
"VENETO",5,"BELLUNO","BELLUNO",35,"ALPAGO","STEFANI","ALBERTO","LIGA VENETA REPUBBLICA V.A.",36
"VENETO",5,"BELLUNO","BELLUNO",35,"ALPAGO","STEFANI","ALBERTO","NOI MODERATI CIVICI PER STEFANI",9
"VENETO",5,"BELLUNO","BELLUNO",35,"ALPAGO","MANILDO","GIOVANNI","PARTITO DEMOCRATICO - MANILDO PRESIDENTE",350
"VENETO",5,"BELLUNO","BELLUNO",35,"ALPAGO","MANILDO","GIOVANNI","ALLEANZA VERDI E SINISTRA",74
"VENETO",5,"BELLUNO","BELLUNO",35,"ALPAGO","MANILDO","GIOVANNI","MOVIMENTO 5 STELLE",44
"VENETO",5,"BELLUNO","BELLUNO",35,"ALPAGO","MANILDO","GIOVANNI","UNITI PER MANILDO PRESIDENTE",37
"VENETO",5,"BELLUNO","BELLUNO",35,"ALPAGO","MANILDO","GIOVANNI","PACE SALUTE LAVORO - RIFONDAZIONE COMUNISTA",15
"VENETO",5,"BELLUNO","BELLUNO",35,"ALPAGO","MANILDO","GIOVANNI","VOLT EUROPA - MANILDO PRESIDENTE",5
"VENETO",5,"BELLUNO","BELLUNO",35,"ALPAGO","MANILDO","GIOVANNI","LE CIVICHE VENETE PER MANILDO PRESIDENTE",4
"VENETO",5,"BELLUNO","BELLUNO",35,"ALPAGO","SZUMSKI","RICCARDO","SZUMSKI RESISTERE VENETO",211
"VENETO",5,"BELLUNO","BELLUNO",35,"ALPAGO","RIZZO","MARCO","DEMOCRAZIA SOVRANA POPOLARE",24
"VENETO",5,"BELLUNO","BELLUNO",35,"ALPAGO","BUI","FABIO","POPOLARI per il Veneto",7
"VENETO",5,"BELLUNO","BELLUNO",40,"ARSIE'","STEFANI","ALBERTO","LEGA - LIGA VENETA STEFANI PRESIDENTE",304
"VENETO",5,"BELLUNO","BELLUNO",40,"ARSIE'","STEFANI","ALBERTO","FRATELLI D'ITALIA - GIORGIA MELONI",160
"VENETO",5,"BELLUNO","BELLUNO",40,"ARSIE'","STEFANI","ALBERTO","FORZA ITALIA BERLUSCONI AUTONOMIA PER IL VENETO",23
"VENETO",5,"BELLUNO","BELLUNO",40,"ARSIE'","STEFANI","ALBERTO","UNIONE DI CENTRO",15
"VENETO",5,"BELLUNO","BELLUNO",40,"ARSIE'","STEFANI","ALBERTO","NOI MODERATI CIVICI PER STEFANI",10
"VENETO",5,"BELLUNO","BELLUNO",40,"ARSIE'","STEFANI","ALBERTO","LIGA VENETA REPUBBLICA V.A.",7
"VENETO",5,"BELLUNO","BELLUNO",40,"ARSIE'","MANILDO","GIOVANNI","PARTITO DEMOCRATICO - MANILDO PRESIDENTE",137
"VENETO",5,"BELLUNO","BELLUNO",40,"ARSIE'","MANILDO","GIOVANNI","UNITI PER MANILDO PRESIDENTE",122
"VENETO",5,"BELLUNO","BELLUNO",40,"ARSIE'","MANILDO","GIOVANNI","ALLEANZA VERDI E SINISTRA",19
"VENETO",5,"BELLUNO","BELLUNO",40,"ARSIE'","MANILDO","GIOVANNI","MOVIMENTO 5 STELLE",10
"VENETO",5,"BELLUNO","BELLUNO",40,"ARSIE'","MANILDO","GIOVANNI","PACE SALUTE LAVORO - RIFONDAZIONE COMUNISTA",9
"VENETO",5,"BELLUNO","BELLUNO",40,"ARSIE'","MANILDO","GIOVANNI","VOLT EUROPA - MANILDO PRESIDENTE",2
"VENETO",5,"BELLUNO","BELLUNO",40,"ARSIE'","MANILDO","GIOVANNI","LE CIVICHE VENETE PER MANILDO PRESIDENTE",1
"VENETO",5,"BELLUNO","BELLUNO",40,"ARSIE'","SZUMSKI","RICCARDO","SZUMSKI RESISTERE VENETO",60
"VENETO",5,"BELLUNO","BELLUNO",40,"ARSIE'","RIZZO","MARCO","DEMOCRAZIA SOVRANA POPOLARE",17
"VENETO",5,"BELLUNO","BELLUNO",40,"ARSIE'","BUI","FABIO","POPOLARI per il Veneto",4
"VENETO",5,"BELLUNO","BELLUNO",50,"AURONZO DI CADORE","STEFANI","ALBERTO","FRATELLI D'ITALIA - GIORGIA MELONI",484
"VENETO",5,"BELLUNO","BELLUNO",50,"AURONZO DI CADORE","STEFANI","ALBERTO","LEGA - LIGA VENETA STEFANI PRESIDENTE",165
"VENETO",5,"BELLUNO","BELLUNO",50,"AURONZO DI CADORE","STEFANI","ALBERTO","FORZA ITALIA BERLUSCONI AUTONOMIA PER IL VENETO",32
"VENETO",5,"BELLUNO","BELLUNO",50,"AURONZO DI CADORE","STEFANI","ALBERTO","LIGA VENETA REPUBBLICA V.A.",14
"VENETO",5,"BELLUNO","BELLUNO",50,"AURONZO DI CADORE","STEFANI","ALBERTO","UNIONE DI CENTRO",8
"VENETO",5,"BELLUNO","BELLUNO",50,"AURONZO DI CADORE","STEFANI","ALBERTO","NOI MODERATI CIVICI PER STEFANI",3
"VENETO",5,"BELLUNO","BELLUNO",50,"AURONZO DI CADORE","MANILDO","GIOVANNI","PARTITO DEMOCRATICO - MANILDO PRESIDENTE",122
"VENETO",5,"BELLUNO","BELLUNO",50,"AURONZO DI CADORE","MANILDO","GIOVANNI","ALLEANZA VERDI E SINISTRA",26
"VENETO",5,"BELLUNO","BELLUNO",50,"AURONZO DI CADORE","MANILDO","GIOVANNI","UNITI PER MANILDO PRESIDENTE",25
"VENETO",5,"BELLUNO","BELLUNO",50,"AURONZO DI CADORE","MANILDO","GIOVANNI","MOVIMENTO 5 STELLE",8
"VENETO",5,"BELLUNO","BELLUNO",50,"AURONZO DI CADORE","MANILDO","GIOVANNI","PACE SALUTE LAVORO - RIFONDAZIONE COMUNISTA",5
"VENETO",5,"BELLUNO","BELLUNO",50,"AURONZO DI CADORE","MANILDO","GIOVANNI","VOLT EUROPA - MANILDO PRESIDENTE",1
"VENETO",5,"BELLUNO","BELLUNO",50,"AURONZO DI CADORE","MANILDO","GIOVANNI","LE CIVICHE VENETE PER MANILDO PRESIDENTE",1
"VENETO",5,"BELLUNO","BELLUNO",50,"AURONZO DI CADORE","SZUMSKI","RICCARDO","SZUMSKI RESISTERE VENETO",52
"VENETO",5,"BELLUNO","BELLUNO",50,"AURONZO DI CADORE","RIZZO","MARCO","DEMOCRAZIA SOVRANA POPOLARE",17
"VENETO",5,"BELLUNO","BELLUNO",50,"AURONZO DI CADORE","BUI","FABIO","POPOLARI per il Veneto",3
"VENETO",5,"BELLUNO","BELLUNO",60,"BELLUNO","STEFANI","ALBERTO","LEGA - LIGA VENETA STEFANI PRESIDENTE",2708
"VENETO",5,"BELLUNO","BELLUNO",60,"BELLUNO","STEFANI","ALBERTO","FRATELLI D'ITALIA - GIORGIA MELONI",2653
"VENETO",5,"BELLUNO","BELLUNO",60,"BELLUNO","STEFANI","ALBERTO","FORZA ITALIA BERLUSCONI AUTONOMIA PER IL VENETO",427
"VENETO",5,"BELLUNO","BELLUNO",60,"BELLUNO","STEFANI","ALBERTO","LIGA VENETA REPUBBLICA V.A.",288
"VENETO",5,"BELLUNO","BELLUNO",60,"BELLUNO","STEFANI","ALBERTO","UNIONE DI CENTRO",171
"VENETO",5,"BELLUNO","BELLUNO",60,"BELLUNO","STEFANI","ALBERTO","NOI MODERATI CIVICI PER STEFANI",58
"VENETO",5,"BELLUNO","BELLUNO",60,"BELLUNO","MANILDO","GIOVANNI","PARTITO DEMOCRATICO - MANILDO PRESIDENTE",2910
"VENETO",5,"BELLUNO","BELLUNO",60,"BELLUNO","MANILDO","GIOVANNI","ALLEANZA VERDI E SINISTRA",1043
"VENETO",5,"BELLUNO","BELLUNO",60,"BELLUNO","MANILDO","GIOVANNI","UNITI PER MANILDO PRESIDENTE",405
"VENETO",5,"BELLUNO","BELLUNO",60,"BELLUNO","MANILDO","GIOVANNI","MOVIMENTO 5 STELLE",280
"VENETO",5,"BELLUNO","BELLUNO",60,"BELLUNO","MANILDO","GIOVANNI","LE CIVICHE VENETE PER MANILDO PRESIDENTE",174
"VENETO",5,"BELLUNO","BELLUNO",60,"BELLUNO","MANILDO","GIOVANNI","PACE SALUTE LAVORO - RIFONDAZIONE COMUNISTA",96
"VENETO",5,"BELLUNO","BELLUNO",60,"BELLUNO","MANILDO","GIOVANNI","VOLT EUROPA - MANILDO PRESIDENTE",39
"VENETO",5,"BELLUNO","BELLUNO",60,"BELLUNO","SZUMSKI","RICCARDO","SZUMSKI RESISTERE VENETO",640
"VENETO",5,"BELLUNO","BELLUNO",60,"BELLUNO","RIZZO","MARCO","DEMOCRAZIA SOVRANA POPOLARE",97
"VENETO",5,"BELLUNO","BELLUNO",60,"BELLUNO","BUI","FABIO","POPOLARI per il Veneto",60
"VENETO",5,"BELLUNO","BELLUNO",70,"BORCA DI CADORE","STEFANI","ALBERTO","LEGA - LIGA VENETA STEFANI PRESIDENTE",85
"VENETO",5,"BELLUNO","BELLUNO",70,"BORCA DI CADORE","STEFANI","ALBERTO","FRATELLI D'ITALIA - GIORGIA MELONI",67
"VENETO",5,"BELLUNO","BELLUNO",70,"BORCA DI CADORE","STEFANI","ALBERTO","UNIONE DI CENTRO",3
"VENETO",5,"BELLUNO","BELLUNO",70,"BORCA DI CADORE","STEFANI","ALBERTO","FORZA ITALIA BERLUSCONI AUTONOMIA PER IL VENETO",2
"VENETO",5,"BELLUNO","BELLUNO",70,"BORCA DI CADORE","STEFANI","ALBERTO","LIGA VENETA REPUBBLICA V.A.",1
"VENETO",5,"BELLUNO","BELLUNO",70,"BORCA DI CADORE","STEFANI","ALBERTO","NOI MODERATI CIVICI PER STEFANI",1
"VENETO",5,"BELLUNO","BELLUNO",70,"BORCA DI CADORE","MANILDO","GIOVANNI","PARTITO DEMOCRATICO - MANILDO PRESIDENTE",24
"VENETO",5,"BELLUNO","BELLUNO",70,"BORCA DI CADORE","MANILDO","GIOVANNI","ALLEANZA VERDI E SINISTRA",9
"VENETO",5,"BELLUNO","BELLUNO",70,"BORCA DI CADORE","MANILDO","GIOVANNI","UNITI PER MANILDO PRESIDENTE",6
"VENETO",5,"BELLUNO","BELLUNO",70,"BORCA DI CADORE","MANILDO","GIOVANNI","MOVIMENTO 5 STELLE",1
"VENETO",5,"BELLUNO","BELLUNO",70,"BORCA DI CADORE","MANILDO","GIOVANNI","PACE SALUTE LAVORO - RIFONDAZIONE COMUNISTA",1
"VENETO",5,"BELLUNO","BELLUNO",70,"BORCA DI CADORE","MANILDO","GIOVANNI","VOLT EUROPA - MANILDO PRESIDENTE",1
"VENETO",5,"BELLUNO","BELLUNO",70,"BORCA DI CADORE","MANILDO","GIOVANNI","LE CIVICHE VENETE PER MANILDO PRESIDENTE",0
"VENETO",5,"BELLUNO","BELLUNO",70,"BORCA DI CADORE","SZUMSKI","RICCARDO","SZUMSKI RESISTERE VENETO",11
"VENETO",5,"BELLUNO","BELLUNO",70,"BORCA DI CADORE","RIZZO","MARCO","DEMOCRAZIA SOVRANA POPOLARE",3
"VENETO",5,"BELLUNO","BELLUNO",70,"BORCA DI CADORE","BUI","FABIO","POPOLARI per il Veneto",1
"VENETO",5,"BELLUNO","BELLUNO",75,"BORGO VALBELLUNA","STEFANI","ALBERTO","LEGA - LIGA VENETA STEFANI PRESIDENTE",1319
"VENETO",5,"BELLUNO","BELLUNO",75,"BORGO VALBELLUNA","STEFANI","ALBERTO","FRATELLI D'ITALIA - GIORGIA MELONI",1127
"VENETO",5,"BELLUNO","BELLUNO",75,"BORGO VALBELLUNA","STEFANI","ALBERTO","UNIONE DI CENTRO",114
"VENETO",5,"BELLUNO","BELLUNO",75,"BORGO VALBELLUNA","STEFANI","ALBERTO","FORZA ITALIA BERLUSCONI AUTONOMIA PER IL VENETO",105
"VENETO",5,"BELLUNO","BELLUNO",75,"BORGO VALBELLUNA","STEFANI","ALBERTO","LIGA VENETA REPUBBLICA V.A.",77
"VENETO",5,"BELLUNO","BELLUNO",75,"BORGO VALBELLUNA","STEFANI","ALBERTO","NOI MODERATI CIVICI PER STEFANI",30
"VENETO",5,"BELLUNO","BELLUNO",75,"BORGO VALBELLUNA","MANILDO","GIOVANNI","PARTITO DEMOCRATICO - MANILDO PRESIDENTE",774
"VENETO",5,"BELLUNO","BELLUNO",75,"BORGO VALBELLUNA","MANILDO","GIOVANNI","ALLEANZA VERDI E SINISTRA",220
"VENETO",5,"BELLUNO","BELLUNO",75,"BORGO VALBELLUNA","MANILDO","GIOVANNI","UNITI PER MANILDO PRESIDENTE",114
"VENETO",5,"BELLUNO","BELLUNO",75,"BORGO VALBELLUNA","MANILDO","GIOVANNI","MOVIMENTO 5 STELLE",101
"VENETO",5,"BELLUNO","BELLUNO",75,"BORGO VALBELLUNA","MANILDO","GIOVANNI","PACE SALUTE LAVORO - RIFONDAZIONE COMUNISTA",38
