"COMUNE","PROVINCIA","VOTI_Altri","VOTI_CDX","VOTI_CSX/M5S","PCT_Altri","PCT_CDX","PCT_CSX/M5S","ELETTORI","VOTANTI","BIANCHE","VOTI_ESPRESSI","AFFLUENZA","VINCITORE","DIFF_VOTI","X","Y","COD_PROV","COD_REG"
"ACCADIA","FOGGIA",42,448,839,3.16,33.71,63.13,2547,1606,232,1374,63.05,"CSX/M5S",391,15.328659,41.180915,71,16
"ACQUAVIVA DELLE FONTI","BARI",161,4136,6500,1.49,38.31,60.2,17893,11363,334,11029,63.51,"CSX/M5S",2364,16.844546,40.889752,72,16
"ADELFIA","BARI",158,2429,5666,1.91,29.43,68.65,15645,8600,172,8428,54.97,"CSX/M5S",3237,16.870496,40.991985,72,16
"ALBEROBELLO","BARI",132,1746,3059,2.67,35.37,61.96,9912,5337,258,5079,53.84,"CSX/M5S",1313,17.237622,40.797915,72,16
"ALBERONA","FOGGIA",1,198,215,0.24,47.83,51.93,1096,444,18,426,40.51,"CSX/M5S",17,15.147628,41.435689,71,16
"ALESSANO","LECCE",88,1051,1739,3.06,36.52,60.42,6387,3128,169,2959,48.97,"CSX/M5S",688,18.326702,39.890497,75,16
"ALEZIO","LECCE",43,1486,1299,1.52,52.55,45.93,5710,2997,89,2908,52.49,"CDX",187,18.059786,40.049751,75,16
"ALLISTE","LECCE",56,996,1467,2.22,39.54,58.24,6567,2731,130,2601,41.59,"CSX/M5S",471,18.087202,39.931811,75,16
"ALTAMURA","BARI",857,12551,17808,2.75,40.21,57.05,56704,33318,1134,32184,58.76,"CSX/M5S",5257,16.550301,40.859602,72,16
"ANDRANO","LECCE",39,859,1535,1.6,35.31,63.09,4278,2613,111,2502,61.08,"CSX/M5S",676,18.366823,39.982643,75,16
"ANDRIA","BARLETTA-ANDRIA-TRANI",1006,17257,31526,2.02,34.66,63.32,83140,55131,3461,51670,66.31,"CSX/M5S",14269,16.235632,41.157906,110,16
"ANZANO DI PUGLIA","FOGGIA",12,194,350,2.16,34.89,62.95,2332,611,29,582,26.2,"CSX/M5S",156,15.290708,41.111851,71,16
"APRICENA","FOGGIA",74,4008,2278,1.16,63.02,35.82,11923,6784,282,6502,56.9,"CDX",1730,15.456612,41.777187,71,16
"ARADEO","LECCE",106,1333,2633,2.6,32.74,64.66,9430,4377,224,4153,46.42,"CSX/M5S",1300,18.132975,40.1316,75,16
"ARNESANO","LECCE",107,1016,1108,4.8,45.54,49.66,3451,2548,263,2285,73.83,"CSX/M5S",92,18.079745,40.336679,75,16
"ASCOLI SATRIANO","FOGGIA",36,898,1705,1.36,34.03,64.61,5143,2912,141,2771,56.62,"CSX/M5S",807,15.62437,41.199058,71,16
"AVETRANA","TARANTO",39,1841,1022,1.34,63.44,35.22,6843,3151,146,3005,46.05,"CDX",819,17.743875,40.354549,73,16
"BAGNOLO DEL SALENTO","LECCE",8,664,390,0.75,62.52,36.72,1530,1137,44,1093,74.31,"CDX",274,18.355396,40.148446,75,16
"BARI","BARI",4086,43549,97741,2.81,29.96,67.23,277245,152079,2408,149671,54.85,"CSX/M5S",54192,16.846317,41.102515,72,16
"BARLETTA","BARLETTA-ANDRIA-TRANI",924,13331,29080,2.13,30.76,67.11,79828,45966,1459,44507,57.58,"CSX/M5S",15749,16.215034,41.289047,110,16
"BICCARI","FOGGIA",34,563,655,2.72,44.97,52.32,2658,1399,90,1309,52.63,"CSX/M5S",92,15.219313,41.421974,71,16
"BINETTO","BARI",22,459,782,1.74,36.34,61.92,1852,1347,57,1290,72.73,"CSX/M5S",323,16.725062,41.012819,72,16
"BISCEGLIE","BARLETTA-ANDRIA-TRANI",864,6466,14873,3.89,29.12,66.99,48389,23923,876,23047,49.44,"CSX/M5S",8407,16.48595,41.204442,110,16
"BITETTO","BARI",215,1979,4524,3.2,29.46,67.34,10169,7526,556,6970,74.01,"CSX/M5S",2545,16.758621,41.038376,72,16
"BITONTO","BARI",771,8269,15549,3.14,33.63,63.24,47378,26413,845,25568,55.75,"CSX/M5S",7280,16.613947,41.066215,72,16
