COD_RIP,COD_REG,COD_PROV,COD_CM,COD_UTS,PRO_COM,PRO_COM_T,COMUNE,COMUNE_A,CC_UTS,Shape_Leng,Shape_Area,X,Y
2,5,23,0,23,23001,023001,Affi,,0,14367.3647783,9929479.45375,10.776696,45.557034
2,5,23,0,23,23002,023002,Albaredo d'Adige,,0,25026.9496321,28204390.2204,11.291572,45.298311
2,5,23,0,23,23003,023003,Angiari,,0,16063.4574564,13567556.2144,11.266006,45.222235
2,5,23,0,23,23004,023004,Arcole,,0,20491.7721427,18667671.8116,11.298696,45.365411
2,5,23,0,23,23005,023005,Badia Calavena,,0,23260.2215196,26729786.8515,11.15391,45.574721
2,5,23,0,23,23006,023006,Bardolino,,0,38427.5323058,57476151.0152,10.696172,45.538987
2,5,23,0,23,23007,023007,Belfiore,,0,30695.0367556,26301490.4793,11.217142,45.374529
2,5,23,0,23,23008,023008,Bevilacqua,,0,21451.7797967,12239328.3358,11.391871,45.216008
2,5,23,0,23,23009,023009,Bonavigo,,0,20166.1943128,18029629.0224,11.295797,45.246374
2,5,23,0,23,23010,023010,Boschi Sant'Anna,,0,13548.1038763,9399403.55555,11.366641,45.207666
2,5,23,0,23,23011,023011,Bosco Chiesanuova,,0,42270.8155205,64987331.2323,11.046555,45.653813
2,5,23,0,23,23012,023012,Bovolone,,0,32731.4058601,41519850.7549,11.116663,45.264073
2,5,23,0,23,23013,023013,Brentino Belluno,,0,36369.1612298,25824131.1728,10.881673,45.670469
2,5,23,0,23,23014,023014,Brenzone sul Garda,,0,31927.5217458,51677654.0459,10.76557,45.695037
2,5,23,0,23,23015,023015,Bussolengo,,0,30281.4662059,24152611.711,10.84599,45.46632
2,5,23,0,23,23016,023016,Buttapietra,,0,24538.7685092,17457279.009,11.002795,45.342883
2,5,23,0,23,23017,023017,Caldiero,,0,17356.8590665,10483780.8046,11.169402,45.406441
2,5,23,0,23,23018,023018,Caprino Veronese,,0,31071.2883711,47856567.435,10.802357,45.61833
2,5,23,0,23,23019,023019,Casaleone,,0,33106.0431483,38140719.3553,11.19911,45.144804
2,5,23,0,23,23020,023020,Castagnaro,,0,25383.2021048,35048917.8475,11.403354,45.089626
2,5,23,0,23,23021,023021,Castel d'Azzano,,0,14689.0821547,9757983.02754,10.948979,45.358464
2,5,23,0,23,23022,023022,Castelnuovo del Garda,,0,38758.9048919,34487798.8674,10.740397,45.444204
2,5,23,0,23,23023,023023,Cavaion Veronese,,0,16363.5179903,12773351.6236,10.778143,45.531193
2,5,23,0,23,23024,023024,Cazzano di Tramigna,,0,20473.3436202,12380350.6322,11.21141,45.482712
2,5,23,0,23,23025,023025,Cerea,,0,59182.7966671,70224009.9527,11.218057,45.173693
2,5,23,0,23,23026,023026,Cerro Veronese,,0,14324.8287605,10231925.6362,11.031957,45.569609
2,5,23,0,23,23027,023027,Cologna Veneta,,0,35151.6602172,43032378.0534,11.398101,45.308289
2,5,23,0,23,23028,023028,Colognola ai Colli,,0,21459.3650753,20666156.2188,11.188991,45.427862
2,5,23,0,23,23029,023029,Concamarise,,0,14032.5362752,7889130.57751,11.141992,45.204426
2,5,23,0,23,23030,023030,Costermano sul Garda,,0,21608.7974273,16588075.6137,10.736629,45.592222
2,5,23,0,23,23031,023031,Dolcè,,0,50190.0051591,31034833.3568,10.87708,45.619784
2,5,23,0,23,23032,023032,Erbè,,0,21071.5345749,16366707.3935,10.973543,45.241788
2,5,23,0,23,23033,023033,Erbezzo,,0,28755.1243773,31486029.4693,10.997198,45.661108
2,5,23,0,23,23034,023034,Ferrara di Monte Baldo,,0,25718.6538663,26554983.4299,10.846807,45.682509
2,5,23,0,23,23035,023035,Fumane,,0,32981.9360813,34287444.0643,10.889962,45.582114
2,5,23,0,23,23036,023036,Garda,,0,20201.9784502,14326291.9881,10.687367,45.576538
2,5,23,0,23,23037,023037,Gazzo Veronese,,0,42269.9557759,57101874.4723,11.094733,45.134943
2,5,23,0,23,23038,023038,Grezzana,,0,40817.9995521,49699956.927,11.017561,45.547085
2,5,23,0,23,23039,023039,Illasi,,0,24641.0119805,25132383.8702,11.177086,45.46867
2,5,23,0,23,23040,023040,Isola della Scala,,0,40854.325851,69574693.5815,11.020636,45.277508
2,5,23,0,23,23041,023041,Isola Rizza,,0,18666.5471909,17003973.6497,11.190099,45.277908
2,5,23,0,23,23042,023042,Lavagno,,0,19333.7314516,14461731.216,11.131689,45.44062
2,5,23,0,23,23043,023043,Lazise,,0,33207.6554721,63160278.3589,10.710834,45.485899
2,5,23,0,23,23044,023044,Legnago,,0,55093.9638764,78688197.1925,11.301188,45.164663
2,5,23,0,23,23045,023045,Malcesine,,0,37493.2565935,68964626.9636,10.830746,45.768873
2,5,23,0,23,23046,023046,Marano di Valpolicella,,0,20422.114828,18745588.9485,10.915781,45.5584
2,5,23,0,23,23047,023047,Mezzane di Sotto,,0,19881.6536973,19814424.7471,11.122485,45.488391
2,5,23,0,23,23048,023048,Minerbe,,0,23216.1113924,29760595.0315,11.352707,45.249083
2,5,23,0,23,23049,023049,Montecchia di Crosara,,0,28569.7930402,20837159.1398,11.267788,45.477683
2,5,23,0,23,23050,023050,Monteforte d'Alpone,,0,19268.3440552,20343927.9682,11.286914,45.436053
2,5,23,0,23,23051,023051,Mozzecane,,0,25885.6034945,24859754.2219,10.838556,45.309067
2,5,23,0,23,23052,023052,Negrar di Valpolicella,,0,31498.6001128,40359827.4895,10.952842,45.538815
2,5,23,0,23,23053,023053,Nogara,,0,35350.7738336,38550412.3415,11.064585,45.18775
2,5,23,0,23,23054,023054,Nogarole Rocca,,0,23456.3151977,29659306.6805,10.879162,45.280371
2,5,23,0,23,23055,023055,Oppeano,,0,45330.201368,46381955.1926,11.113395,45.310284
2,5,23,0,23,23056,023056,Palù,,0,20395.8131938,13818906.715,11.142411,45.326316
2,5,23,0,23,23057,023057,Pastrengo,,0,12710.479283,8905637.13667,10.796458,45.497383
2,5,23,0,23,23058,023058,Pescantina,,0,23709.3210917,19725347.1998,10.861212,45.490648
2,5,23,0,23,23059,023059,Peschiera del Garda,,0,24295.1062363,18078373.6274,10.674319,45.438329
2,5,23,0,23,23060,023060,Povegliano Veronese,,0,19421.567888,18132581.7345,10.889564,45.340348
2,5,23,0,23,23061,023061,Pressana,,0,23080.1934029,17289439.9473,11.397213,45.27476
2,5,23,0,23,23062,023062,Rivoli Veronese,,0,30852.581734,18274337.171,10.810484,45.572357
2,5,23,0,23,23063,023063,Roncà,,0,17695.955695,18177423.7898,11.298952,45.484643
2,5,23,0,23,23064,023064,Ronco all'Adige,,0,33644.0689154,42850317.9448,11.224555,45.326168
2,5,23,0,23,23065,023065,Roverchiara,,0,24373.5111079,19607258.9276,11.239651,45.263946
2,5,23,0,23,23066,023066,Roveredo di Guà,,0,16193.6957997,10131704.7341,11.462952,45.27331
2,5,23,0,23,23067,023067,Roverè Veronese,,0,41035.646239,36365963.3902,11.078047,45.600654
2,5,23,0,23,23068,023068,Salizzole,,0,27857.1271628,30670390.7821,11.089412,45.222012
2,5,23,0,23,23069,023069,San Bonifacio,,0,30780.9695562,33984170.3289,11.28675,45.396732
2,5,23,0,23,23070,023070,San Giovanni Ilarione,,0,22377.7149512,25400620.9702,11.236378,45.526469
2,5,23,0,23,23071,023071,San Giovanni Lupatoto,,0,27131.4847139,19169004.7918,11.037755,45.369064
2,5,23,0,23,23072,023072,Sanguinetto,,0,16019.2435051,13604709.9416,11.154189,45.173425
2,5,23,0,23,23073,023073,San Martino Buon Albergo,,0,34020.472453,34854803.8496,11.098633,45.420063
2,5,23,0,23,23074,023074,San Mauro di Saline,,0,16909.1729425,11370413.6057,11.10951,45.560146
2,5,23,0,23,23075,023075,San Pietro di Morubio,,0,21690.1270403,16010436.6168,11.201505,45.242501
2,5,23,0,23,23076,023076,San Pietro in Cariano,,0,20233.5459163,20353058.4795,10.898475,45.506484
2,5,23,0,23,23077,023077,Sant'Ambrogio di Valpolicella,,0,27282.0989242,23413871.2412,10.84177,45.538725
2,5,23,0,23,23078,023078,Sant'Anna d'Alfaedo,,0,40248.0047186,43492547.7006,10.950187,45.631283
