iso_a3,quota_nucleare
AFG,0
ALB,0
DZA,0
AGO,0
ATG,0
ARG,7.025792
ARM,26.954731
AUS,0
AUT,0
AZE,0
BHS,0
BHR,0
BGD,0
BRB,0
BLR,36.596935
BEL,33.07724
BLZ,0
BEN,0
BTN,0
BOL,0
BIH,0
BWA,0
BRA,2.1145058
BRN,0
BGR,39.12013
BFA,0
BDI,0
CMR,0
CAN,13.0770645
CPV,0
CAF,0
TCD,0
CHL,0
CHN,4.6073265
COL,0
COM,0
COG,0
CRI,0
CIV,0
HRV,0
CUB,0
CYP,0
CZE,42.304638
COD,0
DNK,0
DJI,0
DMA,0
DOM,0
TLS,0
ECU,0
EGY,0
GNQ,0
ERI,0
EST,0
SWZ,0
ETH,0
FJI,0
FIN,39.87849
FRA,68.78663
GAB,0
GMB,0
GEO,0
DEU,0
GHA,0
GRC,0
GRL,0
GRD,0
GTM,0
GIN,0
GNB,0
GUY,0
HTI,0
HND,0
HUN,40.00994
ISL,0
IND,2.5859916
IDN,0
IRN,1.8570923
IRQ,0
IRL,0
ISR,0
ITA,0
JAM,0
JPN,9.136193
JOR,0
KAZ,0
KEN,0
KIR,0
OWID_KOS,0
KWT,0
KGZ,0
LAO,0
LVA,0
LBN,0
LSO,0
LBR,0
LBY,0
LTU,0
LUX,0
MDG,0
MWI,0
MYS,0
MDV,0
MLI,0
MLT,0
MRT,0
MUS,0
MEX,2.8461776
MDA,0
MNG,0
MNE,0
MAR,0
MOZ,0
MMR,0
NAM,0
NRU,0
NPL,0
NLD,2.9564314
NCL,0
NZL,0
NIC,0
NER,0
NGA,0
PRK,0
MKD,0
NOR,0
OMN,0
PAK,12.157104
PSE,0
PAN,0
PNG,0
PRY,0
PER,0
PHL,0
POL,0
PRT,0
PRI,0
QAT,0
ROU,20.477816
RUS,18.33097
RWA,0
KNA,0
LCA,0
VCT,0
WSM,0
STP,0
SAU,0
SEN,0
SRB,0
SYC,0
SLE,0
SGP,0
SVK,66.42612
SVN,39.285713
SLB,0
SOM,0
ZAF,4.2058
KOR,29.563284
SSD,0
ESP,18.781479
LKA,0
SDN,0
SUR,0
SWE,27.590649
CHE,29.867735
SYR,0
TWN,1.1269461
TJK,0
TZA,0
THA,0
TGO,0
TON,0
TTO,0
TUN,0
TUR,0
TKM,0
UGA,0
UKR,55.761814
ARE,22.921135
GBR,12.445692
USA,17.363197
URY,0
UZB,0
VUT,0
VEN,0
VNM,0
YEM,0
ZMB,0
ZWE,0
