anno,espatri,rimpatri,saldo,espatri_ma,rimpatri_ma,saldo_ma
1872,146265,86516,-59749,149023,86653,-62370
1873,151781,86790,-64991,135424.66666666666,84101.33333333333,-51323.333333333336
1874,108228,78998,-29230,121076.66666666667,83011.66666666667,-38065
1875,103221,83247,-19974,106740,78618.66666666667,-28121.333333333332
1876,108771,73611,-35160,103735,78429,-27567
1877,99213,NA,NA,101417.33333333333,NA,NA
1878,96268,NA,NA,105104,NA,NA
1879,119831,NA,NA,112000,NA,NA
1880,119901,NA,NA,125188,NA,NA
1881,135832,NA,NA,139098.33333333334,NA,NA
1882,161562,NA,NA,155498.33333333334,NA,NA
1883,169101,NA,NA,159226.66666666666,NA,NA
1884,147017,NA,NA,157770.33333333334,NA,NA
1885,157193,NA,NA,157346.33333333334,NA,NA
1886,167829,NA,NA,180229,NA,NA
1887,215665,NA,NA,224743.33333333334,NA,NA
1888,290736,NA,NA,241604.33333333334,NA,NA
1889,218412,NA,NA,241667.33333333334,NA,NA
1890,215854,NA,NA,242632.33333333334,NA,NA
1891,293631,NA,NA,244384,NA,NA
1892,223667,NA,NA,254683,NA,NA
1893,246751,NA,NA,231913.66666666666,NA,NA
1894,225323,NA,NA,255085,NA,NA
1895,293181,NA,NA,275328.6666666667,NA,NA
1896,307482,NA,NA,300172.6666666667,NA,NA
1897,299855,NA,NA,297017.3333333333,NA,NA
1898,283715,NA,NA,297303,NA,NA
1899,308339,NA,NA,314945.3333333333,NA,NA
1900,352782,NA,NA,398122,NA,NA
1901,533245,NA,NA,472512,NA,NA
1902,531509,NA,NA,524243.3333333333,NA,NA
1903,507976,NA,NA,503558.6666666667,NA,NA
1904,471191,NA,NA,568499.3333333334,NA,NA
1905,726331,110440,-615891,661833,128103,-629051
1906,787977,145766,-642211,739661,163333.33333333334,-576327.6666666666
1907,704675,233794,-470881,659775.3333333334,220069.66666666666,-439705.6666666667
1908,486674,280649,-206025,605662,212869,-392793
1909,625637,124164,-501473,587928.6666666666,184059,-403869.6666666667
1910,651475,147364,-504111,603652,157987.66666666666,-445664.3333333333
1911,533844,202435,-331409,632255,173568.33333333334,-458686.6666666667
1912,711446,170906,-540540,705962.6666666666,183121.66666666666,-522841
1913,872598,176024,-696574,687732,185211.33333333334,-502520.6666666667
1914,479152,208704,-270448,499256.3333333333,183048.66666666666,-316207.6666666667
1915,146019,164418,18399,255845,137387,-118458
1916,142364,39039,-103325,111626.33333333333,73447.33333333333,-38179
1917,46496,16885,-29611,72390.33333333333,21649.666666666668,-50740.666666666664
1918,28311,9025,-19286,109343.66666666667,38581,-70762.66666666667
1919,253224,89833,-163391,298715.3333333333,59118.666666666664,-239596.66666666666
1920,614611,78498,-536113,356375.3333333333,97443.33333333333,-258932
1921,201291,123999,-77292,365724,104427.66666666667,-261296.33333333334
1922,281270,110786,-170484,290839.3333333333,118174.33333333333,-172665
1923,389957,119738,-270219,345280.3333333333,134445,-210835.33333333334
1924,364614,172811,-191803,344884,160540,-184344
1925,280081,189071,-91010,304617,186114.33333333334,-118502.66666666667
1926,269156,196461,-72695,260558.33333333334,180809.66666666666,-79748.66666666667
1927,232438,156897,-75541,228605.33333333334,166078,-62527.333333333336
1928,184222,144876,-39346,206474.66666666666,149382.33333333334,-57092.333333333336
1929,202764,146374,-56390,244589,161462.33333333334,-83126.66666666667
1930,346781,193137,-153644,238468.33333333334,149080.33333333334,-89388
1931,165860,107730,-58130,198663,124680.66666666667,-73982.33333333333
1932,83348,73175,-10173,110757.33333333333,82247,-28510.333333333332
1933,83064,65836,-17228,78291,62946,-15345
1934,68461,49827,-18634,69644.33333333333,51711,-17933.333333333332
1935,57408,39470,-17938,55859.666666666664,40685.666666666664,-15174
1936,41710,32760,-8950,53021,35990.333333333336,-17030.666666666668
1937,59945,35741,-24204,54401,35131,-19270
1938,61548,36892,-24656,50327.333333333336,53304,2976.6666666666665
1939,29489,87279,57790,47618,61772.666666666664,14154.666666666666
1940,51817,61147,9330,30038.333333333332,64830.666666666664,34792.333333333336
1941,8809,46066,37257,22957.333333333332,42582.666666666664,19625.333333333332
1942,8246,20535,12289,8527.5,33300.5,24773
1943,NA,NA,NA,NA,NA,NA
1944,NA,NA,NA,NA,NA,NA
1945,NA,NA,NA,NA,NA,NA
1946,110286,4558,-105728,182215,35043.5,-147171.5
1947,254144,65529,-188615,224315,63116,-161199
1948,308515,119261,-189254,272376,101138.66666666667,-171237.33333333334
1949,254469,118626,-135843,254430,103307,-151123
1950,200306,72034,-128272,249277.33333333334,94188,-155089.33333333334
1951,293057,91904,-201153,256966,86946,-170020
1952,277535,96900,-180635,265087.6666666667,97280.66666666667,-167807
1953,224671,103038,-121633,251043.66666666666,102379.33333333333,-148664.33333333334
1954,250925,107200,-143725,257474,109607,-147867
1955,296826,118583,-178243,297517.6666666667,127025.33333333333,-170492.33333333334
1956,344802,155293,-189509,327787,145717.66666666666,-182069.33333333334
1957,341733,163277,-178456,313998,152536,-161462
1958,255459,139038,-116421,288560.6666666667,152812,-135748.66666666666
1959,268490,156121,-112369,302619,162464.66666666666,-140154.33333333334
1960,383908,192235,-191673,346507,186184,-160323
1961,387123,210196,-176927,378880.6666666667,210506.33333333334,-168374.33333333334
1962,365611,229088,-136523,343448.3333333333,220144.66666666666,-123303.66666666667
1963,277611,221150,-56461,300568,213468.66666666666,-87099.33333333333
1964,258482,190168,-68314,272912,202564.66666666666,-70347.33333333333
1965,282643,196376,-86267,279206.3333333333,197676.66666666666,-81529.66666666667
1966,296494,206486,-90008,269467,190730,-78737
1967,229264,169328,-59936,247157,175280.33333333334,-71876.66666666667
1968,215713,150027,-65686,209058.66666666666,157551,-51507.666666666664
1969,182199,153298,-28901,183255.33333333334,148609.33333333334,-34646
1970,151854,142503,-9351,167258,141457.66666666666,-25800.333333333332
1971,167721,128572,-39149,153809,136440.33333333334,-17368.666666666668
1972,141852,138246,-3606,144458.33333333334,130662,-13796.333333333334
1973,123802,125168,1366,125891.33333333333,126707.33333333333,816
1974,112020,116708,4688,109496,121550,12054
1975,92666,122774,30108,100644.33333333333,118493,17848.666666666668
1976,97247,115997,18750,92522.66666666667,113585.33333333333,21062.666666666668
1977,87655,101985,14330,90150.66666666667,102626.33333333333,12475.666666666666
1978,85550,89897,4347,87385,94525,7140
1979,88950,91693,2743,86459,90684.33333333333,4225.333333333333
1980,84877,90463,5586,87682.66666666667,90347.33333333333,2664.6666666666665
1981,89221,88886,-335,90779.66666666667,90590.66666666667,-189
1982,98241,92423,-5818,90866.66666666667,89704.33333333333,-1162.3333333333333
1983,85138,87804,2666,86899,85743,-1156
1984,77318,77002,-316,76397.66666666667,77361,963.3333333333334
1985,66737,67277,540,67305.66666666667,66761.66666666667,-544
1986,57862,56006,-1856,54301.333333333336,60316,6014.666666666667
1987,38305,57665,19360,44275.666666666664,55411,11135.333333333334
1988,36660,52562,15902,44953,54706.666666666664,9753.666666666666
1989,59894,53893,-6001,48490,58830,10340
1990,48916,70035,21119,53429.333333333336,59977.333333333336,6548
1991,51478,56004,4526,50206.666666666664,60296,10089.333333333334
