CNTR_CODE,NUTS_NAME,anno,eta_mediana
SI,Slovenija,2025,45.5
SK,Slovensko,2025,43
AT,Österreich,2025,43.8
BE,Belgique/België,2025,42.1
BG,България ,2025,47.3
CH,Schweiz/Suisse/Svizzera,2025,42.9
CY,Κύπρος ,2025,41
CZ,Česko,2025,44.3
DE,Deutschland,2025,45.5
DK,Danmark,2025,42.2
EE,Eesti,2025,42.9
EL,Ελλάδα ,2025,47.2
ES,España,2025,45.8
FI,Suomi/Finland,2025,43.5
FR,France,2025,42.8
HR,Hrvatska,2025,45.5
HU,Magyarország,2025,44.8
IE,Éire/Ireland,2025,39.6
IS,Ísland,2025,37.2
IT,Italia,2025,49.1
LT,Lietuva,2025,44.3
LU,Luxembourg,2025,39.8
LV,Latvija,2025,44.4
MT,Malta,2025,40
NL,Nederland,2025,42.6
NO,Norge,2025,40.8
PL,Polska,2025,43.4
PT,Portugal,2025,47.3
RO,România,2025,44.1
SE,Sverige,2025,41.2
