"ITTER107"|"Territorio"|"TIPO_DATO12"|"Tipo dato"|"ATECO_2007_MERCE"|"Merce Ateco 2007"|"ISO"|"Paese partner"|"TIME"|"Seleziona periodo"|"Value"|"Flag Codes"|"Flags"
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"1993M1"|"Gen-1993"|4361||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"1993M2"|"Feb-1993"|5768||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"1993M3"|"Mar-1993"|6844||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"1993M4"|"Apr-1993"|5957||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"1993M5"|"Mag-1993"|5755||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"1993M6"|"Giu-1993"|6041||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"1993M7"|"Lug-1993"|5261||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"1993M8"|"Ago-1993"|3331||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"1993M9"|"Set-1993"|6367||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"1993M10"|"Ott-1993"|5918||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"1993M11"|"Nov-1993"|6154||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"1993M12"|"Dic-1993"|6871||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"1994M1"|"Gen-1994"|5663||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"1994M2"|"Feb-1994"|6227||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"1994M3"|"Mar-1994"|7620||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"1994M4"|"Apr-1994"|6331||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"1994M5"|"Mag-1994"|6726||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"1994M6"|"Giu-1994"|7465||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"1994M7"|"Lug-1994"|6190||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"1994M8"|"Ago-1994"|4138||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"1994M9"|"Set-1994"|7768||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"1994M10"|"Ott-1994"|7409||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"1994M11"|"Nov-1994"|7733||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"1994M12"|"Dic-1994"|8934||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"1995M1"|"Gen-1995"|7315||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"1995M2"|"Feb-1995"|7944||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"1995M3"|"Mar-1995"|9558||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"1995M4"|"Apr-1995"|8093||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"1995M5"|"Mag-1995"|9266||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"1995M6"|"Giu-1995"|9490||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"1995M7"|"Lug-1995"|8142||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"1995M8"|"Ago-1995"|5367||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"1995M9"|"Set-1995"|9143||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"1995M10"|"Ott-1995"|9098||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"1995M11"|"Nov-1995"|9016||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"1995M12"|"Dic-1995"|9697||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"1996M1"|"Gen-1996"|8184||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"1996M2"|"Feb-1996"|8666||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"1996M3"|"Mar-1996"|9194||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"1996M4"|"Apr-1996"|8091||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"1996M5"|"Mag-1996"|8160||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"1996M6"|"Giu-1996"|8108||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"1996M7"|"Lug-1996"|7721||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"1996M8"|"Ago-1996"|4533||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"1996M9"|"Set-1996"|8481||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"1996M10"|"Ott-1996"|8700||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"1996M11"|"Nov-1996"|7980||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"1996M12"|"Dic-1996"|9081||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"1997M1"|"Gen-1997"|7571||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"1997M2"|"Feb-1997"|8298||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"1997M3"|"Mar-1997"|9199||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"1997M4"|"Apr-1997"|9444||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"1997M5"|"Mag-1997"|8928||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"1997M6"|"Giu-1997"|9739||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"1997M7"|"Lug-1997"|9069||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"1997M8"|"Ago-1997"|4994||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"1997M9"|"Set-1997"|10244||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"1997M10"|"Ott-1997"|10182||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"1997M11"|"Nov-1997"|9513||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"1997M12"|"Dic-1997"|10809||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"1998M1"|"Gen-1998"|8828||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"1998M2"|"Feb-1998"|9770||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"1998M3"|"Mar-1998"|11304||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"1998M4"|"Apr-1998"|10147||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"1998M5"|"Mag-1998"|9496||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"1998M6"|"Giu-1998"|10671||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"1998M7"|"Lug-1998"|9440||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"1998M8"|"Ago-1998"|5688||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"1998M9"|"Set-1998"|10690||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"1998M10"|"Ott-1998"|10107||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"1998M11"|"Nov-1998"|10110||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"1998M12"|"Dic-1998"|11099||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"1999M1"|"Gen-1999"|8218||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"1999M2"|"Feb-1999"|9607||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"1999M3"|"Mar-1999"|11813||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"1999M4"|"Apr-1999"|10078||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"1999M5"|"Mag-1999"|10052||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"1999M6"|"Giu-1999"|11119||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"1999M7"|"Lug-1999"|9954||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"1999M8"|"Ago-1999"|6116||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"1999M9"|"Set-1999"|11531||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"1999M10"|"Ott-1999"|11071||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"1999M11"|"Nov-1999"|11252||
"ITTOT"|"Totale"|"IV"|"importazioni - valore (milioni di euro)"|"0010"|"totale"|"EU"|"Unione europea"|"1999M12"|"Dic-1999"|13222||
