settore,codice_cpa,flusso,anno,valore_euro
Totale manifattura,C,esportazioni,1991,104409665807.69165
Totale manifattura,C,esportazioni,1992,109634095172.9233
Totale manifattura,C,esportazioni,1993,133042920412.076
Totale manifattura,C,esportazioni,1994,154022746204.95676
Totale manifattura,C,esportazioni,1995,190750875729.25546
Totale manifattura,C,esportazioni,1996,194511489479.91687
Totale manifattura,C,esportazioni,1997,204741765102.12424
Totale manifattura,C,esportazioni,1998,213398349035.61935
Totale manifattura,C,esportazioni,1999,214188564915.06104
Totale manifattura,C,esportazioni,2000,252825908887.67236
Totale manifattura,C,esportazioni,2001,263692846700.0
Totale manifattura,C,esportazioni,2002,259727102579.0
Totale manifattura,C,esportazioni,2003,252779215433.0
Totale manifattura,C,esportazioni,2004,271925236331.0
Totale manifattura,C,esportazioni,2005,286275612548.0
Totale manifattura,C,esportazioni,2006,317449923613.0
Totale manifattura,C,esportazioni,2007,348382719893.0
Totale manifattura,C,esportazioni,2008,350598850789.0
Totale manifattura,C,esportazioni,2009,277068750596.0
Totale manifattura,C,esportazioni,2010,322684559364.0
Totale manifattura,C,esportazioni,2011,360102321497.0
Totale manifattura,C,esportazioni,2012,373594826809.0
Totale manifattura,C,esportazioni,2013,373831175130.0
Totale manifattura,C,esportazioni,2014,382772212592.0
Totale manifattura,C,esportazioni,2015,395330725497.0
Totale manifattura,C,esportazioni,2016,400188604376.0
Totale manifattura,C,esportazioni,2017,430742325585.0
Totale manifattura,C,esportazioni,2018,447013369768.0
Totale manifattura,C,esportazioni,2019,461297317527.0
Totale manifattura,C,esportazioni,2020,419374270307.0
Totale manifattura,C,esportazioni,2021,498222906124.0
Totale manifattura,C,esportazioni,2022,595733313595.0
Totale manifattura,C,esportazioni,2023,596411797167.0
Totale manifattura,C,esportazioni,2024,592379127883.11
Totale manifattura,C,esportazioni,2025,611425265570.66
Totale manifattura,C,importazioni,1991,96461383894.35927
Totale manifattura,C,importazioni,1992,100785615235.52917
Totale manifattura,C,importazioni,1993,99394222938.99542
Totale manifattura,C,importazioni,1994,118187234097.57578
Totale manifattura,C,importazioni,1995,147044630112.08487
Totale manifattura,C,importazioni,1996,139585845451.87708
Totale manifattura,C,importazioni,1997,155987529887.96448
Totale manifattura,C,importazioni,1998,169338127798.30533
Totale manifattura,C,importazioni,1999,179001982962.11115
Totale manifattura,C,importazioni,2000,214565883926.34134
Totale manifattura,C,importazioni,2001,218436610319.0
Totale manifattura,C,importazioni,2002,218172991251.0
Totale manifattura,C,importazioni,2003,215794148995.0
Totale manifattura,C,importazioni,2004,232832196499.0
Totale manifattura,C,importazioni,2005,244152012174.0
Totale manifattura,C,importazioni,2006,273354308186.0
Totale manifattura,C,importazioni,2007,295225574781.0
Totale manifattura,C,importazioni,2008,287887369398.0
Totale manifattura,C,importazioni,2009,230988854938.0
Totale manifattura,C,importazioni,2010,284832517746.0
Totale manifattura,C,importazioni,2011,305409649617.0
Totale manifattura,C,importazioni,2012,280811233708.0
Totale manifattura,C,importazioni,2013,276784192396.0
Totale manifattura,C,importazioni,2014,283853953955.0
Totale manifattura,C,importazioni,2015,304934207306.0
Totale manifattura,C,importazioni,2016,311164748756.0
Totale manifattura,C,importazioni,2017,334209245367.0
Totale manifattura,C,importazioni,2018,351716157946.0
Totale manifattura,C,importazioni,2019,353253737128.0
