destinazione,codice,anno,export_manifattura_euro
Svizzera,CH,1991,4287372329.2926
Svizzera,CH,1992,4257453553.49999
Svizzera,CH,1993,5079951830.5969
Svizzera,CH,1994,5643820922.19583
Svizzera,CH,1995,6980695183.02016
Svizzera,CH,1996,6981827554.54437
Svizzera,CH,1997,6856558146.34286
Svizzera,CH,1998,7261447838.38642
Svizzera,CH,1999,7311628664.92524
Svizzera,CH,2000,8256032816.20346
Svizzera,CH,2001,9395307113.0
Svizzera,CH,2002,8941605619.0
Svizzera,CH,2003,9583518700.0
Svizzera,CH,2004,11338384620.0
Svizzera,CH,2005,11247094448.0
Svizzera,CH,2006,12144648219.0
Svizzera,CH,2007,12810269052.0
Svizzera,CH,2008,13740150186.0
Svizzera,CH,2009,12959845535.0
Svizzera,CH,2010,15362408399.0
Svizzera,CH,2011,20152882351.0
Svizzera,CH,2012,22061182962.0
Svizzera,CH,2013,19511787120.0
Svizzera,CH,2014,18283931788.0
Svizzera,CH,2015,18586310444.0
Svizzera,CH,2016,18341170637.0
Svizzera,CH,2017,19952276802.0
Svizzera,CH,2018,21688763310.0
Svizzera,CH,2019,25365251899.0
Svizzera,CH,2020,24580179955.0
Svizzera,CH,2021,26483314905.0
Svizzera,CH,2022,29851653967.0
Svizzera,CH,2023,29589919665.0
Svizzera,CH,2024,29196019519.24
Svizzera,CH,2025,33965058825.33
Cina,CN,1991,801230113.05385
Cina,CN,1992,947698624.67568
Cina,CN,1993,2003796032.06456
Cina,CN,1994,1892772483.17692
Cina,CN,1995,2256081407.55294
Cina,CN,1996,2277740394.16257
Cina,CN,1997,2200124250.75258
Cina,CN,1998,1819859320.23967
Cina,CN,1999,1810963829.42488
Cina,CN,2000,2345510745.4022
Cina,CN,2001,3230612278.0
Cina,CN,2002,3970973143.0
Cina,CN,2003,3787268097.0
Cina,CN,2004,4341009970.0
Cina,CN,2005,4447933252.0
Cina,CN,2006,5487025311.0
Cina,CN,2007,6040967479.0
Cina,CN,2008,6148210341.0
Cina,CN,2009,6274671473.0
Cina,CN,2010,8170383887.0
Cina,CN,2011,9438035681.0
Cina,CN,2012,8524916262.0
Cina,CN,2013,9361503094.0
Cina,CN,2014,10059221462.0
Cina,CN,2015,9955556117.0
Cina,CN,2016,10591165744.0
Cina,CN,2017,12894606974.0
Cina,CN,2018,12599436517.0
Cina,CN,2019,12532723727.0
Cina,CN,2020,12543607474.0
Cina,CN,2021,15138389885.0
Cina,CN,2022,15887397492.0
Cina,CN,2023,18546372440.0
Cina,CN,2024,14682298990.79
Cina,CN,2025,13619777479.75
Germania,DE,1991,21471681101.3399
Germania,DE,1992,21915442332.99264
Germania,DE,1993,25477128720.17764
Germania,DE,1994,28869589680.68113
Germania,DE,1995,35324029879.62321
Germania,DE,1996,33391909949.54452
Germania,DE,1997,33105533301.14589
Germania,DE,1998,34906753024.63054
Germania,DE,1999,35308403050.20502
Germania,DE,2000,37810837386.32542
Germania,DE,2001,37905686151.0
Germania,DE,2002,35092538506.0
Germania,DE,2003,34526936329.0
Germania,DE,2004,36284815371.0
Germania,DE,2005,36840709553.0
Germania,DE,2006,41096811286.0
Germania,DE,2007,44372087656.0
Germania,DE,2008,44244576756.0
Germania,DE,2009,34560886281.0
Germania,DE,2010,41391066244.0
Germania,DE,2011,46689290720.0
Germania,DE,2012,46175929327.0
Germania,DE,2013,45888712321.0
Germania,DE,2014,47700829535.0
Germania,DE,2015,48225292014.0
Germania,DE,2016,50049354130.0
Germania,DE,2017,53220710864.0
Germania,DE,2018,55784584902.0
Germania,DE,2019,56226332680.0
Germania,DE,2020,53594257772.0
Germania,DE,2021,64373772207.0
Germania,DE,2022,73195736753.0
Germania,DE,2023,71084227962.0
Germania,DE,2024,66832567405.0
Germania,DE,2025,68657679106.0
Spagna,ES,1991,5391325978.30772
Spagna,ES,1992,5660467813.38434
Spagna,ES,1993,5775460573.16418
Spagna,ES,1994,7208208894.42184
Spagna,ES,1995,9341921651.94402
Spagna,ES,1996,9660178257.685
Spagna,ES,1997,10727022134.83031
Spagna,ES,1998,12589990680.01934
Spagna,ES,1999,13924728748.57186
Spagna,ES,2000,16010335305.50725
Spagna,ES,2001,16424594184.0
Spagna,ES,2002,16802038604.0
Spagna,ES,2003,17952953507.0
Spagna,ES,2004,19639294788.0
Spagna,ES,2005,21258160507.0
Spagna,ES,2006,23312160148.0
Spagna,ES,2007,26049800616.0
Spagna,ES,2008,22562835063.0
Spagna,ES,2009,15629024418.0
Spagna,ES,2010,18663638663.0
Spagna,ES,2011,19157036758.0
Spagna,ES,2012,17660312119.0
Spagna,ES,2013,16464941841.0
Spagna,ES,2014,17363766530.0
Spagna,ES,2015,19021947503.0
Spagna,ES,2016,20242197568.0
Spagna,ES,2017,22382513790.0
Spagna,ES,2018,23509290730.0
Spagna,ES,2019,23804396154.0
Spagna,ES,2020,20071330482.0
Spagna,ES,2021,25131941180.0
Spagna,ES,2022,30895620140.0
Spagna,ES,2023,31622078597.0
Spagna,ES,2024,32997496741.0
Spagna,ES,2025,36626999776.0
Unione Europea (27),EU27,1993,80979652143.61316
Unione Europea (27),EU27,1994,94816839426.3716
Unione Europea (27),EU27,1995,118146228053.99132
Unione Europea (27),EU27,1996,117894516881.48207
Unione Europea (27),EU27,1997,123207097757.59583
Unione Europea (27),EU27,1998,132937193929.07428
Unione Europea (27),EU27,1999,136676414283.6903
Unione Europea (27),EU27,2000,154977821590.8745
Unione Europea (27),EU27,2001,159815137588.0
Unione Europea (27),EU27,2002,157008988619.0
Unione Europea (27),EU27,2003,155660761500.0
Unione Europea (27),EU27,2004,165979078005.0
Unione Europea (27),EU27,2005,172733510451.0
Unione Europea (27),EU27,2006,191635851177.0
Unione Europea (27),EU27,2007,209776233747.0
Unione Europea (27),EU27,2008,203975149342.0
Unione Europea (27),EU27,2009,157412486333.0
Unione Europea (27),EU27,2010,183546076701.0
Unione Europea (27),EU27,2011,200557494851.0
Unione Europea (27),EU27,2012,199747851696.0
Unione Europea (27),EU27,2013,198134581572.0
Unione Europea (27),EU27,2014,206795606314.0
Unione Europea (27),EU27,2015,213470276378.0
Unione Europea (27),EU27,2016,220483637172.0
Unione Europea (27),EU27,2017,236353505850.0
Unione Europea (27),EU27,2018,249787185608.0
Unione Europea (27),EU27,2019,256481848268.0
Unione Europea (27),EU27,2020,234719154306.0
Unione Europea (27),EU27,2021,282508677079.0
Unione Europea (27),EU27,2022,335317580317.0
Unione Europea (27),EU27,2023,328748984850.0
Unione Europea (27),EU27,2024,323277842295.45
Unione Europea (27),EU27,2025,336061803102.78
Francia,FR,1991,15907248412.1916
Francia,FR,1992,16064170983.42794
Francia,FR,1993,17536083023.02931
Francia,FR,1994,20247070294.95864
Francia,FR,1995,24904056975.53125
Francia,FR,1996,24429606189.23296
Francia,FR,1997,25087974493.7393
Francia,FR,1998,27558502641.15549
Francia,FR,1999,28269225192.25744
Francia,FR,2000,32167157742.30065
Francia,FR,2001,32305893549.0
Francia,FR,2002,31680909369.0
Francia,FR,2003,31111350419.0
Francia,FR,2004,33270259176.0
Francia,FR,2005,34718390984.0
Francia,FR,2006,36902789990.0
Francia,FR,2007,39887256264.0
Francia,FR,2008,39232715036.0
Francia,FR,2009,32082338704.0
Francia,FR,2010,37462529791.0
Francia,FR,2011,41739078912.0
Francia,FR,2012,41472895513.0
Francia,FR,2013,40585295866.0
Francia,FR,2014,40411883776.0
Francia,FR,2015,41053283061.0
Francia,FR,2016,42274717953.0
Francia,FR,2017,44557946854.0
Francia,FR,2018,47096528552.0
Francia,FR,2019,49070239889.0
Francia,FR,2020,43681376093.0
Francia,FR,2021,51552907388.0
Francia,FR,2022,60511464626.0
Francia,FR,2023,61260923377.0
Francia,FR,2024,59449882369.0
Francia,FR,2025,62897570452.0
Regno Unito,GB,1991,6976980591.0459
Regno Unito,GB,1992,7188331795.16716
Regno Unito,GB,1993,8517955169.99198
Regno Unito,GB,1994,10057777801.12878
Regno Unito,GB,1995,11878080122.61099
Regno Unito,GB,1996,12616048478.25911
Regno Unito,GB,1997,14685247379.75835
Regno Unito,GB,1998,15492401778.67508
Regno Unito,GB,1999,15504855311.50216
Regno Unito,GB,2000,17551335621.06469
Regno Unito,GB,2001,17824900370.0
Regno Unito,GB,2002,18114405117.0
Regno Unito,GB,2003,17758670638.0
Regno Unito,GB,2004,19258733373.0
Regno Unito,GB,2005,18718544547.0
Regno Unito,GB,2006,19178861431.0
Regno Unito,GB,2007,20251369954.0
Regno Unito,GB,2008,18367865333.0
Regno Unito,GB,2009,14119428160.0
Regno Unito,GB,2010,16951683317.0
Regno Unito,GB,2011,16943526564.0
Regno Unito,GB,2012,18357880418.0
Regno Unito,GB,2013,19004904033.0
Regno Unito,GB,2014,20278583634.0
Regno Unito,GB,2015,21649467593.0
Regno Unito,GB,2016,21714433225.0
Regno Unito,GB,2017,22471112740.0
Regno Unito,GB,2018,23188024801.0
Regno Unito,GB,2019,24583266754.0
Regno Unito,GB,2020,21891630563.0
Regno Unito,GB,2021,22749602899.0
Regno Unito,GB,2022,26618236199.0
Regno Unito,GB,2023,25468343717.0
Regno Unito,GB,2024,26764634341.45
Regno Unito,GB,2025,26412004939.78
Stati Uniti,US,1991,7328945979.13436
Stati Uniti,US,1992,7780666942.11499
Stati Uniti,US,1993,10436975057.72571
Stati Uniti,US,1994,12035200238.09642
Stati Uniti,US,1995,13981835119.5962
Stati Uniti,US,1996,14468071039.68069
Stati Uniti,US,1997,16419927893.84366
Stati Uniti,US,1998,18773974271.15499
Stati Uniti,US,1999,20286074378.50401
Stati Uniti,US,2000,26336604986.91892
Stati Uniti,US,2001,25905359413.0
Stati Uniti,US,2002,25488621899.0
Stati Uniti,US,2003,21706504382.0
Stati Uniti,US,2004,22113158174.0
Stati Uniti,US,2005,23665027356.0
Stati Uniti,US,2006,24185381059.0
Stati Uniti,US,2007,23895165295.0
Stati Uniti,US,2008,22740155938.0
Stati Uniti,US,2009,16903738391.0
Stati Uniti,US,2010,19992635165.0
Stati Uniti,US,2011,22536865933.0
Stati Uniti,US,2012,26362713369.0
Stati Uniti,US,2013,26692851481.0
Stati Uniti,US,2014,29347537065.0
Stati Uniti,US,2015,35465276617.0
Stati Uniti,US,2016,36488783969.0
Stati Uniti,US,2017,40069278354.0
Stati Uniti,US,2018,42003087257.0
Stati Uniti,US,2019,45086679850.0
Stati Uniti,US,2020,42080646025.0
Stati Uniti,US,2021,48851205151.0
Stati Uniti,US,2022,64420654121.0
Stati Uniti,US,2023,66632983575.0
Stati Uniti,US,2024,64407235645.45
Stati Uniti,US,2025,69044533488.14
Mondo,WORLD,1991,104409665807.69165
Mondo,WORLD,1992,109634095172.9233
Mondo,WORLD,1993,133042920412.076
Mondo,WORLD,1994,154022746204.95676
Mondo,WORLD,1995,190750875729.25546
Mondo,WORLD,1996,194511489479.91687
Mondo,WORLD,1997,204741765102.12424
Mondo,WORLD,1998,213398349035.61935
Mondo,WORLD,1999,214188564915.06104
Mondo,WORLD,2000,252825908887.67236
Mondo,WORLD,2001,263692846700.0
Mondo,WORLD,2002,259727102579.0
Mondo,WORLD,2003,252779215433.0
Mondo,WORLD,2004,271925236331.0
Mondo,WORLD,2005,286275612548.0
Mondo,WORLD,2006,317449923613.0
Mondo,WORLD,2007,348382719893.0
Mondo,WORLD,2008,350598850789.0
Mondo,WORLD,2009,277068750596.0
Mondo,WORLD,2010,322684559364.0
Mondo,WORLD,2011,360102321497.0
Mondo,WORLD,2012,373594826809.0
Mondo,WORLD,2013,373831175130.0
Mondo,WORLD,2014,382772212592.0
Mondo,WORLD,2015,395330725497.0
Mondo,WORLD,2016,400188604376.0
Mondo,WORLD,2017,430742325585.0
Mondo,WORLD,2018,447013369768.0
Mondo,WORLD,2019,461297317527.0
Mondo,WORLD,2020,419374270307.0
Mondo,WORLD,2021,498222906124.0
Mondo,WORLD,2022,595733313595.0
Mondo,WORLD,2023,596411797167.0
Mondo,WORLD,2024,592379127883.11
Mondo,WORLD,2025,611425265570.66
