geo,indicatore,sitc,partner,anno,valore_mln_eur
DE,MIO_BAL_VAL,SITC0_1,EXT_EU27_2020,2002,-1940.1
DE,MIO_BAL_VAL,SITC0_1,EXT_EU27_2020,2003,-1729.7
DE,MIO_BAL_VAL,SITC0_1,EXT_EU27_2020,2004,-1786.4
DE,MIO_BAL_VAL,SITC0_1,EXT_EU27_2020,2005,-1697.1
DE,MIO_BAL_VAL,SITC0_1,EXT_EU27_2020,2006,-1438.1
DE,MIO_BAL_VAL,SITC0_1,EXT_EU27_2020,2007,-1348.4
DE,MIO_BAL_VAL,SITC0_1,EXT_EU27_2020,2008,-465.7
DE,MIO_BAL_VAL,SITC0_1,EXT_EU27_2020,2009,-459.7
DE,MIO_BAL_VAL,SITC0_1,EXT_EU27_2020,2010,-519.9
DE,MIO_BAL_VAL,SITC0_1,EXT_EU27_2020,2011,-1021
DE,MIO_BAL_VAL,SITC0_1,EXT_EU27_2020,2012,800.5
DE,MIO_BAL_VAL,SITC0_1,EXT_EU27_2020,2013,2099.1
DE,MIO_BAL_VAL,SITC0_1,EXT_EU27_2020,2014,1701.9
DE,MIO_BAL_VAL,SITC0_1,EXT_EU27_2020,2015,1252.4
DE,MIO_BAL_VAL,SITC0_1,EXT_EU27_2020,2016,1827.9
DE,MIO_BAL_VAL,SITC0_1,EXT_EU27_2020,2017,2373.8
DE,MIO_BAL_VAL,SITC0_1,EXT_EU27_2020,2018,2270.8
DE,MIO_BAL_VAL,SITC0_1,EXT_EU27_2020,2019,3633
DE,MIO_BAL_VAL,SITC0_1,EXT_EU27_2020,2020,3929.4
DE,MIO_BAL_VAL,SITC0_1,EXT_EU27_2020,2021,3090.2
DE,MIO_BAL_VAL,SITC0_1,EXT_EU27_2020,2022,2137.9
DE,MIO_BAL_VAL,SITC0_1,EXT_EU27_2020,2023,4820.6
DE,MIO_BAL_VAL,SITC0_1,EXT_EU27_2020,2024,2880.8
DE,MIO_BAL_VAL,SITC0_1,EXT_EU27_2020,2025,27.6
DE,MIO_BAL_VAL,SITC0_1,WORLD,2002,-10009.5
DE,MIO_BAL_VAL,SITC0_1,WORLD,2003,-9506
DE,MIO_BAL_VAL,SITC0_1,WORLD,2004,-8235.1
DE,MIO_BAL_VAL,SITC0_1,WORLD,2005,-7427.6
DE,MIO_BAL_VAL,SITC0_1,WORLD,2006,-7976.5
DE,MIO_BAL_VAL,SITC0_1,WORLD,2007,-7109.8
DE,MIO_BAL_VAL,SITC0_1,WORLD,2008,-5524.1
DE,MIO_BAL_VAL,SITC0_1,WORLD,2009,-5497.7
DE,MIO_BAL_VAL,SITC0_1,WORLD,2010,-5925.3
DE,MIO_BAL_VAL,SITC0_1,WORLD,2011,-6312
DE,MIO_BAL_VAL,SITC0_1,WORLD,2012,-5305
DE,MIO_BAL_VAL,SITC0_1,WORLD,2013,-4240
DE,MIO_BAL_VAL,SITC0_1,WORLD,2014,-4810.8
DE,MIO_BAL_VAL,SITC0_1,WORLD,2015,-7370.6
DE,MIO_BAL_VAL,SITC0_1,WORLD,2016,-8486.6
DE,MIO_BAL_VAL,SITC0_1,WORLD,2017,-10360.1
DE,MIO_BAL_VAL,SITC0_1,WORLD,2018,-11396
DE,MIO_BAL_VAL,SITC0_1,WORLD,2019,-10677.1
DE,MIO_BAL_VAL,SITC0_1,WORLD,2020,-12705.2
DE,MIO_BAL_VAL,SITC0_1,WORLD,2021,-13563.7
DE,MIO_BAL_VAL,SITC0_1,WORLD,2022,-13850.6
DE,MIO_BAL_VAL,SITC0_1,WORLD,2023,-15265.1
DE,MIO_BAL_VAL,SITC0_1,WORLD,2024,-18871.5
DE,MIO_BAL_VAL,SITC0_1,WORLD,2025,-23985.9
DE,MIO_BAL_VAL,SITC2_4,EXT_EU27_2020,2002,-4287.6
DE,MIO_BAL_VAL,SITC2_4,EXT_EU27_2020,2003,-4058.6
DE,MIO_BAL_VAL,SITC2_4,EXT_EU27_2020,2004,-4526.8
DE,MIO_BAL_VAL,SITC2_4,EXT_EU27_2020,2005,-4302.2
DE,MIO_BAL_VAL,SITC2_4,EXT_EU27_2020,2006,-6432.8
DE,MIO_BAL_VAL,SITC2_4,EXT_EU27_2020,2007,-6953.1
DE,MIO_BAL_VAL,SITC2_4,EXT_EU27_2020,2008,-6822.6
DE,MIO_BAL_VAL,SITC2_4,EXT_EU27_2020,2009,-4155.8
DE,MIO_BAL_VAL,SITC2_4,EXT_EU27_2020,2010,-6859
DE,MIO_BAL_VAL,SITC2_4,EXT_EU27_2020,2011,-9243.2
DE,MIO_BAL_VAL,SITC2_4,EXT_EU27_2020,2012,-8131
DE,MIO_BAL_VAL,SITC2_4,EXT_EU27_2020,2013,-7260.6
DE,MIO_BAL_VAL,SITC2_4,EXT_EU27_2020,2014,-6984.8
DE,MIO_BAL_VAL,SITC2_4,EXT_EU27_2020,2015,-6361.2
DE,MIO_BAL_VAL,SITC2_4,EXT_EU27_2020,2016,-6131.7
DE,MIO_BAL_VAL,SITC2_4,EXT_EU27_2020,2017,-6857.7
