nace_r2,indic_sb,anno,valore
B-E,V11910,2004,NA
B-E,V11910,2005,NA
B-E,V11910,2006,NA
B-E,V11910,2007,NA
B-E,V11910,2008,479828
B-E,V11910,2009,458653
B-E,V11910,2010,447975
B-E,V11910,2011,450832
B-E,V11910,2012,445202
B-E,V11910,2013,436779
B-E,V11910,2014,425588
B-E,V11910,2015,419439
B-E,V11910,2016,417636
B-E,V11910,2017,411649
B-E,V11910,2018,407661
B-E,V11910,2019,396593
B-E,V11910,2020,391835
B-E,V11920,2004,23288
B-E,V11920,2005,25231
B-E,V11920,2006,25497
B-E,V11920,2007,26666
B-E,V11920,2008,25056
B-E,V11920,2009,20808
B-E,V11920,2010,21907
B-E,V11920,2011,22041
B-E,V11920,2012,22120
B-E,V11920,2013,21029
B-E,V11920,2014,19831
B-E,V11920,2015,20475
B-E,V11920,2016,20952
B-E,V11920,2017,19541
B-E,V11920,2018,18640
B-E,V11920,2019,18529
B-E,V11920,2020,14961
B-E,V11930,2004,NA
B-E,V11930,2005,NA
B-E,V11930,2006,NA
B-E,V11930,2007,NA
B-E,V11930,2008,29313
B-E,V11930,2009,23446
B-E,V11930,2010,24265
B-E,V11930,2011,25856
B-E,V11930,2012,26394
B-E,V11930,2013,26299
B-E,V11930,2014,23517
B-E,V11930,2015,23292
B-E,V11930,2016,21106
B-E,V11930,2017,18873
B-E,V11930,2018,17701
B-E,V11930,2019,24172
B-E,V11930,2020,23482
B-E,V16910,2004,NA
B-E,V16910,2005,NA
B-E,V16910,2006,NA
B-E,V16910,2007,NA
B-E,V16910,2008,4722463
B-E,V16910,2009,4484147
B-E,V16910,2010,4330024
B-E,V16910,2011,4242560
B-E,V16910,2012,4163691
B-E,V16910,2013,4049237
B-E,V16910,2014,3967407
B-E,V16910,2015,3936855
B-E,V16910,2016,3986124
B-E,V16910,2017,4009581
B-E,V16910,2018,4054346
B-E,V16910,2019,4088140
B-E,V16910,2020,4034081
B-E,V16920,2004,44975
B-E,V16920,2005,50938
B-E,V16920,2006,52969
B-E,V16920,2007,57765
B-E,V16920,2008,59032
B-E,V16920,2009,46019
B-E,V16920,2010,51859
B-E,V16920,2011,39127
B-E,V16920,2012,38049
B-E,V16920,2013,36129
B-E,V16920,2014,34729
B-E,V16920,2015,37363
B-E,V16920,2016,35292
B-E,V16920,2017,33607
B-E,V16920,2018,35715
B-E,V16920,2019,32555
B-E,V16920,2020,25077
B-E,V16930,2004,NA
B-E,V16930,2005,NA
B-E,V16930,2006,NA
B-E,V16930,2007,NA
B-E,V16930,2008,69867
B-E,V16930,2009,47972
B-E,V16930,2010,37852
B-E,V16930,2011,43610
B-E,V16930,2012,47820
B-E,V16930,2013,40870
B-E,V16930,2014,36736
B-E,V16930,2015,35970
B-E,V16930,2016,32103
B-E,V16930,2017,29500
B-E,V16930,2018,27635
B-E,V16930,2019,38891
B-E,V16930,2020,42133
B-E,V97010,2004,NA
B-E,V97010,2005,NA
B-E,V97010,2006,NA
B-E,V97010,2007,NA
B-E,V97010,2008,NA
B-E,V97010,2009,-4.41
B-E,V97010,2010,-2.33
B-E,V97010,2011,0.64
B-E,V97010,2012,-1.25
B-E,V97010,2013,-1.89
B-E,V97010,2014,-2.56
B-E,V97010,2015,-1.44
B-E,V97010,2016,-0.43
B-E,V97010,2017,-1.43
B-E,V97010,2018,-0.97
B-E,V97010,2019,-2.72
B-E,V97010,2020,-1.2
B-E,V97020,2004,NA
B-E,V97020,2005,NA
B-E,V97020,2006,NA
B-E,V97020,2007,NA
B-E,V97020,2008,5.22
B-E,V97020,2009,4.54
B-E,V97020,2010,4.89
B-E,V97020,2011,4.89
B-E,V97020,2012,4.97
B-E,V97020,2013,4.81
B-E,V97020,2014,4.66
B-E,V97020,2015,4.88
B-E,V97020,2016,5.02
B-E,V97020,2017,4.75
B-E,V97020,2018,4.57
B-E,V97020,2019,4.67
B-E,V97020,2020,3.82
B-E,V97030,2004,NA
B-E,V97030,2005,NA
B-E,V97030,2006,NA
B-E,V97030,2007,NA
B-E,V97030,2008,6.11
B-E,V97030,2009,5.11
B-E,V97030,2010,5.42
B-E,V97030,2011,5.74
B-E,V97030,2012,5.93
B-E,V97030,2013,6.02
B-E,V97030,2014,5.53
B-E,V97030,2015,5.55
B-E,V97030,2016,5.05
B-E,V97030,2017,4.58
B-E,V97030,2018,4.34
B-E,V97030,2019,6.09
B-E,V97030,2020,5.99
B-N_X_K642,V11910,2004,NA
B-N_X_K642,V11910,2005,NA
B-N_X_K642,V11910,2006,NA
B-N_X_K642,V11910,2007,NA
B-N_X_K642,V11910,2008,4054307
B-N_X_K642,V11910,2009,3998096
B-N_X_K642,V11910,2010,3985434
B-N_X_K642,V11910,2011,3970747
B-N_X_K642,V11910,2012,3953714
B-N_X_K642,V11910,2013,3904219
B-N_X_K642,V11910,2014,3846659
B-N_X_K642,V11910,2015,3819956
B-N_X_K642,V11910,2016,3849594
B-N_X_K642,V11910,2017,3838814
B-N_X_K642,V11910,2018,3834079
B-N_X_K642,V11910,2019,3751815
B-N_X_K642,V11910,2020,3777454
B-N_X_K642,V11920,2004,300018
B-N_X_K642,V11920,2005,308307
B-N_X_K642,V11920,2006,284471
B-N_X_K642,V11920,2007,338439
B-N_X_K642,V11920,2008,286141
B-N_X_K642,V11920,2009,288834
B-N_X_K642,V11920,2010,265060
B-N_X_K642,V11920,2011,264671
B-N_X_K642,V11920,2012,275427
B-N_X_K642,V11920,2013,276538
B-N_X_K642,V11920,2014,274489
B-N_X_K642,V11920,2015,279132
B-N_X_K642,V11920,2016,296906
B-N_X_K642,V11920,2017,276889
B-N_X_K642,V11920,2018,273356
B-N_X_K642,V11920,2019,277286
B-N_X_K642,V11920,2020,245922
B-N_X_K642,V11930,2004,NA
B-N_X_K642,V11930,2005,NA
B-N_X_K642,V11930,2006,NA
B-N_X_K642,V11930,2007,NA
B-N_X_K642,V11930,2008,283273
B-N_X_K642,V11930,2009,242980
B-N_X_K642,V11930,2010,257983
B-N_X_K642,V11930,2011,272778
B-N_X_K642,V11930,2012,273325
B-N_X_K642,V11930,2013,302847
B-N_X_K642,V11930,2014,283417
B-N_X_K642,V11930,2015,278779
B-N_X_K642,V11930,2016,265117
B-N_X_K642,V11930,2017,248247
B-N_X_K642,V11930,2018,223128
B-N_X_K642,V11930,2019,296665
B-N_X_K642,V11930,2020,302815
B-N_X_K642,V16910,2004,NA
B-N_X_K642,V16910,2005,NA
B-N_X_K642,V16910,2006,NA
B-N_X_K642,V16910,2007,NA
B-N_X_K642,V16910,2008,16671932
B-N_X_K642,V16910,2009,16235000
B-N_X_K642,V16910,2010,16010812
B-N_X_K642,V16910,2011,15502075
B-N_X_K642,V16910,2012,15324239
B-N_X_K642,V16910,2013,15005178
B-N_X_K642,V16910,2014,14752533
B-N_X_K642,V16910,2015,14806366
B-N_X_K642,V16910,2016,15125028
B-N_X_K642,V16910,2017,15435496
B-N_X_K642,V16910,2018,15626567
B-N_X_K642,V16910,2019,15726180
B-N_X_K642,V16910,2020,15423866
B-N_X_K642,V16920,2004,414129
B-N_X_K642,V16920,2005,448896
B-N_X_K642,V16920,2006,443195
B-N_X_K642,V16920,2007,528109
B-N_X_K642,V16920,2008,489327
B-N_X_K642,V16920,2009,452792
B-N_X_K642,V16920,2010,453739
B-N_X_K642,V16920,2011,352313
B-N_X_K642,V16920,2012,354293
B-N_X_K642,V16920,2013,348604
B-N_X_K642,V16920,2014,344879
B-N_X_K642,V16920,2015,352943
B-N_X_K642,V16920,2016,355063
B-N_X_K642,V16920,2017,348161
B-N_X_K642,V16920,2018,353274
B-N_X_K642,V16920,2019,356018
B-N_X_K642,V16920,2020,294127
B-N_X_K642,V16930,2004,NA
B-N_X_K642,V16930,2005,NA
B-N_X_K642,V16930,2006,NA
B-N_X_K642,V16930,2007,NA
B-N_X_K642,V16930,2008,470294
B-N_X_K642,V16930,2009,372581
B-N_X_K642,V16930,2010,310521
B-N_X_K642,V16930,2011,344207
B-N_X_K642,V16930,2012,352716
B-N_X_K642,V16930,2013,365027
B-N_X_K642,V16930,2014,337125
B-N_X_K642,V16930,2015,336036
B-N_X_K642,V16930,2016,313666
B-N_X_K642,V16930,2017,296098
B-N_X_K642,V16930,2018,269362
B-N_X_K642,V16930,2019,351455
B-N_X_K642,V16930,2020,394105
B-N_X_K642,V97010,2004,NA
B-N_X_K642,V97010,2005,NA
B-N_X_K642,V97010,2006,NA
B-N_X_K642,V97010,2007,NA
B-N_X_K642,V97010,2008,NA
B-N_X_K642,V97010,2009,-1.39
B-N_X_K642,V97010,2010,-0.32
B-N_X_K642,V97010,2011,-0.37
B-N_X_K642,V97010,2012,-0.43
B-N_X_K642,V97010,2013,-1.25
B-N_X_K642,V97010,2014,-1.47
B-N_X_K642,V97010,2015,-0.69
B-N_X_K642,V97010,2016,0.78
B-N_X_K642,V97010,2017,-0.28
B-N_X_K642,V97010,2018,-0.12
B-N_X_K642,V97010,2019,-2.15
B-N_X_K642,V97010,2020,0.68
B-N_X_K642,V97020,2004,NA
B-N_X_K642,V97020,2005,NA
B-N_X_K642,V97020,2006,NA
B-N_X_K642,V97020,2007,NA
B-N_X_K642,V97020,2008,7.06
B-N_X_K642,V97020,2009,7.22
B-N_X_K642,V97020,2010,6.65
B-N_X_K642,V97020,2011,6.67
B-N_X_K642,V97020,2012,6.97
B-N_X_K642,V97020,2013,7.08
B-N_X_K642,V97020,2014,7.14
B-N_X_K642,V97020,2015,7.31
B-N_X_K642,V97020,2016,7.71
B-N_X_K642,V97020,2017,7.21
B-N_X_K642,V97020,2018,7.13
B-N_X_K642,V97020,2019,7.39
B-N_X_K642,V97020,2020,6.51
B-N_X_K642,V97030,2004,NA
B-N_X_K642,V97030,2005,NA
B-N_X_K642,V97030,2006,NA
B-N_X_K642,V97030,2007,NA
B-N_X_K642,V97030,2008,6.99
B-N_X_K642,V97030,2009,6.08
B-N_X_K642,V97030,2010,6.47
B-N_X_K642,V97030,2011,6.87
B-N_X_K642,V97030,2012,6.91
B-N_X_K642,V97030,2013,7.76
B-N_X_K642,V97030,2014,7.37
B-N_X_K642,V97030,2015,7.3
B-N_X_K642,V97030,2016,6.89
B-N_X_K642,V97030,2017,6.47
B-N_X_K642,V97030,2018,5.82
B-N_X_K642,V97030,2019,7.91
B-N_X_K642,V97030,2020,8.02
C,V11910,2004,NA
C,V11910,2005,NA
C,V11910,2006,NA
C,V11910,2007,NA
C,V11910,2008,466251
C,V11910,2009,444564
C,V11910,2010,432566
C,V11910,2011,432731
C,V11910,2012,424642
C,V11910,2013,414947
C,V11910,2014,403494
C,V11910,2015,397033
C,V11910,2016,394517
C,V11910,2017,388888
C,V11910,2018,384350
C,V11910,2019,372571
C,V11910,2020,367358
C,V11920,2004,22550
