geo,nace_r2,anno,dipendenti_migliaia
DE,B-E,1975,NA
DE,B-E,1976,NA
DE,B-E,1977,NA
DE,B-E,1978,NA
DE,B-E,1979,NA
DE,B-E,1980,NA
DE,B-E,1981,NA
DE,B-E,1982,NA
DE,B-E,1983,NA
DE,B-E,1984,NA
DE,B-E,1985,NA
DE,B-E,1986,NA
DE,B-E,1987,NA
DE,B-E,1988,NA
DE,B-E,1989,NA
DE,B-E,1990,NA
DE,B-E,1991,10652
DE,B-E,1992,9837
DE,B-E,1993,9150
DE,B-E,1994,8681
DE,B-E,1995,8477
DE,B-E,1996,8259
DE,B-E,1997,8102
DE,B-E,1998,8141
DE,B-E,1999,8097
DE,B-E,2000,8171
DE,B-E,2001,8159
DE,B-E,2002,7984
DE,B-E,2003,7765
DE,B-E,2004,7645
DE,B-E,2005,7509
DE,B-E,2006,7424
DE,B-E,2007,7534
DE,B-E,2008,7715
DE,B-E,2009,7544
DE,B-E,2010,7411
DE,B-E,2011,7565
DE,B-E,2012,7703
DE,B-E,2013,7737
DE,B-E,2014,7788
DE,B-E,2015,7813
DE,B-E,2016,7834
DE,B-E,2017,7915
DE,B-E,2018,8057
DE,B-E,2019,8119
DE,B-E,2020,7934
DE,B-E,2021,7835
DE,B-E,2022,7871
DE,B-E,2023,7899
DE,B-E,2024,7852
DE,B-E,2025,7709
DE,C,1975,NA
DE,C,1976,NA
DE,C,1977,NA
DE,C,1978,NA
DE,C,1979,NA
DE,C,1980,NA
DE,C,1981,NA
DE,C,1982,NA
DE,C,1983,NA
DE,C,1984,NA
DE,C,1985,NA
DE,C,1986,NA
DE,C,1987,NA
DE,C,1988,NA
DE,C,1989,NA
DE,C,1990,NA
DE,C,1991,9756
DE,C,1992,9006
DE,C,1993,8350
DE,C,1994,7904
DE,C,1995,7717
DE,C,1996,7523
DE,C,1997,7400
DE,C,1998,7458
DE,C,1999,7443
DE,C,2000,7542
DE,C,2001,7558
DE,C,2002,7391
DE,C,2003,7191
DE,C,2004,7068
DE,C,2005,6942
DE,C,2006,6866
DE,C,2007,6977
DE,C,2008,7159
DE,C,2009,6984
DE,C,2010,6853
DE,C,2011,7003
DE,C,2012,7137
DE,C,2013,7166
DE,C,2014,7216
DE,C,2015,7249
DE,C,2016,7272
DE,C,2017,7345
DE,C,2018,7476
DE,C,2019,7529
DE,C,2020,7341
DE,C,2021,7237
DE,C,2022,7262
DE,C,2023,7277
DE,C,2024,7209
DE,C,2025,7050
DE,TOTAL,1975,NA
DE,TOTAL,1976,NA
DE,TOTAL,1977,NA
DE,TOTAL,1978,NA
DE,TOTAL,1979,NA
DE,TOTAL,1980,NA
DE,TOTAL,1981,NA
DE,TOTAL,1982,NA
DE,TOTAL,1983,NA
DE,TOTAL,1984,NA
DE,TOTAL,1985,NA
DE,TOTAL,1986,NA
DE,TOTAL,1987,NA
DE,TOTAL,1988,NA
DE,TOTAL,1989,NA
DE,TOTAL,1990,NA
DE,TOTAL,1991,35310
DE,TOTAL,1992,34754
DE,TOTAL,1993,34197
DE,TOTAL,1994,34135
DE,TOTAL,1995,34249
DE,TOTAL,1996,34206
DE,TOTAL,1997,34130
DE,TOTAL,1998,34537
DE,TOTAL,1999,35134
DE,TOTAL,2000,35963
DE,TOTAL,2001,35837
DE,TOTAL,2002,35612
DE,TOTAL,2003,35112
DE,TOTAL,2004,35110
DE,TOTAL,2005,34941
DE,TOTAL,2006,35172
DE,TOTAL,2007,35812
DE,TOTAL,2008,36372
DE,TOTAL,2009,36410
DE,TOTAL,2010,36581
DE,TOTAL,2011,37039
DE,TOTAL,2012,37538
DE,TOTAL,2013,37877
DE,TOTAL,2014,38290
DE,TOTAL,2015,38723
DE,TOTAL,2016,39326
DE,TOTAL,2017,39997
DE,TOTAL,2018,40649
DE,TOTAL,2019,41145
DE,TOTAL,2020,40927
DE,TOTAL,2021,41097
DE,TOTAL,2022,41767
DE,TOTAL,2023,42148
DE,TOTAL,2024,42283
DE,TOTAL,2025,42316
ES,B-E,1975,NA
ES,B-E,1976,NA
ES,B-E,1977,NA
ES,B-E,1978,NA
ES,B-E,1979,NA
ES,B-E,1980,NA
ES,B-E,1981,NA
ES,B-E,1982,NA
ES,B-E,1983,NA
ES,B-E,1984,NA
ES,B-E,1985,NA
ES,B-E,1986,NA
ES,B-E,1987,NA
ES,B-E,1988,NA
ES,B-E,1989,NA
ES,B-E,1990,NA
ES,B-E,1991,NA
ES,B-E,1992,NA
ES,B-E,1993,NA
ES,B-E,1994,NA
ES,B-E,1995,2397.3
ES,B-E,1996,2476
ES,B-E,1997,2598.4
ES,B-E,1998,2686.8
ES,B-E,1999,2777.1
