nace_r2,anno,energia_tj
C,2000,NA
C,2001,NA
C,2002,NA
C,2003,NA
C,2004,NA
C,2005,NA
C,2006,NA
C,2007,NA
C,2008,6792980.1
C,2009,5943756.3
C,2010,6290210.8
C,2011,5988832.6
C,2012,5693165.3
C,2013,4911009.2
C,2014,4741918.8
C,2015,4950492.1
C,2016,4755979.6
C,2017,5080021
C,2018,4938972.9
C,2019,4860588.2
C,2020,4248581.7
C,2021,4711452.4
C,2022,4791420.2
C,2023,4667815.5
C,2024,NA
C16,2000,NA
C16,2001,NA
C16,2002,NA
C16,2003,NA
C16,2004,NA
C16,2005,NA
C16,2006,NA
C16,2007,NA
C16,2008,24386.5
C16,2009,25827.5
C16,2010,20748.5
C16,2011,22028.7
C16,2012,17636.1
C16,2013,16493.3
C16,2014,18237.9
C16,2015,20591
C16,2016,21650.9
C16,2017,24353.6
C16,2018,22919.4
C16,2019,27544.3
C16,2020,21989.4
C16,2021,23516.3
C16,2022,41879.9
C16,2023,19201.5
C16,2024,NA
C17,2000,NA
C17,2001,NA
C17,2002,NA
C17,2003,NA
C17,2004,NA
C17,2005,NA
C17,2006,NA
C17,2007,NA
C17,2008,173184.9
C17,2009,157676.2
C17,2010,152876.8
C17,2011,144340.3
C17,2012,149324.6
C17,2013,133561.3
C17,2014,141565.4
C17,2015,149318.6
C17,2016,143872.2
C17,2017,146237.9
C17,2018,139817.6
C17,2019,139447.3
C17,2020,126851.8
C17,2021,125044.4
C17,2022,109314.5
C17,2023,99228.5
C17,2024,NA
C18,2000,NA
C18,2001,NA
C18,2002,NA
C18,2003,NA
C18,2004,NA
C18,2005,NA
C18,2006,NA
C18,2007,NA
C18,2008,19932
C18,2009,19278.6
C18,2010,18741.8
C18,2011,17419.1
C18,2012,17151.2
C18,2013,14884.1
C18,2014,15334
C18,2015,15543.2
C18,2016,15229.8
C18,2017,15842.4
C18,2018,14649
C18,2019,12262.1
C18,2020,12642.4
C18,2021,16363.6
C18,2022,14789.6
C18,2023,15128.1
C18,2024,NA
C19,2000,NA
C19,2001,NA
C19,2002,NA
C19,2003,NA
C19,2004,NA
C19,2005,NA
C19,2006,NA
C19,2007,NA
