geo,nace_r2,anno,occupati_migliaia
DE,A,1975,NA
DE,A,1976,NA
DE,A,1977,NA
DE,A,1978,NA
DE,A,1979,NA
DE,A,1980,NA
DE,A,1981,NA
DE,A,1982,NA
DE,A,1983,NA
DE,A,1984,NA
DE,A,1985,NA
DE,A,1986,NA
DE,A,1987,NA
DE,A,1988,NA
DE,A,1989,NA
DE,A,1990,NA
DE,A,1991,1175
DE,A,1992,1037
DE,A,1993,960
DE,A,1994,921
DE,A,1995,865
DE,A,1996,810
DE,A,1997,786
DE,A,1998,778
DE,A,1999,773
DE,A,2000,765
DE,A,2001,734
DE,A,2002,716
DE,A,2003,705
DE,A,2004,703
DE,A,2005,679
DE,A,2006,663
DE,A,2007,664
DE,A,2008,659
DE,A,2009,653
DE,A,2010,645
DE,A,2011,651
DE,A,2012,649
DE,A,2013,642
DE,A,2014,640
DE,A,2015,635
DE,A,2016,624
DE,A,2017,608
DE,A,2018,606
DE,A,2019,599
DE,A,2020,586
DE,A,2021,579
DE,A,2022,577
DE,A,2023,570
DE,A,2024,565
DE,A,2025,562
DE,B-E,1975,NA
DE,B-E,1976,NA
DE,B-E,1977,NA
DE,B-E,1978,NA
DE,B-E,1979,NA
DE,B-E,1980,NA
DE,B-E,1981,NA
DE,B-E,1982,NA
DE,B-E,1983,NA
DE,B-E,1984,NA
DE,B-E,1985,NA
DE,B-E,1986,NA
DE,B-E,1987,NA
DE,B-E,1988,NA
DE,B-E,1989,NA
DE,B-E,1990,NA
DE,B-E,1991,10970
DE,B-E,1992,10156
DE,B-E,1993,9474
DE,B-E,1994,9009
DE,B-E,1995,8804
DE,B-E,1996,8584
DE,B-E,1997,8424
DE,B-E,1998,8460
DE,B-E,1999,8408
DE,B-E,2000,8477
DE,B-E,2001,8462
DE,B-E,2002,8285
DE,B-E,2003,8067
DE,B-E,2004,7954
DE,B-E,2005,7821
DE,B-E,2006,7733
DE,B-E,2007,7841
DE,B-E,2008,8023
DE,B-E,2009,7849
DE,B-E,2010,7711
DE,B-E,2011,7858
DE,B-E,2012,7990
DE,B-E,2013,8020
DE,B-E,2014,8064
DE,B-E,2015,8087
DE,B-E,2016,8107
DE,B-E,2017,8184
DE,B-E,2018,8323
DE,B-E,2019,8374
DE,B-E,2020,8190
DE,B-E,2021,8078
DE,B-E,2022,8104
DE,B-E,2023,8118
DE,B-E,2024,8062
DE,B-E,2025,7916
DE,C,1975,NA
DE,C,1976,NA
DE,C,1977,NA
DE,C,1978,NA
DE,C,1979,NA
DE,C,1980,NA
DE,C,1981,NA
DE,C,1982,NA
DE,C,1983,NA
DE,C,1984,NA
DE,C,1985,NA
DE,C,1986,NA
DE,C,1987,NA
DE,C,1988,NA
DE,C,1989,NA
DE,C,1990,NA
DE,C,1991,10066
DE,C,1992,9317
DE,C,1993,8666
DE,C,1994,8224
DE,C,1995,8036
DE,C,1996,7840
DE,C,1997,7714
DE,C,1998,7769
DE,C,1999,7746
DE,C,2000,7840
DE,C,2001,7853
DE,C,2002,7684
DE,C,2003,7484
DE,C,2004,7368
DE,C,2005,7244
DE,C,2006,7165
DE,C,2007,7274
DE,C,2008,7457
DE,C,2009,7278
DE,C,2010,7142
DE,C,2011,7285
DE,C,2012,7413
DE,C,2013,7438
DE,C,2014,7481
DE,C,2015,7512
DE,C,2016,7534
DE,C,2017,7603
DE,C,2018,7731
DE,C,2019,7773
DE,C,2020,7586
DE,C,2021,7470
DE,C,2022,7486
DE,C,2023,7489
DE,C,2024,7413
DE,C,2025,7251
DE,F,1975,NA
DE,F,1976,NA
DE,F,1977,NA
DE,F,1978,NA
DE,F,1979,NA
DE,F,1980,NA
DE,F,1981,NA
DE,F,1982,NA
DE,F,1983,NA
DE,F,1984,NA
DE,F,1985,NA
DE,F,1986,NA
DE,F,1987,NA
DE,F,1988,NA
DE,F,1989,NA
DE,F,1990,NA
DE,F,1991,2888
DE,F,1992,3000
DE,F,1993,3114
DE,F,1994,3255
DE,F,1995,3320
DE,F,1996,3222
DE,F,1997,3110
DE,F,1998,3010
DE,F,1999,2963
DE,F,2000,2888
DE,F,2001,2695
DE,F,2002,2548
DE,F,2003,2429
DE,F,2004,2349
DE,F,2005,2270
DE,F,2006,2266
DE,F,2007,2305
DE,F,2008,2295
DE,F,2009,2310
DE,F,2010,2329
DE,F,2011,2370
DE,F,2012,2403
DE,F,2013,2417
DE,F,2014,2430
DE,F,2015,2428
DE,F,2016,2449
DE,F,2017,2483
DE,F,2018,2526
DE,F,2019,2559
DE,F,2020,2593
DE,F,2021,2615
DE,F,2022,2634
DE,F,2023,2639
DE,F,2024,2605
DE,F,2025,2583
DE,G-I,1975,NA
DE,G-I,1976,NA
DE,G-I,1977,NA
DE,G-I,1978,NA
DE,G-I,1979,NA
DE,G-I,1980,NA
DE,G-I,1981,NA
DE,G-I,1982,NA
DE,G-I,1983,NA
DE,G-I,1984,NA
DE,G-I,1985,NA
DE,G-I,1986,NA
DE,G-I,1987,NA
DE,G-I,1988,NA
DE,G-I,1989,NA
DE,G-I,1990,NA
DE,G-I,1991,8877
DE,G-I,1992,8891
DE,G-I,1993,8872
DE,G-I,1994,8850
DE,G-I,1995,8842
DE,G-I,1996,8865
DE,G-I,1997,8884
DE,G-I,1998,8996
DE,G-I,1999,9150
DE,G-I,2000,9376
DE,G-I,2001,9330
DE,G-I,2002,9287
DE,G-I,2003,9143
DE,G-I,2004,9226
DE,G-I,2005,9193
DE,G-I,2006,9230
DE,G-I,2007,9358
DE,G-I,2008,9441
DE,G-I,2009,9469
DE,G-I,2010,9473
DE,G-I,2011,9596
DE,G-I,2012,9691
DE,G-I,2013,9734
DE,G-I,2014,9784
DE,G-I,2015,9840
DE,G-I,2016,9949
DE,G-I,2017,10046
DE,G-I,2018,10181
DE,G-I,2019,10247
DE,G-I,2020,10037
DE,G-I,2021,9904
DE,G-I,2022,10038
DE,G-I,2023,10091
DE,G-I,2024,10074
DE,G-I,2025,10056
DE,TOTAL,1975,NA
DE,TOTAL,1976,NA
DE,TOTAL,1977,NA
DE,TOTAL,1978,NA
DE,TOTAL,1979,NA
DE,TOTAL,1980,NA
DE,TOTAL,1981,NA
DE,TOTAL,1982,NA
DE,TOTAL,1983,NA
DE,TOTAL,1984,NA
DE,TOTAL,1985,NA
DE,TOTAL,1986,NA
DE,TOTAL,1987,NA
DE,TOTAL,1988,NA
DE,TOTAL,1989,NA
DE,TOTAL,1990,NA
DE,TOTAL,1991,38873
DE,TOTAL,1992,38362
DE,TOTAL,1993,37865
DE,TOTAL,1994,37881
DE,TOTAL,1995,38046
DE,TOTAL,1996,38062
DE,TOTAL,1997,38045
DE,TOTAL,1998,38500
DE,TOTAL,1999,39125
DE,TOTAL,2000,39976
DE,TOTAL,2001,39865
DE,TOTAL,2002,39674
DE,TOTAL,2003,39246
DE,TOTAL,2004,39370
DE,TOTAL,2005,39322
DE,TOTAL,2006,39608
