nace_r2,anno,occupati_migliaia
A,1975,NA
A,1976,NA
A,1977,NA
A,1978,NA
A,1979,NA
A,1980,NA
A,1981,NA
A,1982,NA
A,1983,NA
A,1984,NA
A,1985,NA
A,1986,NA
A,1987,NA
A,1988,NA
A,1989,NA
A,1990,NA
A,1991,NA
A,1992,NA
A,1993,NA
A,1994,NA
A,1995,1243.2
A,1996,1193.2
A,1997,1176.7
A,1998,1120.2
A,1999,1058.9
A,2000,1047.3
A,2001,1053.7
A,2002,1030.1
A,2003,992.5
A,2004,999.5
A,2005,982.3
A,2006,1000.6
A,2007,968.2
A,2008,946.1
A,2009,924.7
A,2010,942
A,2011,925
A,2012,912.7
A,2013,895
A,2014,903.2
A,2015,921.5
A,2016,952
A,2017,940.9
A,2018,964.4
A,2019,959.3
A,2020,939.6
A,2021,937.8
A,2022,940.2
A,2023,942.9
A,2024,945.3
A,2025,951
A01,1975,NA
A01,1976,NA
A01,1977,NA
A01,1978,NA
A01,1979,NA
A01,1980,NA
A01,1981,NA
A01,1982,NA
A01,1983,NA
A01,1984,NA
A01,1985,NA
A01,1986,NA
A01,1987,NA
A01,1988,NA
A01,1989,NA
A01,1990,NA
A01,1991,NA
A01,1992,NA
A01,1993,NA
A01,1994,NA
A01,1995,1199.9
A01,1996,1148.5
A01,1997,1133
A01,1998,1075.5
A01,1999,1013.9
A01,2000,1001.9
A01,2001,1007.1
A01,2002,981.8
A01,2003,944.7
A01,2004,948.1
A01,2005,931.4
A01,2006,949.5
A01,2007,917.9
A01,2008,896.4
A01,2009,871.8
A01,2010,890.1
A01,2011,866.1
A01,2012,854.3
A01,2013,838
A01,2014,845.6
A01,2015,862.7
A01,2016,892.6
A01,2017,881.5
A01,2018,904.7
A01,2019,899.8
A01,2020,882.1
A01,2021,881.1
A01,2022,882.9
A01,2023,885.2
A01,2024,NA
A01,2025,NA
A02,1975,NA
A02,1976,NA
A02,1977,NA
A02,1978,NA
A02,1979,NA
A02,1980,NA
A02,1981,NA
A02,1982,NA
A02,1983,NA
A02,1984,NA
A02,1985,NA
A02,1986,NA
A02,1987,NA
A02,1988,NA
A02,1989,NA
A02,1990,NA
A02,1991,NA
A02,1992,NA
A02,1993,NA
A02,1994,NA
A02,1995,23.1
A02,1996,24.3
A02,1997,22.6
A02,1998,21.8
A02,1999,21.3
A02,2000,20.4
A02,2001,22.2
A02,2002,23.5
A02,2003,23.9
A02,2004,26.3
A02,2005,25.3
A02,2006,25.1
A02,2007,24.2
A02,2008,24
A02,2009,25.3
A02,2010,25.5
A02,2011,32.7
A02,2012,31.8
A02,2013,31.2
A02,2014,31.6
A02,2015,32.3
A02,2016,32.5
A02,2017,32.4
A02,2018,33.6
A02,2019,33.2
A02,2020,32.6
A02,2021,31.8
A02,2022,31.8
A02,2023,32
A02,2024,NA
A02,2025,NA
A03,1975,NA
A03,1976,NA
A03,1977,NA
A03,1978,NA
A03,1979,NA
A03,1980,NA
A03,1981,NA
A03,1982,NA
A03,1983,NA
A03,1984,NA
A03,1985,NA
A03,1986,NA
A03,1987,NA
A03,1988,NA
A03,1989,NA
A03,1990,NA
A03,1991,NA
A03,1992,NA
A03,1993,NA
A03,1994,NA
A03,1995,20.2
A03,1996,20.4
A03,1997,21.1
A03,1998,22.9
A03,1999,23.7
A03,2000,25
A03,2001,24.4
A03,2002,24.8
A03,2003,23.9
A03,2004,25.1
A03,2005,25.6
A03,2006,26
A03,2007,26.1
A03,2008,25.7
A03,2009,27.6
A03,2010,26.4
A03,2011,26.2
A03,2012,26.6
A03,2013,25.8
A03,2014,26
A03,2015,26.5
A03,2016,26.9
A03,2017,27
A03,2018,26.1
A03,2019,26.3
A03,2020,24.9
A03,2021,24.9
A03,2022,25.5
A03,2023,25.7
A03,2024,NA
A03,2025,NA
B,1975,NA
B,1976,NA
B,1977,NA
B,1978,NA
B,1979,NA
B,1980,NA
B,1981,NA
B,1982,NA
B,1983,NA
B,1984,NA
