geo,nace_r2,anno,occupati_migliaia
ITC1,B-E,2000,506.1
ITC1,B-E,2001,498
ITC1,B-E,2002,495.8
ITC1,B-E,2003,490.1
ITC1,B-E,2004,467
ITC1,B-E,2005,465.3
ITC1,B-E,2006,468.6
ITC1,B-E,2007,464.7
ITC1,B-E,2008,449.1
ITC1,B-E,2009,421.5
ITC1,B-E,2010,423.9
ITC1,B-E,2011,427.5
ITC1,B-E,2012,414.5
ITC1,B-E,2013,398.5
ITC1,B-E,2014,392.7
ITC1,B-E,2015,390.4
ITC1,B-E,2016,390.6
ITC1,B-E,2017,391.4
ITC1,B-E,2018,392.7
ITC1,B-E,2019,391.7
ITC1,B-E,2020,384.7
ITC1,B-E,2021,385.1
ITC1,B-E,2022,385.3
ITC1,B-E,2023,389.8
ITC1,B-E,2024,394.3
ITC1,C,2000,483.5
ITC1,C,2001,475.3
ITC1,C,2002,473.3
ITC1,C,2003,467.3
ITC1,C,2004,445.7
ITC1,C,2005,442.5
ITC1,C,2006,444.6
ITC1,C,2007,440.5
ITC1,C,2008,426.2
ITC1,C,2009,398.8
ITC1,C,2010,400.9
ITC1,C,2011,403.7
ITC1,C,2012,390.3
ITC1,C,2013,375.4
ITC1,C,2014,369.7
ITC1,C,2015,367.4
ITC1,C,2016,367.7
ITC1,C,2017,368.6
ITC1,C,2018,370.3
ITC1,C,2019,369
ITC1,C,2020,362.1
ITC1,C,2021,362.1
ITC1,C,2022,362.2
ITC1,C,2023,365.5
ITC1,C,2024,NA
ITC1,F,2000,111.6
ITC1,F,2001,118
ITC1,F,2002,116.7
ITC1,F,2003,119.7
ITC1,F,2004,121.4
ITC1,F,2005,125.5
ITC1,F,2006,130.3
ITC1,F,2007,133.7
ITC1,F,2008,132.9
ITC1,F,2009,138.3
ITC1,F,2010,134.8
ITC1,F,2011,139.9
ITC1,F,2012,135.8
ITC1,F,2013,124.5
ITC1,F,2014,118.8
ITC1,F,2015,115.4
ITC1,F,2016,114.6
ITC1,F,2017,114.4
ITC1,F,2018,114.6
ITC1,F,2019,113
ITC1,F,2020,113.5
ITC1,F,2021,119.4
ITC1,F,2022,123.8
ITC1,F,2023,125.7
ITC1,F,2024,134.1
ITC1,TOTAL,2000,1712.3
ITC1,TOTAL,2001,1722.5
ITC1,TOTAL,2002,1751.7
ITC1,TOTAL,2003,1782.3
ITC1,TOTAL,2004,1799.6
ITC1,TOTAL,2005,1821.7
ITC1,TOTAL,2006,1854.5
ITC1,TOTAL,2007,1874
ITC1,TOTAL,2008,1883.4
ITC1,TOTAL,2009,1862
ITC1,TOTAL,2010,1846.3
ITC1,TOTAL,2011,1858.9
ITC1,TOTAL,2012,1859.1
ITC1,TOTAL,2013,1823.2
ITC1,TOTAL,2014,1811.6
ITC1,TOTAL,2015,1819
ITC1,TOTAL,2016,1830.4
ITC1,TOTAL,2017,1852.5
ITC1,TOTAL,2018,1869.4
ITC1,TOTAL,2019,1869
ITC1,TOTAL,2020,1833.6
ITC1,TOTAL,2021,1852.1
ITC1,TOTAL,2022,1874.3
ITC1,TOTAL,2023,1906.2
ITC1,TOTAL,2024,1964
ITC2,B-E,2000,8
ITC2,B-E,2001,7.8
ITC2,B-E,2002,8.1
ITC2,B-E,2003,8.2
ITC2,B-E,2004,7.8
ITC2,B-E,2005,7.6
ITC2,B-E,2006,7.1
ITC2,B-E,2007,7.2
ITC2,B-E,2008,7.3
ITC2,B-E,2009,6.6
ITC2,B-E,2010,6.4
ITC2,B-E,2011,6.2
ITC2,B-E,2012,6.3
ITC2,B-E,2013,6.2
ITC2,B-E,2014,5.8
ITC2,B-E,2015,5.6
ITC2,B-E,2016,5.6
ITC2,B-E,2017,5.9
ITC2,B-E,2018,5.8
ITC2,B-E,2019,5.9
ITC2,B-E,2020,5.6
ITC2,B-E,2021,5.6
ITC2,B-E,2022,5.9
ITC2,B-E,2023,5.8
ITC2,B-E,2024,5.9
ITC2,C,2000,6.8
ITC2,C,2001,6.5
ITC2,C,2002,6.8
ITC2,C,2003,6.9
ITC2,C,2004,6.7
ITC2,C,2005,6.6
ITC2,C,2006,6.1
ITC2,C,2007,6.2
ITC2,C,2008,6.2
ITC2,C,2009,5.5
ITC2,C,2010,5.3
ITC2,C,2011,5.1
ITC2,C,2012,5.1
ITC2,C,2013,4.9
ITC2,C,2014,4.7
ITC2,C,2015,4.6
ITC2,C,2016,4.6
ITC2,C,2017,4.9
ITC2,C,2018,4.8
ITC2,C,2019,4.8
ITC2,C,2020,4.5
ITC2,C,2021,4.6
ITC2,C,2022,4.7
ITC2,C,2023,4.6
ITC2,C,2024,NA
ITC2,F,2000,5
ITC2,F,2001,5.6
ITC2,F,2002,5.8
ITC2,F,2003,5.7
ITC2,F,2004,6.3
ITC2,F,2005,6.5
ITC2,F,2006,6.6
ITC2,F,2007,7
ITC2,F,2008,6.9
ITC2,F,2009,7.2
ITC2,F,2010,7.2
ITC2,F,2011,7.1
ITC2,F,2012,6.8
ITC2,F,2013,6.3
ITC2,F,2014,6
ITC2,F,2015,5.7
ITC2,F,2016,5.4
ITC2,F,2017,5.3
ITC2,F,2018,5.1
ITC2,F,2019,5
ITC2,F,2020,5
ITC2,F,2021,5.3
ITC2,F,2022,5.5
ITC2,F,2023,5.6
ITC2,F,2024,5.5
ITC2,TOTAL,2000,61.6
ITC2,TOTAL,2001,61.5
ITC2,TOTAL,2002,62.5
ITC2,TOTAL,2003,62
ITC2,TOTAL,2004,60.7
ITC2,TOTAL,2005,59.6
ITC2,TOTAL,2006,60.8
ITC2,TOTAL,2007,61.8
ITC2,TOTAL,2008,61.4
ITC2,TOTAL,2009,61.5
ITC2,TOTAL,2010,63
ITC2,TOTAL,2011,62.5
ITC2,TOTAL,2012,62.9
ITC2,TOTAL,2013,61.4
ITC2,TOTAL,2014,61
ITC2,TOTAL,2015,60.6
ITC2,TOTAL,2016,60.1
ITC2,TOTAL,2017,61.4
ITC2,TOTAL,2018,61.2
ITC2,TOTAL,2019,61.2
ITC2,TOTAL,2020,59.3
ITC2,TOTAL,2021,59.2
ITC2,TOTAL,2022,61.4
ITC2,TOTAL,2023,62.8
ITC2,TOTAL,2024,63
ITC3,B-E,2000,88
ITC3,B-E,2001,87.5
ITC3,B-E,2002,84.5
ITC3,B-E,2003,80.5
ITC3,B-E,2004,78.6
ITC3,B-E,2005,81.2
ITC3,B-E,2006,85.5
ITC3,B-E,2007,90.2
ITC3,B-E,2008,86.6
ITC3,B-E,2009,83.3
ITC3,B-E,2010,78.1
ITC3,B-E,2011,75
ITC3,B-E,2012,72.8
ITC3,B-E,2013,70.9
