geo,na_item,anno,valore_meur
DE,B1GQ,1975,NA
DE,B1GQ,1976,NA
DE,B1GQ,1977,NA
DE,B1GQ,1978,NA
DE,B1GQ,1979,NA
DE,B1GQ,1980,NA
DE,B1GQ,1981,NA
DE,B1GQ,1982,NA
DE,B1GQ,1983,NA
DE,B1GQ,1984,NA
DE,B1GQ,1985,NA
DE,B1GQ,1986,NA
DE,B1GQ,1987,NA
DE,B1GQ,1988,NA
DE,B1GQ,1989,NA
DE,B1GQ,1990,NA
DE,B1GQ,1991,1517932.9
DE,B1GQ,1992,1655317.2
DE,B1GQ,1993,1774986.2
DE,B1GQ,1994,1867918.1
DE,B1GQ,1995,1983157.1
DE,B1GQ,1996,1975310.3
DE,B1GQ,1997,1958621.6
DE,B1GQ,1998,2008652.6
DE,B1GQ,1999,2077240
DE,B1GQ,2000,2129660
DE,B1GQ,2001,2195530
DE,B1GQ,2002,2223360
DE,B1GQ,2003,2240810
DE,B1GQ,2004,2293040
DE,B1GQ,2005,2325710
DE,B1GQ,2006,2426180
DE,B1GQ,2007,2542220
DE,B1GQ,2008,2589280
DE,B1GQ,2009,2493970
DE,B1GQ,2010,2615260
DE,B1GQ,2011,2746910
DE,B1GQ,2012,2799280
DE,B1GQ,2013,2866480
DE,B1GQ,2014,2984470
DE,B1GQ,2015,3087030
DE,B1GQ,2016,3195210
DE,B1GQ,2017,3333110
DE,B1GQ,2018,3434030
DE,B1GQ,2019,3537280
DE,B1GQ,2020,3450720
DE,B1GQ,2021,3682340
DE,B1GQ,2022,3989390
DE,B1GQ,2023,4219310
DE,B1GQ,2024,4328970
DE,B1GQ,2025,4469910
DE,P6,1975,NA
DE,P6,1976,NA
DE,P6,1977,NA
DE,P6,1978,NA
DE,P6,1979,NA
DE,P6,1980,NA
DE,P6,1981,NA
DE,P6,1982,NA
DE,P6,1983,NA
DE,P6,1984,NA
DE,P6,1985,NA
DE,P6,1986,NA
DE,P6,1987,NA
DE,P6,1988,NA
DE,P6,1989,NA
