geo,tassazione,anno,prezzo_eur_kwh
DE,I_TAX,2007,0.1032
DE,I_TAX,2007.5,0.1084
DE,I_TAX,2008,0.1217
DE,I_TAX,2008.5,0.117
DE,I_TAX,2009,0.1249
DE,I_TAX,2009.5,0.1217
DE,I_TAX,2010,0.1205
DE,I_TAX,2010.5,0.1285
DE,I_TAX,2011,0.1376
DE,I_TAX,2011.5,0.1482
DE,I_TAX,2012,0.1421
DE,I_TAX,2012.5,0.1432
DE,I_TAX,2013,0.152
DE,I_TAX,2013.5,0.1514
DE,I_TAX,2014,0.1561
DE,I_TAX,2014.5,0.1512
DE,I_TAX,2015,0.1505
DE,I_TAX,2015.5,0.152
DE,I_TAX,2016,0.1398
DE,I_TAX,2016.5,0.1331
DE,I_TAX,2017,0.134
DE,I_TAX,2017.5,0.1238
DE,I_TAX,2018,0.1206
DE,I_TAX,2018.5,0.1229
DE,I_TAX,2019,0.1259
DE,I_TAX,2019.5,0.1479
DE,I_TAX,2020,0.1591
DE,I_TAX,2020.5,0.1628
DE,I_TAX,2021,0.1661
DE,I_TAX,2021.5,0.1759
DE,I_TAX,2022,0.2256
DE,I_TAX,2022.5,0.246
DE,I_TAX,2023,0.2418
DE,I_TAX,2023.5,0.2263
DE,I_TAX,2024,0.2125
DE,I_TAX,2024.5,0.21560000000000001
DE,I_TAX,2025,0.2002
DE,I_TAX,2025.5,0.2014
DE,X_TAX,2007,0.0667
DE,X_TAX,2007.5,0.0724
DE,X_TAX,2008,0.0791
DE,X_TAX,2008.5,0.0798
DE,X_TAX,2009,0.0788
DE,X_TAX,2009.5,0.0754
DE,X_TAX,2010,0.07
DE,X_TAX,2010.5,0.0714
DE,X_TAX,2011,0.0707
DE,X_TAX,2011.5,0.0716
DE,X_TAX,2012,0.072
DE,X_TAX,2012.5,0.0711
DE,X_TAX,2013,0.0702
DE,X_TAX,2013.5,0.0695
DE,X_TAX,2014,0.0637
DE,X_TAX,2014.5,0.0627
DE,X_TAX,2015,0.0595
DE,X_TAX,2015.5,0.0639
DE,X_TAX,2016,0.0546
DE,X_TAX,2016.5,0.0528
DE,X_TAX,2017,0.0493
DE,X_TAX,2017.5,0.0459
DE,X_TAX,2018,0.0501
DE,X_TAX,2018.5,0.0516
DE,X_TAX,2019,0.0582
DE,X_TAX,2019.5,0.0513
DE,X_TAX,2020,0.0531
DE,X_TAX,2020.5,0.0602
DE,X_TAX,2021,0.0644
DE,X_TAX,2021.5,0.0786
DE,X_TAX,2022,0.1391
DE,X_TAX,2022.5,0.1744
DE,X_TAX,2023,0.1702
DE,X_TAX,2023.5,0.1573
DE,X_TAX,2024,0.1482
DE,X_TAX,2024.5,0.1509
DE,X_TAX,2025,0.1346
DE,X_TAX,2025.5,0.1363
ES,I_TAX,2007,NA
ES,I_TAX,2007.5,0.08
ES,I_TAX,2008,0.0825
ES,I_TAX,2008.5,0.0906
ES,I_TAX,2009,0.0968
ES,I_TAX,2009.5,0.0955
ES,I_TAX,2010,0.0881
ES,I_TAX,2010.5,0.0901
ES,I_TAX,2011,0.0932
ES,I_TAX,2011.5,0.0958
ES,I_TAX,2012,0.1034
ES,I_TAX,2012.5,0.1061
ES,I_TAX,2013,0.1044
ES,I_TAX,2013.5,0.1052
ES,I_TAX,2014,0.0951
ES,I_TAX,2014.5,0.1007
ES,I_TAX,2015,0.1005
ES,I_TAX,2015.5,0.0987
ES,I_TAX,2016,0.0888
ES,I_TAX,2016.5,0.0918
ES,I_TAX,2017,0.0952
ES,I_TAX,2017.5,0.0931
ES,I_TAX,2018,0.1101
ES,I_TAX,2018.5,0.1026
ES,I_TAX,2019,0.1045
ES,I_TAX,2019.5,0.0974
ES,I_TAX,2020,0.0853
ES,I_TAX,2020.5,0.0881
ES,I_TAX,2021,0.0942
ES,I_TAX,2021.5,0.1598
ES,I_TAX,2022,0.2397
ES,I_TAX,2022.5,0.2683
ES,I_TAX,2023,0.1577
ES,I_TAX,2023.5,0.1412
ES,I_TAX,2024,0.1201
ES,I_TAX,2024.5,0.1374
ES,I_TAX,2025,0.1335
ES,I_TAX,2025.5,0.1308
ES,X_TAX,2007,NA
ES,X_TAX,2007.5,0.0662
ES,X_TAX,2008,0.0682
ES,X_TAX,2008.5,0.0743
ES,X_TAX,2009,0.0794
ES,X_TAX,2009.5,0.0783
ES,X_TAX,2010,0.0722
ES,X_TAX,2010.5,0.0727
ES,X_TAX,2011,0.0751
ES,X_TAX,2011.5,0.0773
ES,X_TAX,2012,0.0834
ES,X_TAX,2012.5,0.0835
ES,X_TAX,2013,0.0821
ES,X_TAX,2013.5,0.0827
ES,X_TAX,2014,0.0748
ES,X_TAX,2014.5,0.0792
ES,X_TAX,2015,0.079
ES,X_TAX,2015.5,0.0776
ES,X_TAX,2016,0.0698
ES,X_TAX,2016.5,0.0722
ES,X_TAX,2017,0.0748
ES,X_TAX,2017.5,0.0732
ES,X_TAX,2018,0.0866
ES,X_TAX,2018.5,0.0807
ES,X_TAX,2019,0.0755
ES,X_TAX,2019.5,0.0685
ES,X_TAX,2020,0.0598
ES,X_TAX,2020.5,0.0624
ES,X_TAX,2021,0.0695
ES,X_TAX,2021.5,0.106
ES,X_TAX,2022,0.1905
ES,X_TAX,2022.5,0.2075
ES,X_TAX,2023,0.126
ES,X_TAX,2023.5,0.1134
ES,X_TAX,2024,0.0905
ES,X_TAX,2024.5,0.1064
ES,X_TAX,2025,0.1016
ES,X_TAX,2025.5,0.0991
EU27_2020,I_TAX,2007,0.0902
EU27_2020,I_TAX,2007.5,0.0844
EU27_2020,I_TAX,2008,0.0987
EU27_2020,I_TAX,2008.5,0.1005
EU27_2020,I_TAX,2009,0.1038
EU27_2020,I_TAX,2009.5,0.1006
EU27_2020,I_TAX,2010,0.1003
EU27_2020,I_TAX,2010.5,0.1022
EU27_2020,I_TAX,2011,0.1081
EU27_2020,I_TAX,2011.5,0.111
EU27_2020,I_TAX,2012,0.1117
EU27_2020,I_TAX,2012.5,0.114
EU27_2020,I_TAX,2013,0.1152
EU27_2020,I_TAX,2013.5,0.1148
EU27_2020,I_TAX,2014,0.1139
EU27_2020,I_TAX,2014.5,0.1122
EU27_2020,I_TAX,2015,0.1104
EU27_2020,I_TAX,2015.5,0.1092
EU27_2020,I_TAX,2016,0.1022
EU27_2020,I_TAX,2016.5,0.1017
EU27_2020,I_TAX,2017,0.1011
EU27_2020,I_TAX,2017.5,0.0982
EU27_2020,I_TAX,2018,0.0968
EU27_2020,I_TAX,2018.5,0.0982
EU27_2020,I_TAX,2019,0.1055
EU27_2020,I_TAX,2019.5,0.1071
EU27_2020,I_TAX,2020,0.1081
EU27_2020,I_TAX,2020.5,0.1088
EU27_2020,I_TAX,2021,0.1151
EU27_2020,I_TAX,2021.5,0.1419
EU27_2020,I_TAX,2022,0.195
EU27_2020,I_TAX,2022.5,0.2279
EU27_2020,I_TAX,2023,0.2137
EU27_2020,I_TAX,2023.5,0.1928
EU27_2020,I_TAX,2024,0.167
EU27_2020,I_TAX,2024.5,0.1737
EU27_2020,I_TAX,2025,0.1664
EU27_2020,I_TAX,2025.5,0.1618
EU27_2020,X_TAX,2007,0.062
EU27_2020,X_TAX,2007.5,0.0618
EU27_2020,X_TAX,2008,0.0683
EU27_2020,X_TAX,2008.5,0.0706
EU27_2020,X_TAX,2009,0.0732
EU27_2020,X_TAX,2009.5,0.071
EU27_2020,X_TAX,2010,0.0695
EU27_2020,X_TAX,2010.5,0.0721
EU27_2020,X_TAX,2011,0.0738
EU27_2020,X_TAX,2011.5,0.0733
EU27_2020,X_TAX,2012,0.0744
EU27_2020,X_TAX,2012.5,0.0745
EU27_2020,X_TAX,2013,0.0726
EU27_2020,X_TAX,2013.5,0.0719
EU27_2020,X_TAX,2014,0.0675
EU27_2020,X_TAX,2014.5,0.0675
EU27_2020,X_TAX,2015,0.0647
EU27_2020,X_TAX,2015.5,0.0651
EU27_2020,X_TAX,2016,0.0595
EU27_2020,X_TAX,2016.5,0.0605
EU27_2020,X_TAX,2017,0.0569
EU27_2020,X_TAX,2017.5,0.056
EU27_2020,X_TAX,2018,0.059
EU27_2020,X_TAX,2018.5,0.061
EU27_2020,X_TAX,2019,0.0662
EU27_2020,X_TAX,2019.5,0.0621
EU27_2020,X_TAX,2020,0.0607
EU27_2020,X_TAX,2020.5,0.0631
EU27_2020,X_TAX,2021,0.0673
EU27_2020,X_TAX,2021.5,0.0921
EU27_2020,X_TAX,2022,0.1484
EU27_2020,X_TAX,2022.5,0.1857
EU27_2020,X_TAX,2023,0.1655
EU27_2020,X_TAX,2023.5,0.1462
EU27_2020,X_TAX,2024,0.1219
EU27_2020,X_TAX,2024.5,0.1289
EU27_2020,X_TAX,2025,0.1208
EU27_2020,X_TAX,2025.5,0.1178
FR,I_TAX,2007,NA
FR,I_TAX,2007.5,0.0661
FR,I_TAX,2008,0.0755
FR,I_TAX,2008.5,0.0707
FR,I_TAX,2009,0.0852
FR,I_TAX,2009.5,0.0752
FR,I_TAX,2010,0.0823
FR,I_TAX,2010.5,0.0714
FR,I_TAX,2011,0.0851
FR,I_TAX,2011.5,0.0749
FR,I_TAX,2012,0.0862
FR,I_TAX,2012.5,0.0797
FR,I_TAX,2013,0.0873
FR,I_TAX,2013.5,0.082
FR,I_TAX,2014,0.0897
FR,I_TAX,2014.5,0.0846
FR,I_TAX,2015,0.0938
FR,I_TAX,2015.5,0.0861
FR,I_TAX,2016,0.0771
FR,I_TAX,2016.5,0.0774
FR,I_TAX,2017,0.0751
FR,I_TAX,2017.5,0.073
FR,I_TAX,2018,0.0757
FR,I_TAX,2018.5,0.0733
FR,I_TAX,2019,0.0838
FR,I_TAX,2019.5,0.0762
