geo,tassazione,anno,prezzo_eur_kwh
DE,I_TAX,2007,NA
DE,I_TAX,2007.5,0.0372
DE,I_TAX,2008,0.0445
DE,I_TAX,2008.5,0.0486
DE,I_TAX,2009,0.0427
DE,I_TAX,2009.5,0.0392
DE,I_TAX,2010,0.0395
DE,I_TAX,2010.5,0.0415
DE,I_TAX,2011,0.043
DE,I_TAX,2011.5,0.0431
DE,I_TAX,2012,0.0411
DE,I_TAX,2012.5,0.0415
DE,I_TAX,2013,0.0442
DE,I_TAX,2013.5,0.0452
DE,I_TAX,2014,0.0421
DE,I_TAX,2014.5,0.0379
DE,I_TAX,2015,0.0377
DE,I_TAX,2015.5,0.0356
DE,I_TAX,2016,0.0316
DE,I_TAX,2016.5,0.0315
DE,I_TAX,2017,0.0311
DE,I_TAX,2017.5,0.0304
DE,I_TAX,2018,0.0306
DE,I_TAX,2018.5,0.0316
DE,I_TAX,2019,0.0318
DE,I_TAX,2019.5,0.0317
DE,I_TAX,2020,0.0291
DE,I_TAX,2020.5,0.0289
DE,I_TAX,2021,0.0334
DE,I_TAX,2021.5,0.0474
DE,I_TAX,2022,0.0676
DE,I_TAX,2022.5,0.0802
DE,I_TAX,2023,0.0811
DE,I_TAX,2023.5,0.0746
DE,I_TAX,2024,0.0648
DE,I_TAX,2024.5,0.0728
DE,I_TAX,2025,0.072
DE,I_TAX,2025.5,0.067
DE,X_TAX,2007,NA
DE,X_TAX,2007.5,0.0279
DE,X_TAX,2008,0.0334
DE,X_TAX,2008.5,0.0368
DE,X_TAX,2009,0.0318
DE,X_TAX,2009.5,0.0289
DE,X_TAX,2010,0.0292
DE,X_TAX,2010.5,0.0291
DE,X_TAX,2011,0.0306
DE,X_TAX,2011.5,0.0321
DE,X_TAX,2012,0.0305
DE,X_TAX,2012.5,0.0309
DE,X_TAX,2013,0.0331
DE,X_TAX,2013.5,0.034
DE,X_TAX,2014,0.0314
DE,X_TAX,2014.5,0.0278
DE,X_TAX,2015,0.0276
DE,X_TAX,2015.5,0.0258
DE,X_TAX,2016,0.0225
DE,X_TAX,2016.5,0.0224
DE,X_TAX,2017,0.0221
DE,X_TAX,2017.5,0.0215
DE,X_TAX,2018,0.0217
DE,X_TAX,2018.5,0.0225
DE,X_TAX,2019,0.0227
DE,X_TAX,2019.5,0.0212
DE,X_TAX,2020,0.019
DE,X_TAX,2020.5,0.0193
DE,X_TAX,2021,0.0203
DE,X_TAX,2021.5,0.032
DE,X_TAX,2022,0.0487
DE,X_TAX,2022.5,0.0628
DE,X_TAX,2023,0.0626
DE,X_TAX,2023.5,0.0584
DE,X_TAX,2024,0.0466
DE,X_TAX,2024.5,0.0488
DE,X_TAX,2025,0.0469
DE,X_TAX,2025.5,0.0428
ES,I_TAX,2007,NA
ES,I_TAX,2007.5,0.028
ES,I_TAX,2008,0.0298
ES,I_TAX,2008.5,0.0352
ES,I_TAX,2009,0.0312
ES,I_TAX,2009.5,0.0272
ES,I_TAX,2010,0.0283
ES,I_TAX,2010.5,0.0298
ES,I_TAX,2011,0.0317
ES,I_TAX,2011.5,0.0365
ES,I_TAX,2012,0.0397
ES,I_TAX,2012.5,0.0418
ES,I_TAX,2013,0.0422
ES,I_TAX,2013.5,0.0409
ES,I_TAX,2014,0.0407
ES,I_TAX,2014.5,0.042
ES,I_TAX,2015,0.0383
ES,I_TAX,2015.5,0.0354
ES,I_TAX,2016,0.0296
ES,I_TAX,2016.5,0.029
ES,I_TAX,2017,0.0295
ES,I_TAX,2017.5,0.0287
ES,I_TAX,2018,0.0299
ES,I_TAX,2018.5,0.0336
ES,I_TAX,2019,0.0342
ES,I_TAX,2019.5,0.0331
ES,I_TAX,2020,0.0286
ES,I_TAX,2020.5,0.0241
ES,I_TAX,2021,0.0271
ES,I_TAX,2021.5,0.0457
ES,I_TAX,2022,0.0933
ES,I_TAX,2022.5,0.1236
ES,I_TAX,2023,0.0668
ES,I_TAX,2023.5,0.0544
ES,I_TAX,2024,0.0471
ES,I_TAX,2024.5,0.0557
ES,I_TAX,2025,0.0571
