geo,nace_r2,anno,indice
DE,B-D,1953,NA
DE,B-D,1954,NA
DE,B-D,1955,NA
DE,B-D,1956,NA
DE,B-D,1957,NA
DE,B-D,1958,NA
DE,B-D,1959,NA
DE,B-D,1960,NA
DE,B-D,1961,NA
DE,B-D,1962,NA
DE,B-D,1963,NA
DE,B-D,1964,NA
DE,B-D,1965,NA
DE,B-D,1966,NA
DE,B-D,1967,NA
DE,B-D,1968,NA
DE,B-D,1969,NA
DE,B-D,1970,NA
DE,B-D,1971,NA
DE,B-D,1972,NA
DE,B-D,1973,NA
DE,B-D,1974,NA
DE,B-D,1975,NA
DE,B-D,1976,NA
DE,B-D,1977,NA
DE,B-D,1978,NA
DE,B-D,1979,NA
DE,B-D,1980,NA
DE,B-D,1981,NA
DE,B-D,1982,NA
DE,B-D,1983,NA
DE,B-D,1984,NA
DE,B-D,1985,NA
DE,B-D,1986,NA
DE,B-D,1987,NA
DE,B-D,1988,NA
DE,B-D,1989,NA
DE,B-D,1990,NA
DE,B-D,1991,79.7
DE,B-D,1992,77.9
DE,B-D,1993,72.1
DE,B-D,1994,74.2
DE,B-D,1995,75
DE,B-D,1996,75.1
DE,B-D,1997,77.3
DE,B-D,1998,80.1
DE,B-D,1999,81
DE,B-D,2000,85.6
DE,B-D,2001,85.8
DE,B-D,2002,84.9
DE,B-D,2003,85.3
DE,B-D,2004,87.9
DE,B-D,2005,91
DE,B-D,2006,96.1
DE,B-D,2007,102
DE,B-D,2008,101.9
DE,B-D,2009,85.3
DE,B-D,2010,94.7
DE,B-D,2011,101.5
DE,B-D,2012,101.1
DE,B-D,2013,101.2
DE,B-D,2014,102.6
DE,B-D,2015,103.5
DE,B-D,2016,104.3
DE,B-D,2017,107.6
DE,B-D,2018,108.6
DE,B-D,2019,105.1
DE,B-D,2020,95
DE,B-D,2021,99.3
DE,B-D,2022,99.1
DE,B-D,2023,97.2
DE,B-D,2024,92.7
DE,B-D,2025,91.9
DE,C,1953,NA
DE,C,1954,NA
DE,C,1955,NA
DE,C,1956,NA
DE,C,1957,NA
DE,C,1958,NA
DE,C,1959,NA
DE,C,1960,NA
DE,C,1961,NA
DE,C,1962,NA
DE,C,1963,NA
DE,C,1964,NA
DE,C,1965,NA
DE,C,1966,NA
DE,C,1967,NA
DE,C,1968,NA
DE,C,1969,NA
DE,C,1970,NA
DE,C,1971,NA
DE,C,1972,NA
DE,C,1973,NA
DE,C,1974,NA
DE,C,1975,NA
DE,C,1976,NA
DE,C,1977,NA
DE,C,1978,NA
DE,C,1979,NA
DE,C,1980,NA
DE,C,1981,NA
DE,C,1982,NA
DE,C,1983,NA
DE,C,1984,NA
DE,C,1985,NA
DE,C,1986,NA
DE,C,1987,NA
DE,C,1988,NA
DE,C,1989,NA
DE,C,1990,NA
DE,C,1991,76
DE,C,1992,74.2
DE,C,1993,68.2
DE,C,1994,70.6
DE,C,1995,71.3
DE,C,1996,71.2
DE,C,1997,73.7
DE,C,1998,76.8
DE,C,1999,77.8
DE,C,2000,82.6
DE,C,2001,83
DE,C,2002,82.1
DE,C,2003,82.3
DE,C,2004,85
DE,C,2005,88.3
DE,C,2006,93.8
DE,C,2007,99.9
DE,C,2008,100.1
DE,C,2009,83
DE,C,2010,92.7
DE,C,2011,100.7
DE,C,2012,100.1
DE,C,2013,100.3
DE,C,2014,102.3
DE,C,2015,102.7
DE,C,2016,103.7
DE,C,2017,107.2
DE,C,2018,108.4
DE,C,2019,105.2
DE,C,2020,94.9
DE,C,2021,99.3
DE,C,2022,99.3
DE,C,2023,98.6
DE,C,2024,94
DE,C,2025,92.9
DE,MIG_CAG,1953,NA
DE,MIG_CAG,1954,NA
DE,MIG_CAG,1955,NA
DE,MIG_CAG,1956,NA
DE,MIG_CAG,1957,NA
DE,MIG_CAG,1958,NA
DE,MIG_CAG,1959,NA
DE,MIG_CAG,1960,NA
DE,MIG_CAG,1961,NA
DE,MIG_CAG,1962,NA
DE,MIG_CAG,1963,NA
DE,MIG_CAG,1964,NA
DE,MIG_CAG,1965,NA
DE,MIG_CAG,1966,NA
DE,MIG_CAG,1967,NA
DE,MIG_CAG,1968,NA
DE,MIG_CAG,1969,NA
DE,MIG_CAG,1970,NA
DE,MIG_CAG,1971,NA
DE,MIG_CAG,1972,NA
DE,MIG_CAG,1973,NA
DE,MIG_CAG,1974,NA
DE,MIG_CAG,1975,NA
DE,MIG_CAG,1976,NA
DE,MIG_CAG,1977,NA
DE,MIG_CAG,1978,NA
DE,MIG_CAG,1979,NA
DE,MIG_CAG,1980,NA
DE,MIG_CAG,1981,NA
DE,MIG_CAG,1982,NA
DE,MIG_CAG,1983,NA
DE,MIG_CAG,1984,NA
DE,MIG_CAG,1985,NA
DE,MIG_CAG,1986,NA
DE,MIG_CAG,1987,NA
DE,MIG_CAG,1988,NA
DE,MIG_CAG,1989,NA
DE,MIG_CAG,1990,NA
DE,MIG_CAG,1991,71.7
DE,MIG_CAG,1992,69.4
DE,MIG_CAG,1993,61
DE,MIG_CAG,1994,62.8
DE,MIG_CAG,1995,63.8
DE,MIG_CAG,1996,64.3
DE,MIG_CAG,1997,66.8
DE,MIG_CAG,1998,72
DE,MIG_CAG,1999,72.8
DE,MIG_CAG,2000,79.6
DE,MIG_CAG,2001,81.4
DE,MIG_CAG,2002,80.5
DE,MIG_CAG,2003,81.3
