geo,nace_r2,anno,indice
DE,C,1953,NA
DE,C,1954,NA
DE,C,1955,NA
DE,C,1956,NA
DE,C,1957,NA
DE,C,1958,NA
DE,C,1959,NA
DE,C,1960,NA
DE,C,1961,NA
DE,C,1962,NA
DE,C,1963,NA
DE,C,1964,NA
DE,C,1965,NA
DE,C,1966,NA
DE,C,1967,NA
DE,C,1968,NA
DE,C,1969,NA
DE,C,1970,NA
DE,C,1971,NA
DE,C,1972,NA
DE,C,1973,NA
DE,C,1974,NA
DE,C,1975,NA
DE,C,1976,NA
DE,C,1977,NA
DE,C,1978,NA
DE,C,1979,NA
DE,C,1980,NA
DE,C,1981,NA
DE,C,1982,NA
DE,C,1983,NA
DE,C,1984,NA
DE,C,1985,NA
DE,C,1986,NA
DE,C,1987,NA
DE,C,1988,NA
DE,C,1989,NA
DE,C,1990,NA
DE,C,1991,76
DE,C,1992,74.2
DE,C,1993,68.2
DE,C,1994,70.6
DE,C,1995,71.3
DE,C,1996,71.2
DE,C,1997,73.7
DE,C,1998,76.8
DE,C,1999,77.8
DE,C,2000,82.6
DE,C,2001,83
DE,C,2002,82.1
DE,C,2003,82.3
DE,C,2004,85
DE,C,2005,88.3
DE,C,2006,93.8
DE,C,2007,99.9
DE,C,2008,100.1
DE,C,2009,83
DE,C,2010,92.7
DE,C,2011,100.7
DE,C,2012,100.1
DE,C,2013,100.3
DE,C,2014,102.3
DE,C,2015,102.7
DE,C,2016,103.7
DE,C,2017,107.2
DE,C,2018,108.4
DE,C,2019,105.2
DE,C,2020,94.9
DE,C,2021,99.3
DE,C,2022,99.3
DE,C,2023,98.6
DE,C,2024,94
DE,C,2025,92.9
DE,C10,1953,NA
DE,C10,1954,NA
DE,C10,1955,NA
DE,C10,1956,NA
DE,C10,1957,NA
DE,C10,1958,NA
DE,C10,1959,NA
DE,C10,1960,NA
DE,C10,1961,NA
DE,C10,1962,NA
DE,C10,1963,NA
DE,C10,1964,NA
DE,C10,1965,NA
