geo,nace_r2,unit,anno,valore
DE,A,CLV15_MEUR,1975,NA
DE,A,CLV15_MEUR,1976,NA
DE,A,CLV15_MEUR,1977,NA
DE,A,CLV15_MEUR,1978,NA
DE,A,CLV15_MEUR,1979,NA
DE,A,CLV15_MEUR,1980,NA
DE,A,CLV15_MEUR,1981,NA
DE,A,CLV15_MEUR,1982,NA
DE,A,CLV15_MEUR,1983,NA
DE,A,CLV15_MEUR,1984,NA
DE,A,CLV15_MEUR,1985,NA
DE,A,CLV15_MEUR,1986,NA
DE,A,CLV15_MEUR,1987,NA
DE,A,CLV15_MEUR,1988,NA
DE,A,CLV15_MEUR,1989,NA
DE,A,CLV15_MEUR,1990,NA
DE,A,CLV15_MEUR,1991,26547.2
DE,A,CLV15_MEUR,1992,25799.7
DE,A,CLV15_MEUR,1993,25385.7
DE,A,CLV15_MEUR,1994,19837.7
DE,A,CLV15_MEUR,1995,21021.6
DE,A,CLV15_MEUR,1996,22160.7
DE,A,CLV15_MEUR,1997,22337.5
DE,A,CLV15_MEUR,1998,22274.8
DE,A,CLV15_MEUR,1999,24378.6
DE,A,CLV15_MEUR,2000,24054.1
DE,A,CLV15_MEUR,2001,22494.2
DE,A,CLV15_MEUR,2002,22657.5
DE,A,CLV15_MEUR,2003,23040.2
DE,A,CLV15_MEUR,2004,28342.1
DE,A,CLV15_MEUR,2005,20970.1
DE,A,CLV15_MEUR,2006,20681.4
DE,A,CLV15_MEUR,2007,20616.5
DE,A,CLV15_MEUR,2008,23246.1
DE,A,CLV15_MEUR,2009,22449.4
DE,A,CLV15_MEUR,2010,22131.6
DE,A,CLV15_MEUR,2011,22977.6
DE,A,CLV15_MEUR,2012,23013.4
DE,A,CLV15_MEUR,2013,22395.7
DE,A,CLV15_MEUR,2014,25045.5
DE,A,CLV15_MEUR,2015,21872
DE,A,CLV15_MEUR,2016,22706.8
DE,A,CLV15_MEUR,2017,23720.6
DE,A,CLV15_MEUR,2018,20569.5
DE,A,CLV15_MEUR,2019,22420.3
DE,A,CLV15_MEUR,2020,22380
DE,A,CLV15_MEUR,2021,26435.3
DE,A,CLV15_MEUR,2022,27337.2
DE,A,CLV15_MEUR,2023,24058.5
DE,A,CLV15_MEUR,2024,24016
DE,A,CLV15_MEUR,2025,24148.1
DE,A,CLV_PCH_PRE,1975,NA
DE,A,CLV_PCH_PRE,1976,NA
DE,A,CLV_PCH_PRE,1977,NA
DE,A,CLV_PCH_PRE,1978,NA
DE,A,CLV_PCH_PRE,1979,NA
DE,A,CLV_PCH_PRE,1980,NA
DE,A,CLV_PCH_PRE,1981,NA
DE,A,CLV_PCH_PRE,1982,NA
DE,A,CLV_PCH_PRE,1983,NA
DE,A,CLV_PCH_PRE,1984,NA
DE,A,CLV_PCH_PRE,1985,NA
DE,A,CLV_PCH_PRE,1986,NA
DE,A,CLV_PCH_PRE,1987,NA
DE,A,CLV_PCH_PRE,1988,NA
DE,A,CLV_PCH_PRE,1989,NA
DE,A,CLV_PCH_PRE,1990,NA
DE,A,CLV_PCH_PRE,1991,NA
DE,A,CLV_PCH_PRE,1992,-2.8
DE,A,CLV_PCH_PRE,1993,-1.6
DE,A,CLV_PCH_PRE,1994,-21.9
DE,A,CLV_PCH_PRE,1995,6
DE,A,CLV_PCH_PRE,1996,5.4
DE,A,CLV_PCH_PRE,1997,0.8
DE,A,CLV_PCH_PRE,1998,-0.3
DE,A,CLV_PCH_PRE,1999,9.4
DE,A,CLV_PCH_PRE,2000,-1.3
DE,A,CLV_PCH_PRE,2001,-6.5
DE,A,CLV_PCH_PRE,2002,0.7
DE,A,CLV_PCH_PRE,2003,1.7
DE,A,CLV_PCH_PRE,2004,23
DE,A,CLV_PCH_PRE,2005,-26
DE,A,CLV_PCH_PRE,2006,-1.4
DE,A,CLV_PCH_PRE,2007,-0.3
DE,A,CLV_PCH_PRE,2008,12.8
DE,A,CLV_PCH_PRE,2009,-3.4
DE,A,CLV_PCH_PRE,2010,-1.4
DE,A,CLV_PCH_PRE,2011,3.8
DE,A,CLV_PCH_PRE,2012,0.2
DE,A,CLV_PCH_PRE,2013,-2.7
DE,A,CLV_PCH_PRE,2014,11.8
DE,A,CLV_PCH_PRE,2015,-12.7
DE,A,CLV_PCH_PRE,2016,3.8
DE,A,CLV_PCH_PRE,2017,4.5
DE,A,CLV_PCH_PRE,2018,-13.3
DE,A,CLV_PCH_PRE,2019,9
DE,A,CLV_PCH_PRE,2020,-0.2
DE,A,CLV_PCH_PRE,2021,18.1
DE,A,CLV_PCH_PRE,2022,3.4
DE,A,CLV_PCH_PRE,2023,-12
DE,A,CLV_PCH_PRE,2024,-0.2
DE,A,CLV_PCH_PRE,2025,0.5
DE,A,CP_MEUR,1975,NA
DE,A,CP_MEUR,1976,NA
DE,A,CP_MEUR,1977,NA
DE,A,CP_MEUR,1978,NA
DE,A,CP_MEUR,1979,NA
DE,A,CP_MEUR,1980,NA
DE,A,CP_MEUR,1981,NA
DE,A,CP_MEUR,1982,NA
DE,A,CP_MEUR,1983,NA
DE,A,CP_MEUR,1984,NA
DE,A,CP_MEUR,1985,NA
DE,A,CP_MEUR,1986,NA
DE,A,CP_MEUR,1987,NA
DE,A,CP_MEUR,1988,NA
DE,A,CP_MEUR,1989,NA
DE,A,CP_MEUR,1990,NA
DE,A,CP_MEUR,1991,16241.7
DE,A,CP_MEUR,1992,16368.4
DE,A,CP_MEUR,1993,17356.6
DE,A,CP_MEUR,1994,18555
DE,A,CP_MEUR,1995,20471.1
DE,A,CP_MEUR,1996,21079.9
