nace_r2,unit,anno,valore
A,CLV15_MEUR,1975,NA
A,CLV15_MEUR,1976,NA
A,CLV15_MEUR,1977,NA
A,CLV15_MEUR,1978,NA
A,CLV15_MEUR,1979,NA
A,CLV15_MEUR,1980,NA
A,CLV15_MEUR,1981,NA
A,CLV15_MEUR,1982,NA
A,CLV15_MEUR,1983,NA
A,CLV15_MEUR,1984,NA
A,CLV15_MEUR,1985,NA
A,CLV15_MEUR,1986,NA
A,CLV15_MEUR,1987,NA
A,CLV15_MEUR,1988,NA
A,CLV15_MEUR,1989,NA
A,CLV15_MEUR,1990,NA
A,CLV15_MEUR,1991,NA
A,CLV15_MEUR,1992,NA
A,CLV15_MEUR,1993,NA
A,CLV15_MEUR,1994,NA
A,CLV15_MEUR,1995,30368.3
A,CLV15_MEUR,1996,30740.7
A,CLV15_MEUR,1997,31452
A,CLV15_MEUR,1998,32265.5
A,CLV15_MEUR,1999,34063.6
A,CLV15_MEUR,2000,34342.4
A,CLV15_MEUR,2001,33368.5
A,CLV15_MEUR,2002,31796.1
A,CLV15_MEUR,2003,30559.3
A,CLV15_MEUR,2004,34135.3
A,CLV15_MEUR,2005,32441.2
A,CLV15_MEUR,2006,32196.9
A,CLV15_MEUR,2007,32547
A,CLV15_MEUR,2008,33232.1
A,CLV15_MEUR,2009,32893.8
A,CLV15_MEUR,2010,32975.3
A,CLV15_MEUR,2011,33230.8
A,CLV15_MEUR,2012,31913.4
A,CLV15_MEUR,2013,32317.8
A,CLV15_MEUR,2014,31628.6
A,CLV15_MEUR,2015,33124.6
A,CLV15_MEUR,2016,33015.9
A,CLV15_MEUR,2017,31695.8
A,CLV15_MEUR,2018,32622.9
A,CLV15_MEUR,2019,31967.8
A,CLV15_MEUR,2020,30634.6
A,CLV15_MEUR,2021,30550.3
A,CLV15_MEUR,2022,31362.4
A,CLV15_MEUR,2023,29741.8
A,CLV15_MEUR,2024,30603.5
A,CLV15_MEUR,2025,30559.7
A,CP_MEUR,1975,NA
A,CP_MEUR,1976,NA
A,CP_MEUR,1977,NA
A,CP_MEUR,1978,NA
A,CP_MEUR,1979,NA
A,CP_MEUR,1980,NA
A,CP_MEUR,1981,NA
A,CP_MEUR,1982,NA
A,CP_MEUR,1983,NA
A,CP_MEUR,1984,NA
A,CP_MEUR,1985,NA
A,CP_MEUR,1986,NA
A,CP_MEUR,1987,NA
A,CP_MEUR,1988,NA
A,CP_MEUR,1989,NA
A,CP_MEUR,1990,NA
A,CP_MEUR,1991,NA
A,CP_MEUR,1992,NA
A,CP_MEUR,1993,NA
A,CP_MEUR,1994,NA
A,CP_MEUR,1995,26778.9
A,CP_MEUR,1996,30781.7
A,CP_MEUR,1997,31419
A,CP_MEUR,1998,31440.5
A,CP_MEUR,1999,32007.3
A,CP_MEUR,2000,31836
A,CP_MEUR,2001,32478.6
A,CP_MEUR,2002,32062.5
A,CP_MEUR,2003,32918.9
A,CP_MEUR,2004,34135.6
A,CP_MEUR,2005,30432.1
