geo,nace_r2,anno,va_meur
ITC1,B-E,2000,24437.9
ITC1,B-E,2001,24315.1
ITC1,B-E,2002,24616.9
ITC1,B-E,2003,24529.6
ITC1,B-E,2004,24300.5
ITC1,B-E,2005,24318.7
ITC1,B-E,2006,25286.2
ITC1,B-E,2007,27354.8
ITC1,B-E,2008,26999.4
ITC1,B-E,2009,22482.2
ITC1,B-E,2010,25420.4
ITC1,B-E,2011,25981.2
ITC1,B-E,2012,24752.1
ITC1,B-E,2013,24943
ITC1,B-E,2014,24974.9
ITC1,B-E,2015,26435.8
ITC1,B-E,2016,28016.9
ITC1,B-E,2017,29087.9
ITC1,B-E,2018,29810.9
ITC1,B-E,2019,29352.3
ITC1,B-E,2020,26310.3
ITC1,B-E,2021,30838.7
ITC1,B-E,2022,32489.6
ITC1,B-E,2023,36834.9
ITC1,B-E,2024,35330.4
ITC1,C,2000,22758.9
ITC1,C,2001,22610.9
ITC1,C,2002,22796.2
ITC1,C,2003,22549.7
ITC1,C,2004,22351.7
ITC1,C,2005,22200.1
ITC1,C,2006,22924.8
ITC1,C,2007,24639.8
ITC1,C,2008,24318.6
ITC1,C,2009,19582.5
ITC1,C,2010,22553.3
ITC1,C,2011,23255.9
ITC1,C,2012,21954.7
ITC1,C,2013,22023.6
ITC1,C,2014,22441.4
ITC1,C,2015,23810
ITC1,C,2016,25533.7
ITC1,C,2017,26452.2
ITC1,C,2018,27050.6
ITC1,C,2019,26634.1
ITC1,C,2020,23589.6
ITC1,C,2021,27971.2
ITC1,C,2022,29422.7
ITC1,C,2023,33379.1
ITC1,C,2024,NA
ITC1,F,2000,3987
ITC1,F,2001,4588.2
ITC1,F,2002,4577.3
ITC1,F,2003,5080.2
ITC1,F,2004,5283.7
ITC1,F,2005,5580.4
ITC1,F,2006,6327.9
ITC1,F,2007,6322.8
ITC1,F,2008,6769.8
ITC1,F,2009,6006.9
ITC1,F,2010,6096.2
ITC1,F,2011,6226.3
ITC1,F,2012,5813.8
ITC1,F,2013,5445.6
ITC1,F,2014,4893.6
ITC1,F,2015,4801
ITC1,F,2016,4768.8
ITC1,F,2017,5087.2
ITC1,F,2018,5129
ITC1,F,2019,5306.5
ITC1,F,2020,5110
ITC1,F,2021,6565.9
ITC1,F,2022,7612.4
ITC1,F,2023,8648.9
ITC1,F,2024,8922.4
ITC1,TOTAL,2000,87965.9
ITC1,TOTAL,2001,92144.9
ITC1,TOTAL,2002,95453.9
ITC1,TOTAL,2003,99276
ITC1,TOTAL,2004,102914.3
ITC1,TOTAL,2005,105527.8
ITC1,TOTAL,2006,109185.2
ITC1,TOTAL,2007,112944.7
ITC1,TOTAL,2008,113869.8
ITC1,TOTAL,2009,106206.3
ITC1,TOTAL,2010,109859.3
ITC1,TOTAL,2011,112412.2
ITC1,TOTAL,2012,108558.3
ITC1,TOTAL,2013,109545.6
ITC1,TOTAL,2014,108968.5
ITC1,TOTAL,2015,111146.3
ITC1,TOTAL,2016,114051.4
ITC1,TOTAL,2017,117994.6
ITC1,TOTAL,2018,120363.3
ITC1,TOTAL,2019,120736.4
ITC1,TOTAL,2020,111721.9
ITC1,TOTAL,2021,122731.7
ITC1,TOTAL,2022,131723.6
ITC1,TOTAL,2023,142886.7
ITC1,TOTAL,2024,146726.3
ITC2,B-E,2000,496.2
ITC2,B-E,2001,533.5
ITC2,B-E,2002,582.2
ITC2,B-E,2003,645
ITC2,B-E,2004,671.5
ITC2,B-E,2005,696.9
ITC2,B-E,2006,702.2
ITC2,B-E,2007,737.8
ITC2,B-E,2008,738.6
ITC2,B-E,2009,555.6
ITC2,B-E,2010,581.2
ITC2,B-E,2011,561.4
ITC2,B-E,2012,626.2
ITC2,B-E,2013,578.9
ITC2,B-E,2014,535.8
ITC2,B-E,2015,529.9
ITC2,B-E,2016,462.6
ITC2,B-E,2017,532.3
ITC2,B-E,2018,571.3
ITC2,B-E,2019,580.9
ITC2,B-E,2020,523.7
ITC2,B-E,2021,643.1
ITC2,B-E,2022,852.7
ITC2,B-E,2023,804.5
ITC2,B-E,2024,678
ITC2,C,2000,302.4
ITC2,C,2001,305.8
ITC2,C,2002,314.3
ITC2,C,2003,326
ITC2,C,2004,338.7
ITC2,C,2005,363
ITC2,C,2006,340.6
ITC2,C,2007,393.4
ITC2,C,2008,341.1
ITC2,C,2009,233
ITC2,C,2010,252.4
ITC2,C,2011,252.9
ITC2,C,2012,229.9
ITC2,C,2013,253.4
ITC2,C,2014,255.9
ITC2,C,2015,257.7
ITC2,C,2016,259.8
ITC2,C,2017,280
ITC2,C,2018,303.2
ITC2,C,2019,298.9
ITC2,C,2020,250.3
ITC2,C,2021,322.2
ITC2,C,2022,340.2
ITC2,C,2023,334
ITC2,C,2024,NA
ITC2,F,2000,175.9
ITC2,F,2001,180.6
ITC2,F,2002,210.4
ITC2,F,2003,230.8
ITC2,F,2004,248.7
ITC2,F,2005,269.4
ITC2,F,2006,279.1
ITC2,F,2007,288.3
ITC2,F,2008,317.7
ITC2,F,2009,316.4
ITC2,F,2010,320.4
ITC2,F,2011,313.5
ITC2,F,2012,306.8
ITC2,F,2013,286.1
ITC2,F,2014,259.7
ITC2,F,2015,239.1
ITC2,F,2016,214.6
ITC2,F,2017,223.9
ITC2,F,2018,218.6
ITC2,F,2019,226.9
ITC2,F,2020,217.2
ITC2,F,2021,308.8
ITC2,F,2022,331.8
ITC2,F,2023,383
ITC2,F,2024,367.5
ITC2,TOTAL,2000,3063.3
ITC2,TOTAL,2001,3245.3
ITC2,TOTAL,2002,3375.4
ITC2,TOTAL,2003,3646.8
ITC2,TOTAL,2004,3744.3
ITC2,TOTAL,2005,3856.9
ITC2,TOTAL,2006,3978.7
ITC2,TOTAL,2007,4093.8
ITC2,TOTAL,2008,4264.3
ITC2,TOTAL,2009,4072.3
ITC2,TOTAL,2010,4240
ITC2,TOTAL,2011,4310.5
ITC2,TOTAL,2012,4349.1
ITC2,TOTAL,2013,4182.3
ITC2,TOTAL,2014,4119.4
ITC2,TOTAL,2015,4137.5
ITC2,TOTAL,2016,4086.6
ITC2,TOTAL,2017,4244.2
ITC2,TOTAL,2018,4281.3
ITC2,TOTAL,2019,4313.5
ITC2,TOTAL,2020,3981.4
ITC2,TOTAL,2021,4272.5
ITC2,TOTAL,2022,4850.2
ITC2,TOTAL,2023,5212.3
ITC2,TOTAL,2024,5230.5
ITC3,B-E,2000,5453.4
ITC3,B-E,2001,5735.7
ITC3,B-E,2002,5476.1
ITC3,B-E,2003,5077.7
ITC3,B-E,2004,5156.6
ITC3,B-E,2005,5368.6
ITC3,B-E,2006,5790.1
ITC3,B-E,2007,6475.3
ITC3,B-E,2008,6667.1
ITC3,B-E,2009,6027.3
ITC3,B-E,2010,5626.7
ITC3,B-E,2011,5444
ITC3,B-E,2012,5515.1
ITC3,B-E,2013,5445
ITC3,B-E,2014,5690.8
ITC3,B-E,2015,5618
ITC3,B-E,2016,5832.8
ITC3,B-E,2017,6223.4
ITC3,B-E,2018,6265
ITC3,B-E,2019,6879.8
ITC3,B-E,2020,6729.9
ITC3,B-E,2021,7642.4
ITC3,B-E,2022,7249.4
ITC3,B-E,2023,8378.8
ITC3,B-E,2024,7627.2
ITC3,C,2000,4242.6
ITC3,C,2001,4222.6
ITC3,C,2002,4043.2
ITC3,C,2003,3735.2
ITC3,C,2004,3860.1
ITC3,C,2005,4038.1
ITC3,C,2006,4379.8
ITC3,C,2007,5054.5
ITC3,C,2008,5099.4
ITC3,C,2009,4498.2
ITC3,C,2010,4167.9
ITC3,C,2011,4100.3
ITC3,C,2012,4173
ITC3,C,2013,3970.4
ITC3,C,2014,4057.3
ITC3,C,2015,4185.4
ITC3,C,2016,4345.4
ITC3,C,2017,4735.6
ITC3,C,2018,4739.3
ITC3,C,2019,4762.3
ITC3,C,2020,4505.1
ITC3,C,2021,5497.4
ITC3,C,2022,5827.1
ITC3,C,2023,5944.8
ITC3,C,2024,NA
ITC3,F,2000,1257.5
ITC3,F,2001,1618.2
ITC3,F,2002,1685.1
ITC3,F,2003,1891.4
ITC3,F,2004,2086.8
ITC3,F,2005,2009.5
ITC3,F,2006,2012.8
ITC3,F,2007,2151.3
ITC3,F,2008,2269.5
ITC3,F,2009,2243.1
ITC3,F,2010,2249.6
ITC3,F,2011,2357.7
ITC3,F,2012,2175.3
ITC3,F,2013,2118.9
ITC3,F,2014,1873.7
ITC3,F,2015,1930.9
ITC3,F,2016,1936.4
ITC3,F,2017,1974.3
ITC3,F,2018,1877.1
ITC3,F,2019,2039.6
ITC3,F,2020,1942
ITC3,F,2021,2612.1
ITC3,F,2022,3009.6
ITC3,F,2023,3328.2
ITC3,F,2024,3377.2
ITC3,TOTAL,2000,32618
ITC3,TOTAL,2001,34806.1
ITC3,TOTAL,2002,35222.6
ITC3,TOTAL,2003,36762.3
ITC3,TOTAL,2004,38020.2
ITC3,TOTAL,2005,39062.2
ITC3,TOTAL,2006,40076.2
