branca,codice,valutazione,anno,investimenti_mln_eur
"Totale economia",_T,"valori concatenati 2020",1995,295307.3
"Totale economia",_T,"valori concatenati 2020",1996,301834.6
"Totale economia",_T,"valori concatenati 2020",1997,308584
"Totale economia",_T,"valori concatenati 2020",1998,320825.8
"Totale economia",_T,"valori concatenati 2020",1999,335615.1
"Totale economia",_T,"valori concatenati 2020",2000,358778.9
"Totale economia",_T,"valori concatenati 2020",2001,367446.1
"Totale economia",_T,"valori concatenati 2020",2002,380733.5
"Totale economia",_T,"valori concatenati 2020",2003,377358.7
"Totale economia",_T,"valori concatenati 2020",2004,383618.6
"Totale economia",_T,"valori concatenati 2020",2005,390045.9
"Totale economia",_T,"valori concatenati 2020",2006,400224.3
"Totale economia",_T,"valori concatenati 2020",2007,406598
"Totale economia",_T,"valori concatenati 2020",2008,393135.6
"Totale economia",_T,"valori concatenati 2020",2009,352310.2
"Totale economia",_T,"valori concatenati 2020",2010,352163.3
"Totale economia",_T,"valori concatenati 2020",2011,346773.3
"Totale economia",_T,"valori concatenati 2020",2012,312647.4
"Totale economia",_T,"valori concatenati 2020",2013,291608.8
"Totale economia",_T,"valori concatenati 2020",2014,285309.7
"Totale economia",_T,"valori concatenati 2020",2015,290872
"Totale economia",_T,"valori concatenati 2020",2016,302062.3
"Totale economia",_T,"valori concatenati 2020",2017,311907
"Totale economia",_T,"valori concatenati 2020",2018,322139.1
"Totale economia",_T,"valori concatenati 2020",2019,327226.6
"Totale economia",_T,"valori concatenati 2020",2020,303972.5
"Totale economia",_T,"valori concatenati 2020",2021,369458.3
"Totale economia",_T,"valori concatenati 2020",2022,396657
"Totale economia",_T,"valori concatenati 2020",2023,436590.8
"Totale economia",_T,"prezzi correnti",1995,196817.6
"Totale economia",_T,"prezzi correnti",1996,206071
"Totale economia",_T,"prezzi correnti",1997,215108.6
"Totale economia",_T,"prezzi correnti",1998,227839.8
"Totale economia",_T,"prezzi correnti",1999,239884.8
"Totale economia",_T,"prezzi correnti",2000,264206.4
"Totale economia",_T,"prezzi correnti",2001,277322
"Totale economia",_T,"prezzi correnti",2002,295667.7
"Totale economia",_T,"prezzi correnti",2003,297848.6
"Totale economia",_T,"prezzi correnti",2004,311288.4
"Totale economia",_T,"prezzi correnti",2005,324900.7
"Totale economia",_T,"prezzi correnti",2006,341988.4
"Totale economia",_T,"prezzi correnti",2007,356687.6
"Totale economia",_T,"prezzi correnti",2008,354419.4
"Totale economia",_T,"prezzi correnti",2009,321826.5
"Totale economia",_T,"prezzi correnti",2010,327450.4
"Totale economia",_T,"prezzi correnti",2011,329961.7
"Totale economia",_T,"prezzi correnti",2012,301798.7
"Totale economia",_T,"prezzi correnti",2013,280671
"Totale economia",_T,"prezzi correnti",2014,275476.2
"Totale economia",_T,"prezzi correnti",2015,284103.1
"Totale economia",_T,"prezzi correnti",2016,294828.8
"Totale economia",_T,"prezzi correnti",2017,306672.5
"Totale economia",_T,"prezzi correnti",2018,319499.8
"Totale economia",_T,"prezzi correnti",2019,327062.5
"Totale economia",_T,"prezzi correnti",2020,303972.5
"Totale economia",_T,"prezzi correnti",2021,382698.4
"Totale economia",_T,"prezzi correnti",2022,435095
"Totale economia",_T,"prezzi correnti",2023,485486
"Agricoltura",A,"valori concatenati 2020",1995,7419
"Agricoltura",A,"valori concatenati 2020",1996,7289.3
"Agricoltura",A,"valori concatenati 2020",1997,7809.8
"Agricoltura",A,"valori concatenati 2020",1998,8193.2
"Agricoltura",A,"valori concatenati 2020",1999,8928.8
"Agricoltura",A,"valori concatenati 2020",2000,9964.5
"Agricoltura",A,"valori concatenati 2020",2001,9304.9
"Agricoltura",A,"valori concatenati 2020",2002,9540.6
"Agricoltura",A,"valori concatenati 2020",2003,9443.6
"Agricoltura",A,"valori concatenati 2020",2004,10040.2
"Agricoltura",A,"valori concatenati 2020",2005,10179.9
"Agricoltura",A,"valori concatenati 2020",2006,10827.3
"Agricoltura",A,"valori concatenati 2020",2007,10130
"Agricoltura",A,"valori concatenati 2020",2008,9096.9
"Agricoltura",A,"valori concatenati 2020",2009,7745.5
"Agricoltura",A,"valori concatenati 2020",2010,8177.9
"Agricoltura",A,"valori concatenati 2020",2011,8777.4
"Agricoltura",A,"valori concatenati 2020",2012,8079.9
"Agricoltura",A,"valori concatenati 2020",2013,6860.6
"Agricoltura",A,"valori concatenati 2020",2014,7026.1
"Agricoltura",A,"valori concatenati 2020",2015,7032.9
"Agricoltura",A,"valori concatenati 2020",2016,7534.1
"Agricoltura",A,"valori concatenati 2020",2017,8632
"Agricoltura",A,"valori concatenati 2020",2018,9601
"Agricoltura",A,"valori concatenati 2020",2019,9727.3
"Agricoltura",A,"valori concatenati 2020",2020,8710.7
"Agricoltura",A,"valori concatenati 2020",2021,10095.7
"Agricoltura",A,"valori concatenati 2020",2022,9766.9
"Agricoltura",A,"valori concatenati 2020",2023,9195.1
"Agricoltura",A,"prezzi correnti",1995,5141.9
"Agricoltura",A,"prezzi correnti",1996,5201.6
"Agricoltura",A,"prezzi correnti",1997,5629.3
"Agricoltura",A,"prezzi correnti",1998,5964.6
"Agricoltura",A,"prezzi correnti",1999,6440.4
"Agricoltura",A,"prezzi correnti",2000,7358.2
"Agricoltura",A,"prezzi correnti",2001,7059.7
"Agricoltura",A,"prezzi correnti",2002,7395
"Agricoltura",A,"prezzi correnti",2003,7447.7
"Agricoltura",A,"prezzi correnti",2004,8106.7
"Agricoltura",A,"prezzi correnti",2005,8364.4
"Agricoltura",A,"prezzi correnti",2006,9141.6
"Agricoltura",A,"prezzi correnti",2007,8771
"Agricoltura",A,"prezzi correnti",2008,8102.8
"Agricoltura",A,"prezzi correnti",2009,7066.7
"Agricoltura",A,"prezzi correnti",2010,7569.8
"Agricoltura",A,"prezzi correnti",2011,8333.4
"Agricoltura",A,"prezzi correnti",2012,7840.2
