branca,codice,misura,anno,valore_migliaia
"Totale economia",_T,unita_di_lavoro,1995,22161.5
"Totale economia",_T,unita_di_lavoro,1996,22285.6
"Totale economia",_T,unita_di_lavoro,1997,22360.1
"Totale economia",_T,unita_di_lavoro,1998,22545.1
"Totale economia",_T,unita_di_lavoro,1999,22680.4
"Totale economia",_T,unita_di_lavoro,2000,23078.5
"Totale economia",_T,unita_di_lavoro,2001,23509.1
"Totale economia",_T,unita_di_lavoro,2002,23700.4
"Totale economia",_T,unita_di_lavoro,2003,23810.8
"Totale economia",_T,unita_di_lavoro,2004,23900.5
"Totale economia",_T,unita_di_lavoro,2005,23885.3
"Totale economia",_T,unita_di_lavoro,2006,24307.8
"Totale economia",_T,unita_di_lavoro,2007,24542.2
"Totale economia",_T,unita_di_lavoro,2008,24430
"Totale economia",_T,unita_di_lavoro,2009,23710.5
"Totale economia",_T,unita_di_lavoro,2010,23522.5
"Totale economia",_T,unita_di_lavoro,2011,23530.7
"Totale economia",_T,unita_di_lavoro,2012,23229.2
"Totale economia",_T,unita_di_lavoro,2013,22675.6
"Totale economia",_T,unita_di_lavoro,2014,22733.6
"Totale economia",_T,unita_di_lavoro,2015,22931.9
"Totale economia",_T,unita_di_lavoro,2016,23269.8
"Totale economia",_T,unita_di_lavoro,2017,23490.3
"Totale economia",_T,unita_di_lavoro,2018,23697.9
"Totale economia",_T,unita_di_lavoro,2019,23754.7
"Totale economia",_T,unita_di_lavoro,2020,21088.1
"Totale economia",_T,unita_di_lavoro,2021,23114.6
"Totale economia",_T,unita_di_lavoro,2022,23954.1
"Totale economia",_T,unita_di_lavoro,2023,24608.7
"Totale economia",_T,unita_di_lavoro,2024,25156.2
"Totale economia",_T,unita_di_lavoro,2025,25472.5
"Agricoltura",A,unita_di_lavoro,1995,1540.3
"Agricoltura",A,unita_di_lavoro,1996,1504.6
"Agricoltura",A,unita_di_lavoro,1997,1483.6
"Agricoltura",A,unita_di_lavoro,1998,1443.4
"Agricoltura",A,unita_di_lavoro,1999,1379.7
"Agricoltura",A,unita_di_lavoro,2000,1349.7
"Agricoltura",A,unita_di_lavoro,2001,1362.1
"Agricoltura",A,unita_di_lavoro,2002,1312.1
"Agricoltura",A,unita_di_lavoro,2003,1269.1
"Agricoltura",A,unita_di_lavoro,2004,1257.7
"Agricoltura",A,unita_di_lavoro,2005,1202.7
"Agricoltura",A,unita_di_lavoro,2006,1222.7
"Agricoltura",A,unita_di_lavoro,2007,1182.5
"Agricoltura",A,unita_di_lavoro,2008,1151
"Agricoltura",A,unita_di_lavoro,2009,1134.2
"Agricoltura",A,unita_di_lavoro,2010,1143.8
"Agricoltura",A,unita_di_lavoro,2011,1120.4
"Agricoltura",A,unita_di_lavoro,2012,1099.1
"Agricoltura",A,unita_di_lavoro,2013,1089.9
"Agricoltura",A,unita_di_lavoro,2014,1105.4
"Agricoltura",A,unita_di_lavoro,2015,1129.4
"Agricoltura",A,unita_di_lavoro,2016,1163
"Agricoltura",A,unita_di_lavoro,2017,1143.1
"Agricoltura",A,unita_di_lavoro,2018,1167.3
"Agricoltura",A,unita_di_lavoro,2019,1154.5
"Agricoltura",A,unita_di_lavoro,2020,1102.5
"Agricoltura",A,unita_di_lavoro,2021,1135.4
"Agricoltura",A,unita_di_lavoro,2022,1138.2
"Agricoltura",A,unita_di_lavoro,2023,1151.7
"Agricoltura",A,unita_di_lavoro,2024,1158.2
"Agricoltura",A,unita_di_lavoro,2025,1151.9
"Estrattiva",B,unita_di_lavoro,1995,29.1
"Estrattiva",B,unita_di_lavoro,1996,28.3
"Estrattiva",B,unita_di_lavoro,1997,28.3
"Estrattiva",B,unita_di_lavoro,1998,29
"Estrattiva",B,unita_di_lavoro,1999,29.3
"Estrattiva",B,unita_di_lavoro,2000,28.4
"Estrattiva",B,unita_di_lavoro,2001,28.5
"Estrattiva",B,unita_di_lavoro,2002,30.2
"Estrattiva",B,unita_di_lavoro,2003,28.4
"Estrattiva",B,unita_di_lavoro,2004,27.7
"Estrattiva",B,unita_di_lavoro,2005,28.1
"Estrattiva",B,unita_di_lavoro,2006,27.4
"Estrattiva",B,unita_di_lavoro,2007,26.9
"Estrattiva",B,unita_di_lavoro,2008,26
"Estrattiva",B,unita_di_lavoro,2009,24.7
"Estrattiva",B,unita_di_lavoro,2010,23.5
"Estrattiva",B,unita_di_lavoro,2011,23.5
"Estrattiva",B,unita_di_lavoro,2012,22.7
"Estrattiva",B,unita_di_lavoro,2013,21.4
"Estrattiva",B,unita_di_lavoro,2014,21.2
"Estrattiva",B,unita_di_lavoro,2015,20.8
"Estrattiva",B,unita_di_lavoro,2016,20.5
"Estrattiva",B,unita_di_lavoro,2017,20.4
"Estrattiva",B,unita_di_lavoro,2018,20.1
"Estrattiva",B,unita_di_lavoro,2019,19.8
"Estrattiva",B,unita_di_lavoro,2020,17
"Estrattiva",B,unita_di_lavoro,2021,17.7
"Estrattiva",B,unita_di_lavoro,2022,17.3
"Estrattiva",B,unita_di_lavoro,2023,16.7
"Estrattiva",B,unita_di_lavoro,2024,17
"Estrattiva",B,unita_di_lavoro,2025,17.2
"Manifattura",C,unita_di_lavoro,1995,4356.1
"Manifattura",C,unita_di_lavoro,1996,4286.5
"Manifattura",C,unita_di_lavoro,1997,4287.2
"Manifattura",C,unita_di_lavoro,1998,4364.7
"Manifattura",C,unita_di_lavoro,1999,4320.4
"Manifattura",C,unita_di_lavoro,2000,4309.2
"Manifattura",C,unita_di_lavoro,2001,4284.7
"Manifattura",C,unita_di_lavoro,2002,4299.1
"Manifattura",C,unita_di_lavoro,2003,4295.4
"Manifattura",C,unita_di_lavoro,2004,4252
"Manifattura",C,unita_di_lavoro,2005,4194
"Manifattura",C,unita_di_lavoro,2006,4232.1
"Manifattura",C,unita_di_lavoro,2007,4264
"Manifattura",C,unita_di_lavoro,2008,4192.3
"Manifattura",C,unita_di_lavoro,2009,3765.4
"Manifattura",C,unita_di_lavoro,2010,3634.3
"Manifattura",C,unita_di_lavoro,2011,3635
"Manifattura",C,unita_di_lavoro,2012,3492.9
"Manifattura",C,unita_di_lavoro,2013,3393.5
"Manifattura",C,unita_di_lavoro,2014,3347.8
"Manifattura",C,unita_di_lavoro,2015,3339.7
"Manifattura",C,unita_di_lavoro,2016,3394.8
"Manifattura",C,unita_di_lavoro,2017,3432.6
"Manifattura",C,unita_di_lavoro,2018,3473.6
"Manifattura",C,unita_di_lavoro,2019,3459.5
"Manifattura",C,unita_di_lavoro,2020,3020.8
"Manifattura",C,unita_di_lavoro,2021,3355.5
"Manifattura",C,unita_di_lavoro,2022,3437.8
"Manifattura",C,unita_di_lavoro,2023,3522.5
"Manifattura",C,unita_di_lavoro,2024,3543.4
"Manifattura",C,unita_di_lavoro,2025,3497.4
"Alimentari bevande tabacco",C10T12,unita_di_lavoro,1995,418.9
"Alimentari bevande tabacco",C10T12,unita_di_lavoro,1996,400.9
"Alimentari bevande tabacco",C10T12,unita_di_lavoro,1997,406
"Alimentari bevande tabacco",C10T12,unita_di_lavoro,1998,427.1
"Alimentari bevande tabacco",C10T12,unita_di_lavoro,1999,415.6
"Alimentari bevande tabacco",C10T12,unita_di_lavoro,2000,412.2
"Alimentari bevande tabacco",C10T12,unita_di_lavoro,2001,398.9
"Alimentari bevande tabacco",C10T12,unita_di_lavoro,2002,403.7
"Alimentari bevande tabacco",C10T12,unita_di_lavoro,2003,408
"Alimentari bevande tabacco",C10T12,unita_di_lavoro,2004,422.3
"Alimentari bevande tabacco",C10T12,unita_di_lavoro,2005,411.6
"Alimentari bevande tabacco",C10T12,unita_di_lavoro,2006,419
"Alimentari bevande tabacco",C10T12,unita_di_lavoro,2007,425.8
"Alimentari bevande tabacco",C10T12,unita_di_lavoro,2008,428.3
"Alimentari bevande tabacco",C10T12,unita_di_lavoro,2009,413.5
"Alimentari bevande tabacco",C10T12,unita_di_lavoro,2010,403.9
"Alimentari bevande tabacco",C10T12,unita_di_lavoro,2011,410.6
"Alimentari bevande tabacco",C10T12,unita_di_lavoro,2012,404.1
"Alimentari bevande tabacco",C10T12,unita_di_lavoro,2013,398.5
"Alimentari bevande tabacco",C10T12,unita_di_lavoro,2014,393.4
"Alimentari bevande tabacco",C10T12,unita_di_lavoro,2015,393
"Alimentari bevande tabacco",C10T12,unita_di_lavoro,2016,408.8
"Alimentari bevande tabacco",C10T12,unita_di_lavoro,2017,415.3
"Alimentari bevande tabacco",C10T12,unita_di_lavoro,2018,419.8
"Alimentari bevande tabacco",C10T12,unita_di_lavoro,2019,423.3
"Alimentari bevande tabacco",C10T12,unita_di_lavoro,2020,392.2
"Alimentari bevande tabacco",C10T12,unita_di_lavoro,2021,422.1
"Alimentari bevande tabacco",C10T12,unita_di_lavoro,2022,427.3
