categoria,codice,mese,indice
"Totale industria escl. costruzioni",0020,2000-01,113.4
"Totale industria escl. costruzioni",0020,2000-02,122.3
"Totale industria escl. costruzioni",0020,2000-03,132.7
"Totale industria escl. costruzioni",0020,2000-04,119.8
"Totale industria escl. costruzioni",0020,2000-05,131.3
"Totale industria escl. costruzioni",0020,2000-06,128.7
"Totale industria escl. costruzioni",0020,2000-07,132.5
"Totale industria escl. costruzioni",0020,2000-08,68.5
"Totale industria escl. costruzioni",0020,2000-09,130.5
"Totale industria escl. costruzioni",0020,2000-10,133.6
"Totale industria escl. costruzioni",0020,2000-11,131.5
"Totale industria escl. costruzioni",0020,2000-12,117.7
"Totale industria escl. costruzioni",0020,2001-01,117.3
"Totale industria escl. costruzioni",0020,2001-02,125.9
"Totale industria escl. costruzioni",0020,2001-03,136.6
"Totale industria escl. costruzioni",0020,2001-04,119
"Totale industria escl. costruzioni",0020,2001-05,130.8
"Totale industria escl. costruzioni",0020,2001-06,128.4
"Totale industria escl. costruzioni",0020,2001-07,132.7
"Totale industria escl. costruzioni",0020,2001-08,65.9
"Totale industria escl. costruzioni",0020,2001-09,128.4
"Totale industria escl. costruzioni",0020,2001-10,130.3
"Totale industria escl. costruzioni",0020,2001-11,123.9
"Totale industria escl. costruzioni",0020,2001-12,109.5
"Totale industria escl. costruzioni",0020,2002-01,111.9
"Totale industria escl. costruzioni",0020,2002-02,122.2
"Totale industria escl. costruzioni",0020,2002-03,133.2
"Totale industria escl. costruzioni",0020,2002-04,114.3
"Totale industria escl. costruzioni",0020,2002-05,129.7
"Totale industria escl. costruzioni",0020,2002-06,125.9
"Totale industria escl. costruzioni",0020,2002-07,132.3
"Totale industria escl. costruzioni",0020,2002-08,63.5
"Totale industria escl. costruzioni",0020,2002-09,128.4
"Totale industria escl. costruzioni",0020,2002-10,129.8
"Totale industria escl. costruzioni",0020,2002-11,127.7
"Totale industria escl. costruzioni",0020,2002-12,109.9
"Totale industria escl. costruzioni",0020,2003-01,114.2
"Totale industria escl. costruzioni",0020,2003-02,120.7
"Totale industria escl. costruzioni",0020,2003-03,130.6
"Totale industria escl. costruzioni",0020,2003-04,118.1
"Totale industria escl. costruzioni",0020,2003-05,124.2
"Totale industria escl. costruzioni",0020,2003-06,123.2
"Totale industria escl. costruzioni",0020,2003-07,132.8
"Totale industria escl. costruzioni",0020,2003-08,62.9
"Totale industria escl. costruzioni",0020,2003-09,124.9
"Totale industria escl. costruzioni",0020,2003-10,130
"Totale industria escl. costruzioni",0020,2003-11,127
"Totale industria escl. costruzioni",0020,2003-12,110.1
"Totale industria escl. costruzioni",0020,2004-01,113.2
"Totale industria escl. costruzioni",0020,2004-02,121.7
"Totale industria escl. costruzioni",0020,2004-03,128.9
"Totale industria escl. costruzioni",0020,2004-04,118
"Totale industria escl. costruzioni",0020,2004-05,127.7
"Totale industria escl. costruzioni",0020,2004-06,124.1
"Totale industria escl. costruzioni",0020,2004-07,132.6
"Totale industria escl. costruzioni",0020,2004-08,63.2
"Totale industria escl. costruzioni",0020,2004-09,126.1
"Totale industria escl. costruzioni",0020,2004-10,131.1
