settore,codice,mese,indice
"Alimentari",10,2000-01,70
"Alimentari",10,2000-02,79.5
"Alimentari",10,2000-03,86.5
"Alimentari",10,2000-04,75.7
"Alimentari",10,2000-05,82.3
"Alimentari",10,2000-06,80.7
"Alimentari",10,2000-07,82.8
"Alimentari",10,2000-08,76.2
"Alimentari",10,2000-09,99.4
"Alimentari",10,2000-10,95.9
"Alimentari",10,2000-11,88.6
"Alimentari",10,2000-12,76
"Alimentari",10,2001-01,75.1
"Alimentari",10,2001-02,84.4
"Alimentari",10,2001-03,90.4
"Alimentari",10,2001-04,76.6
"Alimentari",10,2001-05,79.6
"Alimentari",10,2001-06,82.4
"Alimentari",10,2001-07,83.8
"Alimentari",10,2001-08,75.6
"Alimentari",10,2001-09,106.7
"Alimentari",10,2001-10,103.5
"Alimentari",10,2001-11,93.4
"Alimentari",10,2001-12,76.6
"Alimentari",10,2002-01,75.8
"Alimentari",10,2002-02,84.5
"Alimentari",10,2002-03,90.7
"Alimentari",10,2002-04,74.2
"Alimentari",10,2002-05,85.8
"Alimentari",10,2002-06,82.4
"Alimentari",10,2002-07,86.4
"Alimentari",10,2002-08,75.4
"Alimentari",10,2002-09,105.6
"Alimentari",10,2002-10,107.2
"Alimentari",10,2002-11,97.3
"Alimentari",10,2002-12,77.4
"Alimentari",10,2003-01,80.9
"Alimentari",10,2003-02,87
"Alimentari",10,2003-03,91.8
"Alimentari",10,2003-04,80.8
"Alimentari",10,2003-05,85.7
"Alimentari",10,2003-06,83.2
"Alimentari",10,2003-07,89.1
"Alimentari",10,2003-08,75
"Alimentari",10,2003-09,108.5
"Alimentari",10,2003-10,106.3
"Alimentari",10,2003-11,100.4
"Alimentari",10,2003-12,79.6
"Alimentari",10,2004-01,83
"Alimentari",10,2004-02,88.4
"Alimentari",10,2004-03,88.4
"Alimentari",10,2004-04,80.7
"Alimentari",10,2004-05,84.9
"Alimentari",10,2004-06,80.9
"Alimentari",10,2004-07,88.9
"Alimentari",10,2004-08,73.8
"Alimentari",10,2004-09,106.5
"Alimentari",10,2004-10,111.1
