branca,codice,valutazione,anno,valore_aggiunto_mln_eur
"Totale economia",_T,"valori concatenati 2020",1995,1395344.6
"Totale economia",_T,"valori concatenati 2020",1996,1414400.6
"Totale economia",_T,"valori concatenati 2020",1997,1437738.9
"Totale economia",_T,"valori concatenati 2020",1998,1461336.2
"Totale economia",_T,"valori concatenati 2020",1999,1484573.8
"Totale economia",_T,"valori concatenati 2020",2000,1542255.4
"Totale economia",_T,"valori concatenati 2020",2001,1571831.2
"Totale economia",_T,"valori concatenati 2020",2002,1577761.3
"Totale economia",_T,"valori concatenati 2020",2003,1578402.2
"Totale economia",_T,"valori concatenati 2020",2004,1604548.7
"Totale economia",_T,"valori concatenati 2020",2005,1617139.7
"Totale economia",_T,"valori concatenati 2020",2006,1648434.1
"Totale economia",_T,"valori concatenati 2020",2007,1674696
"Totale economia",_T,"valori concatenati 2020",2008,1660876.2
"Totale economia",_T,"valori concatenati 2020",2009,1569044.3
"Totale economia",_T,"valori concatenati 2020",2010,1597404.8
"Totale economia",_T,"valori concatenati 2020",2011,1609901.3
"Totale economia",_T,"valori concatenati 2020",2012,1564441
"Totale economia",_T,"valori concatenati 2020",2013,1540878.5
"Totale economia",_T,"valori concatenati 2020",2014,1539806.8
"Totale economia",_T,"valori concatenati 2020",2015,1554159.8
"Totale economia",_T,"valori concatenati 2020",2016,1575406.2
"Totale economia",_T,"valori concatenati 2020",2017,1604434.9
"Totale economia",_T,"valori concatenati 2020",2018,1620342.6
"Totale economia",_T,"valori concatenati 2020",2019,1631728.4
"Totale economia",_T,"valori concatenati 2020",2020,1496321.9
"Totale economia",_T,"valori concatenati 2020",2021,1630469.8
"Totale economia",_T,"valori concatenati 2020",2022,1711010.4
"Totale economia",_T,"valori concatenati 2020",2023,1726896
"Totale economia",_T,"valori concatenati 2020",2024,1735948.8
"Totale economia",_T,"valori concatenati 2020",2025,1742998
"Totale economia",_T,"prezzi correnti",1995,895283.9
"Totale economia",_T,"prezzi correnti",1996,949523.4
"Totale economia",_T,"prezzi correnti",1997,987242.7
"Totale economia",_T,"prezzi correnti",1998,1023890.8
"Totale economia",_T,"prezzi correnti",1999,1054253.7
"Totale economia",_T,"prezzi correnti",2000,1115546.2
"Totale economia",_T,"prezzi correnti",2001,1178148.1
"Totale economia",_T,"prezzi correnti",2002,1220342.3
"Totale economia",_T,"prezzi correnti",2003,1264275
"Totale economia",_T,"prezzi correnti",2004,1312780.2
"Totale economia",_T,"prezzi correnti",2005,1348360.1
"Totale economia",_T,"prezzi correnti",2006,1394329.2
"Totale economia",_T,"prezzi correnti",2007,1453436.5
"Totale economia",_T,"prezzi correnti",2008,1479747.8
"Totale economia",_T,"prezzi correnti",2009,1425773.8
"Totale economia",_T,"prezzi correnti",2010,1449486.7
"Totale economia",_T,"prezzi correnti",2011,1480015.2
"Totale economia",_T,"prezzi correnti",2012,1455350.5
"Totale economia",_T,"prezzi correnti",2013,1445573.7
"Totale economia",_T,"prezzi correnti",2014,1453767.7
"Totale economia",_T,"prezzi correnti",2015,1479703.7
"Totale economia",_T,"prezzi correnti",2016,1515428.7
"Totale economia",_T,"prezzi correnti",2017,1552004
"Totale economia",_T,"prezzi correnti",2018,1582453.4
"Totale economia",_T,"prezzi correnti",2019,1604269.8
"Totale economia",_T,"prezzi correnti",2020,1496321.9
"Totale economia",_T,"prezzi correnti",2021,1644016.4
"Totale economia",_T,"prezzi correnti",2022,1793606.6
"Totale economia",_T,"prezzi correnti",2023,1924940.4
"Totale economia",_T,"prezzi correnti",2024,1968743.2
"Totale economia",_T,"prezzi correnti",2025,2014632.8
"Agricoltura",A,"valori concatenati 2020",1995,31918.2
"Agricoltura",A,"valori concatenati 2020",1996,32309.6
"Agricoltura",A,"valori concatenati 2020",1997,33057.2
"Agricoltura",A,"valori concatenati 2020",1998,33912.3
"Agricoltura",A,"valori concatenati 2020",1999,35802.1
"Agricoltura",A,"valori concatenati 2020",2000,36095.2
"Agricoltura",A,"valori concatenati 2020",2001,35071.5
"Agricoltura",A,"valori concatenati 2020",2002,33418.9
"Agricoltura",A,"valori concatenati 2020",2003,32119
"Agricoltura",A,"valori concatenati 2020",2004,35877.5
"Agricoltura",A,"valori concatenati 2020",2005,34096.9
"Agricoltura",A,"valori concatenati 2020",2006,33840.2
"Agricoltura",A,"valori concatenati 2020",2007,34208.1
"Agricoltura",A,"valori concatenati 2020",2008,34928.2
"Agricoltura",A,"valori concatenati 2020",2009,34572.6
"Agricoltura",A,"valori concatenati 2020",2010,34658.3
"Agricoltura",A,"valori concatenati 2020",2011,34926.8
"Agricoltura",A,"valori concatenati 2020",2012,33542.2
"Agricoltura",A,"valori concatenati 2020",2013,33967.2
"Agricoltura",A,"valori concatenati 2020",2014,33242.9
"Agricoltura",A,"valori concatenati 2020",2015,34815.2
"Agricoltura",A,"valori concatenati 2020",2016,34701
"Agricoltura",A,"valori concatenati 2020",2017,33313.5
"Agricoltura",A,"valori concatenati 2020",2018,34287.9
"Agricoltura",A,"valori concatenati 2020",2019,33599.4
"Agricoltura",A,"valori concatenati 2020",2020,32198.1
"Agricoltura",A,"valori concatenati 2020",2021,32109.5
"Agricoltura",A,"valori concatenati 2020",2022,32963.1
"Agricoltura",A,"valori concatenati 2020",2023,31259.7
"Agricoltura",A,"valori concatenati 2020",2024,32165.4
"Agricoltura",A,"valori concatenati 2020",2025,32119.4
"Agricoltura",A,"prezzi correnti",1995,29460.2
"Agricoltura",A,"prezzi correnti",1996,31142.4
"Agricoltura",A,"prezzi correnti",1997,31305.9
"Agricoltura",A,"prezzi correnti",1998,31560.3
