anno,Italia,Francia,Germania,Spagna,Unione europea
2000,100,100,100,100,100
2001,100,100.6,101.3,103.6,101.8
2002,98.9,102,100.6,104.8,103.1
2003,95.8,106.7,104.4,106.3,105.7
2004,98.3,113.2,110.2,106.4,111
2005,99.4,117.7,113.9,107.5,114.3
2006,103.4,123.2,125.1,111.1,120.9
2007,106.1,127.5,128.9,114.1,124.9
2008,103.6,125.1,123.1,112.2,122.1
2009,88.4,122.6,101,113.9,111.7
2010,100.9,131.5,123.1,118.6,128.1
2011,103.7,137.4,131.5,122.2,134
2012,101.5,137.1,127,124.4,131.7
2013,103.4,139,126.5,129.3,132.3
2014,105.2,141.8,132.8,133.3,136.7
2015,108.8,145.2,133.5,136.4,141.9
2016,110,146.6,138.3,133.6,143.1
2017,113.3,150.5,141.6,138.8,146.3
2018,113.4,153.2,141,134.4,147.6
2019,112.8,151.5,138.2,131.6,147.7
2020,99.4,138.6,129.9,117.9,141
2021,114.7,149.7,144,134.7,155.4
2022,116.1,141.8,146.5,139.9,159.9
2023,113.3,144.3,144.2,138.4,157.1
2024,113.5,146.5,139.4,138.6,156
2025,114.1,147.3,141.1,136.6,161.1
