anno,Italia,Francia,Germania,Spagna,Unione europea
2000,0,0,0,0,0
2001,-0,0.6,1.3,3.6,1.8
2002,-1.1,2,0.6,4.8,3.1
2003,-4.2,6.7,4.4,6.3,5.7
2004,-1.7,13.2,10.2,6.4,11
2005,-0.6,17.7,13.9,7.5,14.3
2006,3.4,23.2,25.1,11.1,20.9
2007,6.1,27.5,28.9,14.1,24.9
2008,3.6,25.1,23.1,12.2,22.1
2009,-11.6,22.6,1,13.9,11.7
2010,0.9,31.5,23.1,18.6,28.1
2011,3.7,37.4,31.5,22.2,34
2012,1.5,37.1,27,24.4,31.7
2013,3.4,39,26.5,29.3,32.3
2014,5.2,41.8,32.8,33.3,36.7
2015,8.8,45.2,33.5,36.4,41.9
2016,10,46.6,38.3,33.6,43.1
2017,13.3,50.5,41.6,38.8,46.3
2018,13.4,53.2,41,34.4,47.6
2019,12.8,51.5,38.2,31.6,47.7
2020,-0.6,38.6,29.9,17.9,41
2021,14.7,49.7,44,34.7,55.4
2022,16.1,41.8,46.5,39.9,59.9
2023,13.3,44.3,44.2,38.4,57.1
2024,13.5,46.5,39.4,38.6,56
2025,14.1,47.3,41.1,36.6,61.1
