anno,Italia,Francia,Germania,Spagna,Unione europea
2000,100,100,100,100,100
2001,99,101.1,100.2,98.4,100.7
2002,97.7,100,99.2,98.4,100.5
2003,97,99.1,99.6,99.8,101.2
2004,96.9,100.8,102.7,101.7,103.8
2005,96.1,101.3,106.3,102.2,105.9
2006,99.6,102.4,112.3,105.9,110.6
2007,101.3,103.6,119.2,108.2,115.2
2008,97.9,100.6,119,100.4,113.4
2009,79.5,87.9,99.6,84.2,96.9
2010,84.8,91.8,110.6,85,104.1
2011,85.9,94.3,118.6,83.4,107.8
2012,80.5,92,118.1,77.8,105.7
2013,77.9,92.1,118.2,76.3,105
2014,77.4,91.2,119.9,77.3,106.3
2015,78.3,92.4,120.9,80,109.1
2016,79.8,92.7,121.8,81.3,110.4
2017,82.7,95,125.7,83.7,114.2
2018,83.4,95.5,126.9,84.3,115.7
2019,82.5,95.9,122.8,84.7,115.2
2020,73,85.4,111,76.6,106.8
2021,82,90.1,116,82.4,116.6
2022,82.3,90.8,115.8,84.4,119.6
2023,80.6,91.4,113.6,83,117.8
2024,77.4,91.7,108.3,83.5,115
2025,77.2,92.3,107.4,84.5,116.8
