settore,y2007,y2024,var_pct,settore_label,positivo
Stampa,210.225,67.45,-67.91532881436557,Stampa,FALSE
Legno,196.2,83.80833333333334,-57.284233775059455,Legno,FALSE
Abbigliamento,229.69166666666666,98.125,-57.27968653629867,Abbigliamento,FALSE
Tessile,182.3,85.8,-52.93472298409216,Tessile,FALSE
Pelle e calzature,157.54166666666666,81.275,-48.410473419730224,Pelle e calzature,FALSE
Minerali non metalliferi,156.16666666666666,85.43333333333334,-45.29348986125933,"Vetro, cemento, ceramica",FALSE
Autoveicoli,143.04166666666666,83.50833333333334,-41.61957471599184,Autoveicoli,FALSE
Prodotti in metallo,141.10833333333332,88.94166666666666,-36.969231677788926,Lavorazioni in metallo,FALSE
Apparecchiature elettriche,152.875,96.40833333333333,-36.936494957754164,Apparecchi elettrici,FALSE
Metallurgia,128.18333333333334,83.36666666666666,-34.962943700429086,Metallurgia,FALSE
Mobili,127.71666666666667,92.30833333333334,-27.724128931227977,Mobili,FALSE
Chimica,118.5,88.95,-24.936708860759495,Chimica,FALSE
Gomma e plastica,115.19166666666666,91.36666666666666,-20.682919771395504,Gomma e plastica,FALSE
Carta,111.76666666666667,91.65,-17.998807038473007,Carta,FALSE
Macchinari,119.34166666666667,97.975,-17.903777669157183,Macchinari,FALSE
Elettronica e ottica,112.14166666666667,105.71666666666667,-5.7293601842907,Elettronica,FALSE
Altre manifatturiere,92.3,94.25833333333333,2.1217045864933226,Altre manifatturiere,TRUE
Alimentari,92.275,102.29166666666667,10.855233450736023,Alimentari,TRUE
Bevande,82.70833333333333,95.29166666666667,15.214105793450905,Bevande,TRUE
Altri mezzi di trasporto,109.06666666666666,132.46666666666667,21.45476772616137,"Navi, treni, aerei",TRUE
Riparazione/installazione macchine,86.74166666666667,109.00833333333333,25.670093188586772,Riparazione di macchinari,TRUE
Farmaceutica,78.925,115.24166666666666,46.014148453172844,Farmaceutica,TRUE
