settore,Indice 2007,Indice 2024,Variazione (%)
Stampa,210.2,67.4,-67.9
Legno,196.2,83.8,-57.3
Abbigliamento,229.7,98.1,-57.3
Tessile,182.3,85.8,-52.9
Pelle e calzature,157.5,81.3,-48.4
"Vetro, cemento, ceramica",156.2,85.4,-45.3
Autoveicoli,143,83.5,-41.6
Lavorazioni in metallo,141.1,88.9,-37
Apparecchi elettrici,152.9,96.4,-36.9
Metallurgia,128.2,83.4,-35
Mobili,127.7,92.3,-27.7
Chimica,118.5,89,-24.9
Gomma e plastica,115.2,91.4,-20.7
Carta,111.8,91.7,-18
Macchinari,119.3,98,-17.9
Elettronica,112.1,105.7,-5.7
Altre manifatturiere,92.3,94.3,2.1
Alimentari,92.3,102.3,10.9
Bevande,82.7,95.3,15.2
"Navi, treni, aerei",109.1,132.5,21.5
Riparazione di macchinari,86.7,109,25.7
Farmaceutica,78.9,115.2,46
