CNTR_ID,paese,anno,quota_insegnanti_50plus
LT,Lithuania,2024,58.376001780943895
PT,Portugal,2024,55.5853747714808
IT,Italy,2024,54.304953084791244
LV,Latvia,2024,53.950479589560565
EE,Estonia,2024,50.62085657160896
HU,Hungary,2024,49.75435809323168
EL,Greece,2024,49.4818586887333
BG,Bulgaria,2024,48.7046164943496
CZ,Czechia,2024,44.34251888890932
PL,Poland,2024,42.17957715589087
SE,Sweden,2024,41.53544361425779
FI,Finland,2024,40.341910468805075
DE,Germany,2024,37.69995202370229
FR,France,2024,36.531550560757395
ME,Montenegro,2024,36.44691007611921
AT,Austria,2024,36.42479404252257
DK,Denmark,2024,36.21121416979246
SI,Slovenia,2024,35.79047167575255
ES,Spain,2024,35.031462252049096
SK,Slovakia,2024,34.77758212831048
NL,Netherlands,2024,33.69224610372579
NO,Norway,2024,33.27436648048706
CH,Switzerland,2024,32.83418236385894
RO,Romania,2024,32.23989943517607
HR,Croatia,2024,31.535980313913274
CY,Cyprus,2024,30.3305904431933
BE,Belgium,2024,29.14168332222962
BA,Bosnia and Herzegovina,2024,27.38259016481886
MK,North Macedonia,2024,22.400274056029232
LU,Luxembourg,2024,21.946776492951052
MT,Malta,2024,20.878122634367905
IE,Ireland,2024,20.648031321947478
