modalita,etichetta,base_persone,n_obs,qualsiasi_peso,frequente_peso,perc_qualsiasi,perc_frequente,base_migliaia_media,perc_quota_occupati
7,Info e comunicazione,2840729.7000000062,4360,1054077.499999999,520286.0000000007,37.1,18.3,710,2.9
8,Finanza e assicurazioni,2304447.699999994,3986,549269.7000000002,138658.10000000003,23.8,6,576,2.4
9,Immobiliari e servizi alle imprese,11286453.89999995,19848,1997195.6000000057,765694.2999999981,17.7,6.8,2822,11.7
10,P.A. e difesa,4767814.6999999955,9568,447286.8000000003,58830.00000000001,9.4,1.2,1192,4.9
11,"Istruzione, sanita', servizi sociali",14813451.299999949,28791,1189253.2000000014,195458.59999999992,8,1.3,3703,15.4
12,Altri servizi collettivi e personali,6860126.200000008,12947,484310.5000000003,280867.30000000005,7.1,4.1,1715,7.1
2,Industria in senso stretto,18928189.89999998,31861,1045310.7000000018,292066.89999999985,5.5,1.5,4732,19.6
4,Commercio,13193088.099999946,23452,641484.4000000006,203398.7999999999,4.9,1.5,3298,13.7
6,Trasporto e magazzinaggio,4811300.699999984,8426,171004.90000000005,45517.19999999999,3.6,0.9,1203,5
3,Costruzioni,6722086.699999984,12063,169564.99999999994,35176.49999999999,2.5,0.5,1681,7
1,"Agricoltura, silvicoltura, pesca",3335783.3999999966,7045,68280.5,39449.4,2,1.2,834,3.5
5,Alberghi e ristoranti,6475515.800000048,12562,124675.80000000003,51878.59999999999,1.9,0.8,1619,6.7
