modalita,etichetta,base_persone,n_obs,qualsiasi_peso,frequente_peso,perc_qualsiasi,perc_frequente,base_migliaia_media,perc_quota_occupati
8,Libero professionista,5583280.700000023,10347,1357727.0999999982,536831.0999999996,24.3,9.6,1396,5.8
2,Quadro,4721270.79999999,8418,1136564.7000000016,250178.5999999999,24.1,5.3,1180,4.9
1,Dirigente,1641371.4000000022,2837,349498.20000000007,68682.8,21.3,4.2,410,1.7
12,Co.co.co.,577523.5000000003,1019,78241.79999999999,44464.7,13.5,7.7,144,0.6
3,Impiegato,36163437.90000014,64615,3612389.6999999937,1038395.0999999978,10,2.9,9041,37.5
7,Imprenditore,1998068.9999999988,3772,199012.60000000012,40811.89999999999,10,2,500,2.1
9,Lavoratore in proprio,11237759.799999958,21586,918687.2999999995,432645.7999999997,8.2,3.8,2809,11.7
11,Coadiuvante familiare,747957.8,1542,45149.500000000015,30881.500000000007,6,4.1,187,0.8
13,Prestaz. d'opera occasionale,554394.1999999996,975,32275.60000000001,19944.900000000005,5.8,3.6,139,0.6
4,Operaio,33113923.00000003,59798,212168.1000000001,164445.30000000013,0.6,0.5,8278,34.4
